Voltage Range: 1.2, , 
Voltage Step Size: 0.01, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
1.21,1.216,-0.3
1.21,1.2163,-3.5
1.21,1.2124,-4.4
1.21,1.2165,-4.7
1.21,1.2125,-4.8
1.21,1.2125,-4.9
1.21,1.2125,-4.8
1.21,1.2125,-4.9
1.21,1.2165,-4.9
1.21,1.2125,-4.9
1.21,1.2125,-4.9
1.2,1.2045,-4.7
1.2,1.2045,-4.6
1.2,1.2045,-4.6
1.2,1.2045,-4.6
1.2,1.2085,-4.6
1.2,1.2045,-4.7
1.2,1.2045,-4.7
1.2,1.2045,-4.7
1.2,1.2045,-4.6
1.2,1.2045,-4.7
1.2,1.2045,-4.6
1.19,1.1924,-4.4
1.19,1.1924,-4.4
1.19,1.1924,-4.4
1.19,1.1924,-4.3
1.19,1.1964,-4.4
1.19,1.1924,-4.4
1.19,1.1924,-4.3
1.19,1.1924,-4.4
1.19,1.1924,-4.4
1.19,1.1924,-4.4
1.19,1.1924,-4.4
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1804,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.18,1.1844,-4.1
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.9
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.17,1.1724,-3.8
1.16,1.1644,-3.6
1.16,1.1643,-3.5
1.16,1.1644,-3.6
1.16,1.1644,-3.6
1.16,1.1644,-3.5
1.16,1.1644,-3.5
1.16,1.1643,-3.5
1.16,1.1643,-3.5
1.16,1.1644,-3.6
1.16,1.1643,-3.5
1.16,1.1644,-3.6
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1563,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.15,1.1523,-3.3
1.14,1.1443,-3.1
1.14,1.1443,-3
1.14,1.1443,-3
1.14,1.1443,-3.1
1.14,1.1443,-3.1
1.14,1.1443,-3.1
1.14,1.1443,-3
1.14,1.1443,-3.1
1.14,1.1443,-3.1
1.14,1.1403,-3.1
1.14,1.1403,-3.1
1.13,1.1323,-2.8
1.13,1.1323,-2.9
1.13,1.1323,-2.8
1.13,1.1323,-2.9
1.13,1.1323,-2.8
1.13,1.1323,-2.9
1.13,1.1323,-2.8
1.13,1.1323,-2.9
1.13,1.1323,-2.8
1.13,1.1323,-2.9
1.13,1.1323,-2.8
1.12,1.1243,-2.6
1.12,1.1243,-2.6
1.12,1.1243,-2.6
1.12,1.1243,-2.6
1.12,1.1243,-2.6
1.12,1.1203,-2.6
1.12,1.1243,-2.6
1.12,1.1243,-2.6
1.12,1.1203,-2.6
1.12,1.1243,-2.6
1.12,1.1243,-2.6
1.11,1.1162,-2.4
1.11,1.1162,-2.4
1.11,1.1123,-2.5
1.11,1.1162,-2.4
1.11,1.1162,-2.4
1.11,1.1162,-2.4
1.11,1.1122,-2.4
1.11,1.1162,-2.4
1.11,1.1123,-2.4
1.11,1.1162,-2.4
1.11,1.1122,-2.4
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.1,1.1042,-2.3
1.1,1.1042,-2.2
1.1,1.1042,-2.2
1.09,1.0922,-2.1
1.09,1.0962,-2
1.09,1.0922,-2
1.09,1.0922,-2.1
1.09,1.0962,-2
1.09,1.0922,-2
1.09,1.0922,-2
1.09,1.0962,-1.9
1.09,1.0962,-2
1.09,1.0922,-2
1.09,1.0922,-2
1.08,1.0842,-1.9
1.08,1.0842,-1.8
1.08,1.0842,-1.8
1.08,1.0842,-1.9
1.08,1.0842,-1.9
1.08,1.0842,-1.8
1.08,1.0842,-1.8
1.08,1.0842,-1.8
1.08,1.0842,-1.9
1.08,1.0842,-1.8
1.08,1.0842,-1.8
1.07,1.0762,-1.7
1.07,1.0722,-1.6
1.07,1.0722,-1.7
1.07,1.0722,-1.7
1.07,1.0722,-1.6
1.07,1.0762,-1.6
1.07,1.0762,-1.7
1.07,1.0722,-1.6
1.07,1.0722,-1.7
1.07,1.0722,-1.7
1.07,1.0762,-1.7
1.06,1.0641,-1.5
1.06,1.0642,-1.5
1.06,1.0641,-1.5
1.06,1.0641,-1.5
1.06,1.0641,-1.5
1.06,1.0641,-1.5
1.06,1.0641,-1.5
1.06,1.0641,-1.5
1.06,1.0641,-1.5
1.06,1.0642,-1.5
1.06,1.0641,-1.5
1.05,1.0561,-1.4
1.05,1.0521,-1.4
1.05,1.0561,-1.4
1.05,1.0521,-1.4
1.05,1.0561,-1.4
1.05,1.0561,-1.4
1.05,1.0521,-1.4
1.05,1.0521,-1.4
1.05,1.0561,-1.3
1.05,1.0521,-1.3
1.05,1.0521,-1.3
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.3
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.04,1.0441,-1.2
1.03,1.0361,-1.1
1.03,1.0361,-1.2
1.03,1.0361,-1.1
1.03,1.0361,-1.2
1.03,1.0321,-1.1
1.03,1.0361,-1.2
1.03,1.0361,-1.2
1.03,1.0361,-1.1
1.03,1.0361,-1.1
1.03,1.0361,-1.2
1.03,1.0361,-1.1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.02,1.0241,-1
1.01,1.0161,-0.9
1.01,1.0121,-0.9
1.01,1.0161,-0.9
1.01,1.0161,-0.9
1.01,1.0161,-0.9
1.01,1.0161,-0.9
1.01,1.0121,-0.9
1.01,1.0161,-0.9
1.01,1.0121,-0.9
1.01,1.0121,-0.9
1.01,1.0161,-0.9
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
1,1.0041,-0.8
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9921,-0.7
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9961,-0.7
0.99,0.9921,-0.8
0.99,0.9921,-0.7
0.99,0.9961,-0.6
0.99,0.9921,-0.7
0.98,0.9841,-0.6
0.98,0.9841,-0.7
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.98,0.9841,-0.6
0.97,0.9761,-0.6
0.97,0.9761,-0.6
0.97,0.9721,-0.6
0.97,0.9761,-0.6
0.97,0.9721,-0.6
0.97,0.9721,-0.5
0.97,0.9761,-0.6
0.97,0.9761,-0.6
0.97,0.9761,-0.5
0.97,0.9761,-0.6
0.97,0.9761,-0.6
0.96,0.9641,-0.5
0.96,0.964,-0.5
0.96,0.9641,-0.6
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.96,0.9641,-0.5
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.952,-0.4
0.95,0.956,-0.4
0.95,0.956,-0.5
0.95,0.956,-0.4
0.95,0.952,-0.4
0.95,0.956,-0.5
0.94,0.944,-0.4
0.94,0.944,-0.4
0.94,0.944,-0.3
0.94,0.944,-0.3
0.94,0.944,-0.3
0.94,0.944,-0.4
0.94,0.944,-0.3
0.94,0.944,-0.4
