Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Apr-25-2023 15_32_57,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
0.7530,1.20,0.1578,-18.0250,1.1636,-5.5500,0.1190,-19.8750,1.1647,-6.5250,0.6898,-17.5000,1.1604,-3.5750,1.1600,0.0000,1.1646,-5.5500,1.1646,-5.7000,1.1640,0.0250,1.1710,0.0250,1.1676,-5.6750,1.1604,-4.1000,1.1106,-16.4500,1.1608,-7.9000,1.1565,-4.8250,1.1444,-3.7750,1.1404,-4.4000,1.1444,-4.3000,1.1416,-5.5000,1.1361,-0.8750,1.1359,-8.6750,1.1324,-3.9750,1.1414,-3.6000,1.1564,-4.3000,1.1675,-4.8000,1.1480,0.0500,1.1584,-4.1000,1.1610,0.0000,1.1560,0.0000,1.1124,-4.1750,1.1515,-4.9500,0
1.5490,1.17,0.1578,-18.0750,1.1375,-4.6000,0.1189,-19.5000,1.1406,-5.5250,0.6898,-17.5750,1.1363,-3.0500,1.1360,0.0000,1.1405,-4.9250,1.1375,-5.0750,1.1400,0.0250,1.1460,0.0500,1.1425,-4.8750,1.1353,-3.5000,1.1126,-16.5000,1.1348,-7.5250,1.1324,-4.3250,1.1203,-3.4000,1.1164,-4.0000,1.1204,-4.0750,1.1195,-5.0250,1.1121,-0.7750,1.1128,-8.1250,1.1113,-3.2750,1.1163,-3.1000,1.1324,-3.6000,1.1434,-4.1000,1.1250,0.0500,1.1334,-3.5500,1.1400,0.0250,1.1320,0.0000,1.0924,-3.6000,1.1274,-4.2000,0
2.3450,1.14,0.1578,-18.0500,1.1124,-3.7250,0.1220,-19.6750,1.1125,-4.5250,0.6898,-17.6250,1.1103,-2.5250,1.1080,0.0000,1.1164,-4.3000,1.1124,-4.4500,1.1150,0.0500,1.1200,0.0500,1.1164,-4.0750,1.1083,-2.9000,1.1136,-16.4500,1.1087,-7.0500,1.1044,-3.8250,1.0963,-3.0000,1.0924,-3.6000,1.0994,-3.7750,1.0955,-4.5000,1.0921,-0.7000,1.0888,-7.6250,1.0883,-2.6000,1.0952,-2.4750,1.1083,-2.8250,1.1193,-3.4250,1.1000,0.0250,1.1093,-3.0000,1.1120,0.0000,1.1060,0.0000,1.0723,-3.0000,1.1044,-3.4500,0
3.1410,1.11,0.1588,-18.0000,1.0883,-2.9000,0.1210,-19.5500,1.0904,-3.5750,0.6898,-17.6250,1.0862,-2.0750,1.0840,0.0750,1.0924,-3.7250,1.0884,-3.8000,1.0920,0.0500,1.0960,0.0250,1.0923,-3.3000,1.0842,-2.3500,1.0896,-15.7500,1.0877,-6.6000,1.0843,-3.3500,1.0723,-2.6250,1.0723,-3.2000,1.0763,-3.4250,1.0744,-4.1000,1.0681,-0.6500,1.0687,-7.1000,1.0642,-1.9500,1.0702,-1.9500,1.0842,-2.2500,1.0943,-2.7000,1.0760,0.0250,1.0843,-2.4750,1.0890,0.0000,1.0820,0.0250,1.0522,-2.5000,1.0783,-2.8250,0
3.9370,1.08,0.1578,-18.0750,1.0642,-2.2000,0.1210,-19.6250,1.0683,-2.6750,0.6898,-17.5500,1.0602,-1.5750,1.0600,0.0000,1.0683,-3.1500,1.0643,-3.2750,1.0680,0.0250,1.0690,0.0250,1.0683,-2.6000,1.0592,-1.7750,1.0655,-14.9000,1.0606,-6.2000,1.0573,-2.9000,1.0522,-2.2500,1.0483,-2.8000,1.0533,-3.1000,1.0514,-3.6500,1.0441,-0.6000,1.0447,-6.6250,1.0401,-1.3000,1.0482,-1.4000,1.0602,-1.6000,1.0702,-2.1500,1.0520,0.0750,1.0602,-2.0000,1.0640,0.0000,1.0600,0.0250,1.0342,-2.0250,1.0562,-2.1250,0
