Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,60,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Apr-25-2023 15_50_01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
70.0940, 0.01, 0.72, 0.80, 2.82, 0.01, 0.25, 0.85, 3.66, 0.17, 0.92, 0.74, 3.05, 0.90, 0.13, 0.79, 2.86, 0.72, 2.86, 1.11, 0.00, 0.88, 0.16, 0.77, 3.23, 0.80, 3.03, 0.34, 0.86, 0.52, 1.81, 0.74, 2.71, 0.72, 2.60, 0.75, 2.57, 0.63, 2.37, 0.73, 2.12, 0.45, 1.68, 0.55, 1.67, 0.87, 3.24, 0.85, 3.20, 0.89, 2.86, 0.84, 2.93, 1.34, 0.05, 0.76, 3.05, 1.14, 0.02, nan, 0.10, 0.78, 2.06, 0.07, 3.67, 0.0446, 14.7380, 0.0142, 20.1566, -0.7336, nan, 0.7173, 14.6268, 13.4045, 0.0219, 0.9562, 16.2691, 15.7381, 1.0000, 6.1554, 13.0861, 12.2352, 12.4799, 9.7236, 8.3232, 4.8795, 5.9479, 18.3000, 17.6684, 16.5738, 15.9768, 0.3984, 15.0296, 0.1434, 0.6661, 10.5178, 1.6777, 0
74.6970, 0.01, 0.69, 0.81, 2.77, 0.01, 0.44, 0.89, 3.51, 0.12, 2.05, 0.74, 3.01, 0.86, 0.19, 0.78, 2.83, 0.73, 2.79, 1.19, 0.07, 0.95, 0.13, 0.78, 3.22, 0.83, 2.89, 0.29, 1.54, 0.52, 1.89, 0.76, 2.60, 0.74, 2.45, 0.76, 2.38, 0.64, 2.21, 0.67, 2.62, 0.45, 1.61, 0.55, 1.68, 0.88, 3.14, 0.86, 3.15, 0.91, 2.76, 0.85, 2.79, 1.31, 0.02, 0.79, 2.96, 1.08, 0.00, nan, 0.10, 0.79, 1.98, 0.07, 3.70, 0.0426, 14.5631, 0.0272, 20.2997, 1.2406, nan, 1.0424, 14.4038, 13.3304, 0.5245, 0.7844, 16.3742, 15.5034, 2.7099, 6.3676, 12.7931, 11.8043, 11.7661, 9.1778, 11.0874, 4.7009, 5.9773, 17.9946, 17.6311, 16.3155, 15.4524, 0.2086, 15.2732, 0.0239, 0.6365, 10.1300, 1.7013, 0
79.3010, 0.01, 0.70, 0.81, 2.76, 0.01, 0.47, 0.88, 3.57, 0.10, 2.44, 0.74, 3.00, 0.85, 0.18, 0.78, 2.77, 0.73, 2.73, 1.20, 0.01, 0.97, 0.14, 0.78, 3.14, 0.84, 2.78, 0.27, 1.81, 0.51, 2.00, 0.76, 2.48, 0.74, 2.39, 0.75, 2.40, 0.63, 2.25, 0.66, 2.64, 0.44, 1.65, 0.55, 1.68, 0.87, 3.16, 0.86, 3.11, 0.91, 2.74, 0.85, 2.73, 1.30, 0.04, 0.80, 2.93, 1.06, 0.02, nan, 0.10, 0.79, 1.98, 0.07, 3.72, 0.0433, 14.5699, 0.0273, 20.5462, 1.5597, nan, 1.0060, 14.0882, 13.0552, 0.0874, 0.8672, 15.9809, 15.2298, 3.1456, 6.5913, 12.2507, 11.5711, 11.7704, 9.2368, 11.2629, 4.7159, 5.9822, 17.8884, 17.4245, 16.2605, 15.1797, 0.3165, 15.2399, 0.1186, 0.6321, 10.1769, 1.7131, 0
