D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Rv__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p1__Dark__Fw__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Rv__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p2__Dark__Fw__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Rv__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p3__Dark__Fw__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Rv__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p4__Dark__Fw__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Rv__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p5__Dark__Fw__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Rv__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p6__Dark__Fw__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Rv__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p7__Dark__Fw__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Rv__scan0	D1__testMartin__p8__Dark__Fw__scan0	D1__testMartin__p8__Dark__Fw__scan0
1.401953	0.0026015625	-0.202527	-0.0069375	1.399051	-0.013015625	-0.198667	0.004046875	1.390412	-30.839726562499997	-0.20221	0.7366171874999999	1.395954	0.0081015625	-0.196775	0.0013515625	1.399646	-0.00125	-0.197179	-0.007515625	1.396625	-23.768640625	-0.199196	0.09659374999999999	1.392244	-37.530859375000006	-0.201125	0.36960937499999996	1.402278	-0.0030859375	-0.202098	0.0172578125
1.386882	-0.005976562499999999	-0.188023	-0.0090625	1.38965	-0.0002890625	-0.189149	0.010703124999999999	1.393156	-31.365554687499998	-0.188469	0.6933281250000001	1.396028	0.002890625	-0.192449	-0.01359375	1.389871	-0.010796875	-0.187854	-0.0047265625	1.393034	-23.686109375	-0.189885	0.1008359375	1.391629	-37.9806171875	-0.187408	0.36575	1.387881	0.014171875	-0.188236	-0.0149453125
1.377352	0.010218749999999999	-0.173447	0.0026015625	1.379952	0.016484375	-0.179506	-0.015617187499999999	1.381945	-30.739070312499997	-0.174464	0.6724140625	1.375651	0.004046875	-0.178227	0.0170625	1.375321	0.006171875	-0.178259	0.0161015625	1.381788	-23.0880703125	-0.180143	0.076734375	1.382373	-37.517453125	-0.178347	0.3471484375	1.377931	-0.009351562499999999	-0.178141	0.0064609375000000005
1.362581	-0.0007734374999999999	-0.168805	0.008484374999999999	1.365294	-0.015234375	-0.164787	-0.0009609375000000001	1.373722	-30.2413046875	-0.169992	0.64503125	1.365653	0.0238125	-0.163904	0.00038281249999999996	1.365625	-9.375e-05	-0.168649	-0.0038593749999999995	1.373617	-22.6193203125	-0.165819	0.0803984375	1.377996	-36.7247578125	-0.169148	0.335	1.363904	0.008	-0.163563	0.0054921875
1.357842	-0.0049140625	-0.154014	-0.0010625	1.350936	-0.0026015625	-0.155345	-0.0015390624999999998	1.3631	-29.5417421875	-0.151961	0.5855546875000001	1.349974	-0.01234375	-0.154793	-0.0043359375	1.355755	-0.0037578125	-0.149702	-0.016390625	1.362602	-21.9772265625	-0.151214	0.0955390625	1.363604	-35.5693671875	-0.150943	0.313890625	1.354022	-0.008289062500000001	-0.153894	-0.0094453125
1.338321	-0.008390625	-0.139501	-0.0138828125	1.345908	-0.004046875	-0.140547	0.0065546875	1.350973	-28.63740625	-0.142811	0.5695468749999999	1.345086	0.0196640625	-0.140536	-0.011085937499999999	1.341238	0.007132812499999999	-0.144665	-0.006171875	1.352108	-21.339265625	-0.141557	0.0853203125	1.353105	-34.86653125	-0.140481	0.37886718750000004	1.339751	-0.0038593749999999995	-0.144212	0.0018281249999999999
1.328286	0.008484374999999999	-0.134509	9.375e-05	1.326731	-0.0086796875	-0.130798	0.0063593750000000004	1.341195	-27.8809609375	-0.133398	0.5226015624999999	1.329712	-0.00346875	-0.131139	-0.014265624999999999	1.331297	-0.017453125	-0.129862	0.008289062500000001	1.339095	-20.5099375	-0.131957	0.076734375	1.340825	-33.8931640625	-0.1314	0.38049999999999995	1.330259	0.003953125	-0.129733	-0.010703124999999999
1.318722	-0.0072343749999999995	-0.114663	0.0178359375	1.317166	0.0090625	-0.116234	-0.0139765625	1.331719	-27.15103125	-0.119657	0.4940625	1.314895	0.0047265625	-0.121757	0.0099296875	1.316608	0.014656250000000001	-0.120611	0.0035703124999999997	1.328847	-19.834484375	-0.117808	0.07259375	1.331482	-33.0934375	-0.121904	0.3544765625	1.320526	0.011765625	-0.119691	0.0048203125
1.309073	0.001734375	-0.104724	0.0087734375	1.307442	-0.0098359375	-0.106347	0.016	1.317697	-26.006054687499997	-0.106077	0.441234375	1.309632	-0.00038281249999999996	-0.102759	-0.0044375000000000005	1.306754	-0.0020234375	-0.106343	-0.005015625	1.315818	-19.0095859375	-0.108438	0.091390625	1.320477	-32.016234375	-0.101946	0.304921875	1.306186	-0.0054921875	-0.105222	0.0236171875
1.294135	0.0014453125	-0.094667	0.0086796875	1.298276	-0.014171875	-0.096516	0.011664062499999999	1.308481	-25.228015624999998	-0.091371	0.3955390625	1.289247	-0.00578125	-0.098452	-0.00896875	1.292161	-0.0081015625	-0.091887	-0.014078125	1.305783	-18.317546875	-0.093626	0.0861875	1.307474	-30.79296875	-0.096842	0.3137890625	1.296404	0.0002890625	-0.095649	-0.00578125
