D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p1__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p2__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p3__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p4__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p5__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p6__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p7__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0	D1__testMartin__p8__1.0Sun__scan0
0.30473	-0.035026	0.001640625	0.30473	-0.007023	0.02053125	0.30473	0.229918	19.546929687499997	0.30473	0.026007	-0.0014453125	0.30473	-0.011469	-0.00675	0.30473	0.278348	19.4695703125	0.30473	0.200235	18.649226562499997	0.30473	-0.011633	0.0081953125
0.59605	-0.010001	-0.008578125	0.59605	0.017787	-0.00896875	0.59605	0.284538	19.139265624999997	0.59605	-0.00442	-0.0066484375	0.59605	0.048838	-0.0124375	0.59605	0.337204	19.3528125	0.59605	0.258052	18.422156249999997	0.59605	0.013127	-0.00346875
1.117812	0.037991	0.021500000000000002	1.117812	-0.014714	0.003375	1.117812	0.390719	18.2656328125	1.117812	-0.025063	-0.0002890625	1.117812	-0.001433	0.0075234375	1.117812	0.448796	18.9181953125	1.117812	0.369889	17.809609375	1.117812	-0.008932	0.0103671875
1.645538	0.025113	0.00125	1.645538	0.005116	-0.0023125	1.645538	0.573486	16.353414062499997	1.645538	0.000751	-0.0171640625	1.645538	0.010994	0.005015625	1.645538	0.634361	17.1431640625	1.645538	0.558952	16.320874999999997	1.645538	0.018188	0.005976562499999999
2.174446	0.007707	0.0009609375000000001	2.174446	0.035149	-0.012484375	2.174446	0.804123	11.3584921875	2.174446	-0.050298	0.0077109375	2.174446	0.046279	0.005109374999999999	2.174446	0.767511	14.295710937499999	2.174446	0.794459	11.823242187499998	2.174446	-0.013961	-0.0011093750000000001
2.699535	-0.012264	-0.0001953125	2.699535	-0.012046	0.0025078125	2.699535	0.772837	13.083867187500001	2.699535	-0.030005	0.0047734375	2.699535	0.01123	0.010890625000000001	2.699535	0.630999	17.4274375	2.699535	0.76096	13.3193515625	2.699535	0.003436	-0.00559375
3.226748	-0.072398	-0.009492187499999999	3.226748	-0.084807	-0.0064609375000000005	3.226748	0.656529	15.46734375	3.226748	0.028769	-0.00621875	3.226748	0.036232	-0.0062656249999999995	3.226748	0.65682	17.0141640625	3.226748	0.642938	15.5139140625	3.226748	-0.04627	0.0020234375
3.510274	-0.069667	-0.0053046875	3.510274	-0.087329	-0.0013515625	3.510274	0.743583	13.8247890625	3.510274	0.02646	0.02265625	3.510274	0.028565	0.009156250000000001	3.510274	0.741178	15.2462734375	3.510274	0.732224	14.0525078125	3.510274	-0.041233	-0.00346875
4.041663	-0.034706	0.00621875	4.041663	-0.042072	-0.0043359375	4.041663	0.795732	12.5857578125	4.041663	0.010889	0.007664062500000001	4.041663	0.006161	-0.004625	4.041663	0.696577	16.38315625	4.041663	0.783521	12.8415390625	4.041663	-0.006453	0.0105546875
4.570884	0.007925	-0.018507812499999998	4.570884	-0.034704	0.0010156249999999998	4.570884	0.710422	14.648234375	4.570884	0.006065	0.0094453125	4.570884	-0.018953	-0.0076171875	4.570884	0.707725	16.1435234375	4.570884	0.697257	14.73153125	4.570884	0.01813	0.0013046874999999999
