Voltage Range: 1.2, , , 
Voltage Step Size: 0.01, , , 
Voltage Read Count: 10, , , 
Voltage Delay Time: 5, , , 
Volts_output,Volts Pixel 1,Current Pixel 1,Powa
Val1: 1.20, Val2: 0.01, Val3: 10, Val4: 5
1.2,1.2144,-2.3182,0.116
1.19,1.2042,-2.4909,0.221
1.18,1.193,-2.3545,0.325
1.17,1.1842,-2.2,0.429
1.16,1.1729,-2.0182,0.533
1.15,1.1646,-1.8818,0.637
1.14,1.1533,-1.7,0.741
1.13,1.1442,-1.6091,0.845
1.12,1.1336,-1.4273,0.95
1.11,1.1241,-1.3182,1.053
1.1,1.1143,-1.1909,1.158
1.09,1.1041,-1.1,1.262
1.08,1.0954,-0.9818,1.366
1.07,1.0841,-0.8909,1.47
1.06,1.0732,-0.7636,1.574
1.05,1.0641,-0.7,1.678
1.04,1.0535,-0.6091,1.782
1.03,1.0441,-0.5273,1.887
1.02,1.0339,-0.4727,1.99
1.01,1.024,-0.4,2.095
1,1.0149,-0.3818,2.198
0.99,1.004,-0.3091,2.302
0.98,0.9938,-0.2727,2.407
0.97,0.9844,-0.2182,2.51
0.96,0.9731,-0.1909,2.615
0.95,0.9644,-0.1727,2.719
0.94,0.9535,-0.1455,2.823
0.93,0.944,-0.1,2.927
0.92,0.9346,-0.0818,3.031
0.91,0.924,-0.0909,3.135
0.9,0.9146,-0.0727,3.238
0.89,0.904,0,3.342
0.88,0.8942,-0.0364,3.445
0.87,0.884,-0.0091,3.549
0.86,0.872,0,3.652
0.85,0.864,0,3.756
0.84,0.8527,0.0182,3.859
0.83,0.8436,0.0455,3.962
0.82,0.8334,0.0455,4.067
0.81,0.824,0.0545,4.17
0.8,0.8124,0.0455,4.274
0.79,0.8025,0.0818,4.378
0.78,0.792,0.0727,4.482
0.77,0.7814,0.0636,4.585
0.76,0.772,0.0909,4.689
0.75,0.7633,0.0909,4.793
0.74,0.752,0.1,4.897
0.73,0.7414,0.1,5.002
0.72,0.732,0.1,5.105
0.71,0.7222,0.0909,5.21
0.7,0.712,0.0909,5.313
0.69,0.7011,0.1,5.417
0.68,0.692,0.1091,5.521
0.67,0.6822,0.0909,5.625
0.66,0.672,0.1,5.729
0.65,0.6622,0.1,5.833
0.64,0.652,0.1,5.937
0.63,0.6407,0.1,6.041
0.62,0.6309,0.1,6.145
0.61,0.6207,0.0909,6.249
0.6,0.6113,0.0909,6.352
0.59,0.6011,0.0909,6.457
0.58,0.592,0.0909,6.56
0.57,0.5804,0.0818,6.665
0.56,0.572,0.0818,6.768
0.55,0.5607,0.0909,6.873
0.54,0.552,0.0727,6.976
0.53,0.5411,0.0909,7.08
0.52,0.532,0.0818,7.184
0.51,0.5236,0.0818,7.288
0.5,0.5116,0.0909,7.392
0.49,0.5033,0.0909,7.496
0.48,0.492,0.0909,7.6
0.47,0.4807,0.0818,7.704
0.46,0.472,0.0909,7.808
0.45,0.4614,0.0909,7.912
0.44,0.4516,0.0909,8.015
0.43,0.4418,0.0909,8.12
0.42,0.432,0.0818,8.223
0.41,0.4229,0.1,8.328
0.4,0.412,0.0909,8.431
0.39,0.4007,0.1,8.536
0.38,0.3916,0.1,8.639
0.37,0.3807,0.1,8.743
0.36,0.3716,0.1,8.848
0.35,0.36,0.0818,8.951
0.34,0.3513,0.1,9.056
0.33,0.34,0.0636,9.159
0.32,0.3313,0.1091,9.264
0.31,0.3204,0.1,9.367
0.3,0.3116,0.0909,9.472
0.29,0.3014,0.0909,9.575
0.28,0.2916,0.0818,9.679
0.27,0.2804,0.0818,9.783
0.26,0.272,0.0909,9.887
0.25,0.2604,0.1,9.991
0.24,0.252,0.0727,10.095
0.23,0.2404,0.0909,10.199
0.22,0.2316,0.0818,10.303
0.21,0.2211,0.0636,10.406
0.2,0.2109,0.0909,10.511
0.19,0.2007,0.0818,10.614
0.18,0.1916,0.0818,10.719
0.17,0.1811,0.1,10.823
0.16,0.1713,0.1,10.927
0.15,0.1611,0.0818,11.031
0.14,0.152,0.0818,11.134
0.13,0.1404,0.1,11.239
0.12,0.132,0.0818,11.342
0.11,0.1214,0.1,11.447
0.1,0.112,0.1,11.55
0.09,0.1022,0.0727,11.655
0.08,0.0916,0.0909,11.758
0.07,0.0822,0.0909,11.863
0.06,0.072,0.0818,11.966
0.05,0.0618,0.0909,12.07
0.04,0.052,0.0909,12.174
0.03,0.0407,0.1091,12.278
0.02,0.032,0.1,12.383
0.01,0.0204,0.0818,12.486
0,0.012,0.0909,12.591
-0.01,0.004,0.0818,12.694
0.01,0.004,0.0909,12.798
0.02,0.0116,0.0818,12.902
0.03,0.0204,0.0909,13.006
0.04,0.032,0.1,13.111
0.05,0.0407,0.0909,13.214
0.06,0.052,0.0909,13.319
0.07,0.0622,0.0909,13.422
0.08,0.0716,0.1,13.527
0.09,0.0818,0.0909,13.63
0.1,0.0916,0.0909,13.734
0.11,0.1022,0.0909,13.838
0.12,0.112,0.0909,13.942
0.13,0.1211,0.0909,14.047
0.14,0.132,0.1,14.15
0.15,0.1404,0.0818,14.255
0.16,0.152,0.1,14.358
0.17,0.1618,0.1,14.462
0.18,0.1716,0.0909,14.566
0.19,0.1807,0.0909,14.67
0.2,0.1916,0.0909,14.775
0.21,0.2007,0.0727,14.878
0.22,0.2116,0.0909,14.983
0.23,0.2218,0.0818,15.086
0.24,0.2305,0.0636,15.191
0.25,0.2407,0.0909,15.294
0.26,0.252,0.1,15.398
0.27,0.26,0.0818,15.503
0.28,0.2716,0.0818,15.606
0.29,0.2807,0.0818,15.711
0.3,0.2916,0.0818,15.814
0.31,0.3011,0.1,15.919
0.32,0.3105,0.0818,16.022
0.33,0.3207,0.0909,16.126
0.34,0.332,0.1,16.23
0.35,0.34,0.0818,16.334
0.36,0.3516,0.0909,16.439
0.37,0.36,0.0545,16.542
0.38,0.372,0.0818,16.647
0.39,0.38,0.0727,16.75
0.4,0.3916,0.0909,16.855
0.41,0.4004,0.0909,16.958
0.42,0.412,0.0818,17.062
0.43,0.4214,0.0909,17.166
0.44,0.432,0.0909,17.27
0.45,0.4407,0.0818,17.375
0.46,0.452,0.0727,17.478
0.47,0.4607,0.1,17.583
0.48,0.472,0.0818,17.686
0.49,0.4804,0.0909,17.79
0.5,0.4924,0.0818,17.894
0.51,0.5025,0.0909,17.998
0.52,0.512,0.0727,18.102
0.53,0.5229,0.0818,18.206
0.54,0.532,0.0818,18.31
0.55,0.5425,0.0909,18.414
0.56,0.552,0.0636,18.518
0.57,0.5611,0.0909,18.622
0.58,0.572,0.0909,18.725
0.59,0.5811,0.0909,18.83
0.6,0.592,0.1,18.934
0.61,0.6014,0.1,19.038
0.62,0.6116,0.0727,19.142
0.63,0.6218,0.0818,19.246
0.64,0.6313,0.1,19.35
0.65,0.6425,0.0909,19.453
0.66,0.652,0.1,19.558
0.67,0.6607,0.1091,19.662
0.68,0.672,0.1182,19.766
0.69,0.6814,0.1182,19.87
0.7,0.692,0.1182,19.974
0.71,0.7014,0.1091,20.078
0.72,0.712,0.1364,20.183
0.73,0.7211,0.1091,20.286
0.74,0.732,0.1091,20.39
0.75,0.7425,0.1091,20.494
0.76,0.7516,0.1091,20.598
0.77,0.7625,0.1091,20.703
0.78,0.772,0.1,20.806
0.79,0.7814,0.0909,20.911
0.8,0.7916,0.0909,21.014
0.81,0.8033,0.1,21.118
0.82,0.8131,0.0909,21.222
0.83,0.8233,0.0636,21.326
0.84,0.8331,0.0455,21.43
0.85,0.844,0.0636,21.533
0.86,0.8527,0.0182,21.637
0.87,0.864,0.0273,21.741
0.88,0.8735,0.0182,21.844
0.89,0.884,0,21.948
0.9,0.8938,0.0091,22.051
0.91,0.904,-0.0091,22.155
0.92,0.9153,-0.0364,22.258
0.93,0.924,-0.0818,22.363
0.94,0.9335,-0.1,22.466
0.95,0.944,-0.1273,22.571
0.96,0.9524,-0.1636,22.675
0.97,0.964,-0.1909,22.778
0.98,0.9727,-0.2273,22.883
0.99,0.984,-0.2818,22.987
1,0.9942,-0.3273,23.091
1.01,1.004,-0.3909,23.195
1.02,1.0153,-0.4636,23.3
1.03,1.0241,-0.5,23.403
1.04,1.0342,-0.6,23.507
1.05,1.0441,-0.6727,23.612
1.06,1.0532,-0.7455,23.715
1.07,1.0641,-0.8818,23.82
1.08,1.0743,-0.9636,23.924
1.09,1.0841,-1.0455,24.029
1.1,1.0928,-1.1636,24.132
1.11,1.1034,-1.2182,24.237
1.12,1.1136,-1.3818,24.341
1.13,1.1242,-1.5,24.444
1.14,1.1333,-1.6455,24.549
1.15,1.1438,-1.7818,24.653
1.16,1.1536,-1.9182,24.758
1.17,1.1642,-2.0818,24.861
1.18,1.1729,-2.2273,24.966
1.19,1.1842,-2.3818,25.07
1.2,1.193,-2.5364,25.175
