Voltage Range: 1.2, , ,
Voltage Step Size: 0.01, , ,
Voltage Read Count: 10, , ,
Volts_output,Volts Pixel 1,Current Pixel 1,
1.2,1.2132,-4.8455,
1.19,1.2045,-4.8,
1.18,1.1932,-4.4545,
1.17,1.1841,-4.1909,
1.16,1.1731,-3.8636,
1.15,1.164,-3.5636,
1.14,1.1534,-3.3182,
1.13,1.1439,-3,
1.12,1.1323,-2.7727,
1.11,1.1243,-2.5,
1.1,1.1137,-2.2727,
1.09,1.1042,-2.0273,
1.08,1.0925,-1.8182,
1.07,1.0842,-1.6,
1.06,1.0732,-1.3909,
1.05,1.0641,-1.2,
1.04,1.0532,-1,
1.03,1.0441,-0.8,
1.02,1.0346,-0.6182,
1.01,1.024,-0.4545,
1,1.0157,-0.2909,
0.99,1.004,-0.1182,
0.98,0.9953,0.0091,
0.97,0.9854,0.1545,
0.96,0.9752,0.3,
0.95,0.9647,0.4091,
0.94,0.9541,0.5182,
0.93,0.9439,0.6455,
0.92,0.9356,0.7545,
0.91,0.9239,0.8636,
0.9,0.9155,0.9545,
0.89,0.9043,1.0455,
0.88,0.8955,1.1182,
0.87,0.8846,1.2091,
0.86,0.8755,1.2818,
0.85,0.8639,1.3636,
0.84,0.854,1.4273,
0.83,0.8439,1.5,
0.82,0.834,1.5545,
0.81,0.8238,1.6,
0.8,0.8144,1.6818,
0.79,0.8038,1.7273,
0.78,0.7922,1.7909,
0.77,0.7835,1.8091,
0.76,0.7718,1.8818,
0.75,0.7638,1.9182,
0.74,0.7518,1.9545,
0.73,0.7434,2.0091,
0.72,0.7318,2.0273,
0.71,0.7234,2.0636,
0.7,0.7136,2.1091,
0.69,0.7038,2.1182,
0.68,0.6925,2.1909,
0.67,0.6838,2.1909,
0.66,0.6721,2.2,
0.65,0.6638,2.2455,
0.64,0.6518,2.2636,
0.63,0.6438,2.2545,
0.62,0.6318,2.2909,
0.61,0.623,2.3091,
0.6,0.6118,2.2909,
0.59,0.6034,2.3273,
0.58,0.5925,2.3182,
0.57,0.5834,2.3182,
0.56,0.5721,2.3364,
0.55,0.5638,2.3818,
0.54,0.5521,2.3909,
0.53,0.5438,2.4182,
0.52,0.5318,2.4,
0.51,0.5234,2.4,
0.5,0.5121,2.4182,
0.49,0.5038,2.4273,
0.48,0.4932,2.4273,
0.47,0.4838,2.4636,
0.46,0.4728,2.4455,
0.45,0.4634,2.4273,
0.44,0.4528,2.4727,
0.43,0.4434,2.4818,
0.42,0.4318,2.4909,
0.41,0.4234,2.4818,
0.4,0.4121,2.4818,
0.39,0.4037,2.4909,
0.38,0.3921,2.5,
0.37,0.3816,2.5,
0.36,0.3718,2.5091,
0.35,0.3608,2.5,
0.34,0.3517,2.5,
0.33,0.3405,2.5,
0.32,0.3317,2.5091,
0.31,0.3227,2.5182,
0.3,0.3117,2.5091,
0.29,0.3027,2.5,
0.28,0.2918,2.5,
0.27,0.2827,2.5273,
0.26,0.2717,2.5182,
0.25,0.2608,2.5091,
0.24,0.2517,2.5091,
0.23,0.2416,2.5,
0.22,0.2317,2.5364,
0.21,0.2219,2.5091,
0.2,0.2117,2.5273,
0.19,0.2023,2.5182,
0.18,0.1917,2.5364,
0.17,0.1834,2.5364,
0.16,0.1721,2.5364,
0.15,0.1634,2.5091,
0.14,0.1528,2.5273,
0.13,0.1427,2.5545,
0.12,0.1321,2.5545,
0.11,0.1227,2.5545,
0.1,0.1128,2.5273,
0.09,0.1034,2.5273,
0.08,0.0921,2.5545,
0.07,0.0827,2.5455,
0.06,0.0717,2.5545,
0.05,0.0637,2.5545,
0.04,0.055,2.5455,
0.03,0.0554,2.5455,
0.02,0.0557,2.5455,
0.01,0.0557,2.5455,
0,0.0557,2.5364,
-0.01,0.0579,2.5273,
0.01,0.0579,2.5182,
0.02,0.0568,2.5364,
0.03,0.0557,2.5182,
0.04,0.0557,2.5455,
0.05,0.055,2.5545,
0.06,0.0536,2.5364,
0.07,0.0634,2.5545,
0.08,0.0717,2.5,
