Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
1.2280,1.20,1.1717,-7.2500,1.1626,-5.6000,1.1732,-2.1000,1.1629,-8.9250,1.1670,0.0000,1.1591,-11.4500,1.1565,-4.7500,1.1637,-6.5500,1.1635,-4.5500,1.1640,0.0000,1.1690,0.0250,1.1645,-15.2500,1.1580,0.0250,1.1648,-7.8000,1.1610,0.0500,1.1558,-8.1750,1.1327,-17.4500,1.1440,-9.5250,1.1491,-11.2500,1.1500,0.0500,1.1402,-11.5500,0.0148,-17.6000,1.1384,-3.8750,1.1442,-11.4750,1.1509,-8.9000,1.1596,-6.1500,1.1404,-4.3250,0.0128,-17.7250,1.1540,0.0000,1.1468,-7.5500,1.1400,0.0000,1.1450,0.0500,0
2.4980,1.17,1.1447,-6.6000,1.1385,-4.9500,1.1481,-1.3000,1.1408,-8.1250,1.1430,0.0000,1.1330,-10.0250,1.1324,-4.3250,1.1406,-5.9000,1.1364,-4.1750,1.1400,0.0000,1.1440,0.0250,1.1406,-15.5250,1.1340,0.1000,1.1407,-7.2500,1.1360,0.0000,1.1298,-7.7750,1.1167,-17.5000,1.1209,-8.7500,1.1250,-10.2000,1.1250,0.0750,1.1171,-10.6500,0.0138,-17.6250,1.1164,-3.6250,1.1211,-10.8250,1.1258,-7.7000,1.1365,-5.2500,1.1174,-4.3750,0.0108,-17.7000,1.1320,0.0000,1.1247,-6.5500,1.1170,0.0500,1.1210,0.0500,0
3.7690,1.14,1.1206,-5.8750,1.1134,-4.2500,1.1221,-1.4000,1.1127,-7.3250,1.1170,0.0000,1.1089,-9.2500,1.1084,-3.7750,1.1135,-5.2500,1.1124,-3.8000,1.1130,0.0500,1.1190,0.0750,1.1136,-16.0250,1.1080,0.0500,1.1137,-6.9500,1.1120,0.0250,1.1047,-7.1750,1.0977,-16.7250,1.0968,-7.9000,1.1009,-9.1750,1.1000,0.0250,1.0930,-9.6500,0.0138,-17.5750,1.0913,-3.4000,1.0970,-10.0000,1.1006,-6.4750,1.1124,-4.4000,1.0924,-4.1500,0.0098,-17.6750,1.1070,0.0000,1.0996,-5.5500,1.0930,0.0250,1.0960,0.0500,0
5.0400,1.11,1.0955,-5.2000,1.0884,-3.7000,1.0961,-1.3500,1.0887,-6.4750,1.0920,0.0000,1.0848,-8.3500,1.0843,-3.3500,1.0915,-4.7000,1.0883,-3.3000,1.0880,0.0250,1.0920,0.0250,1.0866,-16.3250,1.0840,0.0750,1.0886,-6.4750,1.0840,0.0000,1.0807,-6.5750,1.0736,-16.0750,1.0727,-7.1500,1.0778,-8.2250,1.0760,0.0250,1.0689,-9.1000,0.0138,-17.5750,1.0683,-3.1750,1.0729,-9.1500,1.0765,-5.4000,1.0873,-3.5000,1.0684,-3.8000,0.0108,-17.7000,1.0820,0.0000,1.0765,-4.6750,1.0690,0.0250,1.0720,0.0500,0
6.3110,1.08,1.0725,-4.5750,1.0643,-3.2750,1.0721,-1.2000,1.0646,-5.8000,1.0680,0.0000,1.0588,-7.4750,1.0583,-3.1000,1.0644,-4.1000,1.0603,-3.0250,1.0640,0.0750,1.0680,0.0750,1.0626,-15.9250,1.0570,0.0500,1.0646,-6.0750,1.0590,0.0500,1.0556,-6.0000,1.0495,-15.2500,1.0486,-6.3000,1.0547,-7.2500,1.0530,0.1000,1.0448,-8.3500,0.0138,-17.6250,1.0423,-2.9000,1.0478,-8.3750,1.0524,-4.3750,1.0633,-2.6500,1.0443,-3.3750,0.0098,-17.8250,1.0580,0.0000,1.0524,-3.8750,1.0440,0.1000,1.0480,0.0750,0
