Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-06-2024 23_48_50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Voltage_Applied,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,ARUDUINOID
0.4390,1.20,1.1880,0.0000,1.1952,0.0200,1.1880,0.0200,1.1856,0.0000,1.1840,0.0000,1.1920,0.0200,1.2000,0.0200,1.1840,0.1000,1
0.8940,1.17,1.1568,0.0000,1.1640,0.0200,1.1568,0.0400,1.1560,0.0400,1.1552,0.0000,1.1616,0.0400,1.1688,0.0400,1.1520,0.0800,1
1.3480,1.14,1.1280,0.0000,1.1360,0.0400,1.1280,0.0200,1.1248,0.0200,1.1240,-0.0200,1.1304,0.0400,1.1400,0.0400,1.1232,0.0800,1
1.8030,1.11,1.0968,0.0000,1.1056,0.0600,1.1000,0.0200,1.0960,0.0200,1.0960,0.0000,1.1008,0.0200,1.1096,0.0800,1.0944,0.0600,1
2.2580,1.08,1.0680,0.0000,1.0760,0.0400,1.0680,0.0800,1.0680,0.0400,1.0656,0.0000,1.0728,0.0200,1.0800,0.0400,1.0640,0.0800,1
2.7120,1.05,1.0384,0.0000,1.0480,0.0800,1.0376,0.0400,1.0360,0.0400,1.0360,0.0000,1.0440,0.0600,1.0480,0.0800,1.0344,0.1000,1
3.1670,1.02,1.0088,0.0000,1.0168,0.1000,1.0080,0.0600,1.0072,0.0400,1.0080,0.0200,1.0128,0.0400,1.0200,0.0600,1.0040,0.1000,1
3.6220,0.99,0.9800,0.0000,0.9872,0.0600,0.9776,0.0200,0.9760,0.0800,0.9784,0.0400,0.9840,0.0600,0.9880,0.1000,0.9760,0.1000,1
4.0770,0.96,0.9504,-0.0200,0.9584,0.1000,0.9488,0.0800,0.9480,0.0800,0.9480,0.0200,0.9552,0.0600,0.9600,0.0800,0.9456,0.0800,1
4.5320,0.93,0.9200,0.0000,0.9280,0.1200,0.9200,0.1000,0.9176,0.1000,0.9192,0.0200,0.9240,0.0600,0.9312,0.1000,0.9160,0.1000,1
4.9880,0.90,0.8896,0.0000,0.8984,0.1000,0.8888,0.1000,0.8880,0.1000,0.8888,0.0600,0.8944,0.0600,0.8992,0.1000,0.8856,0.1000,1
5.4430,0.87,0.8600,0.0000,0.8680,0.1400,0.8592,0.1000,0.8600,0.1000,0.8584,0.0800,0.8648,0.0800,0.8680,0.1200,0.8560,0.1400,1
5.8990,0.84,0.8312,0.0000,0.8368,0.1400,0.8320,0.1000,0.8288,0.1400,0.8288,0.0800,0.8360,0.0800,0.8400,0.1400,0.8280,0.1600,1
6.3550,0.81,0.8016,-0.0400,0.8080,0.1800,0.8008,0.1000,0.8000,0.1200,0.8000,0.0800,0.8056,0.0800,0.8080,0.1400,0.7960,0.1800,1
6.8100,0.78,0.7688,-0.0200,0.7760,0.1400,0.7680,0.1200,0.7688,0.1000,0.7680,0.1000,0.7760,0.0400,0.7760,0.1800,0.7640,0.1800,1
7.2660,0.75,0.7400,-0.0400,0.7472,0.2000,0.7384,0.1200,0.7400,0.1800,0.7392,0.0800,0.7456,0.0200,0.7480,0.2000,0.7360,0.1800,1
7.7220,0.72,0.7120,0.0000,0.7160,0.1600,0.7088,0.1200,0.7104,0.1400,0.7088,0.1200,0.7160,0.0600,0.7176,0.1600,0.7048,0.1800,1
8.1770,0.69,0.6808,0.0000,0.6872,0.1800,0.6800,0.1000,0.6800,0.1000,0.6800,0.1000,0.6856,0.0600,0.6880,0.2000,0.6760,0.1800,1
8.6330,0.66,0.6520,0.0000,0.6576,0.1200,0.6488,0.1000,0.6520,0.0800,0.6496,0.1000,0.6560,0.0800,0.6576,0.1800,0.6472,0.1000,1
9.0880,0.63,0.6216,0.0400,0.6280,0.0800,0.6200,0.0800,0.6208,0.0600,0.6200,0.0600,0.6272,0.0800,0.6280,0.1200,0.6160,0.0800,1
9.5420,0.60,0.5920,0.0200,0.5976,0.0600,0.5904,0.0600,0.5920,0.0000,0.5888,0.0400,0.5960,0.0200,0.5976,0.1000,0.5872,0.0800,1
9.9970,0.57,0.5616,0.0000,0.5680,0.0000,0.5600,0.0200,0.5616,0.0000,0.5600,0.0000,0.5672,0.0400,0.5680,0.0600,0.5592,0.0800,1
10.4510,0.54,0.5328,0.0000,0.5376,0.0600,0.5296,0.0200,0.5320,-0.0200,0.5320,0.0000,0.5368,0.0200,0.5400,0.0600,0.5288,0.0400,1
10.9040,0.51,0.5032,-0.0200,0.5080,0.0000,0.5000,0.0200,0.5032,0.0000,0.5000,0.0200,0.5080,0.0600,0.5080,0.0200,0.5000,0.0400,1
11.3590,0.48,0.4744,0.0000,0.4768,0.0000,0.4688,0.0000,0.4720,0.0000,0.4720,0.0000,0.4768,0.0000,0.4760,0.0800,0.4712,0.0400,1
11.8130,0.45,0.4440,0.0200,0.4480,0.0000,0.4400,0.0000,0.4440,0.0200,0.4408,0.0000,0.4480,0.0400,0.4480,0.0800,0.4400,0.0400,1
12.2670,0.42,0.4160,0.0000,0.4160,0.0600,0.4096,0.0000,0.4152,0.0200,0.4120,0.0000,0.4200,0.0200,0.4200,0.0200,0.4112,0.0400,1
12.7210,0.39,0.3840,0.0000,0.3856,0.0200,0.3800,0.0000,0.3840,0.0000,0.3808,-0.0200,0.3872,0.0200,0.3856,0.0600,0.3800,0.0800,1
13.1760,0.36,0.3528,0.0000,0.3560,0.0200,0.3480,0.0400,0.3520,0.0000,0.3520,0.0000,0.3568,0.0200,0.3560,0.0400,0.3488,0.0400,1
13.6300,0.33,0.3240,-0.0200,0.3272,0.0800,0.3192,0.0200,0.3240,0.0000,0.3216,-0.0200,0.3280,0.0400,0.3248,0.0400,0.3200,0.1000,1
14.0840,0.30,0.2952,0.0200,0.2968,0.0200,0.2896,0.0200,0.2952,0.0200,0.2920,-0.0200,0.2984,0.0400,0.2960,0.0400,0.2920,0.1000,1
14.5380,0.27,0.2648,-0.0200,0.2680,0.0400,0.2600,0.0200,0.2640,0.0200,0.2616,0.0000,0.2680,0.0200,0.2640,0.0200,0.2624,0.0600,1
14.9930,0.24,0.2360,0.0000,0.2376,0.0400,0.2296,0.0600,0.2352,0.0200,0.2312,0.0000,0.2384,0.0200,0.2360,0.0200,0.2320,0.0800,1
15.4470,0.21,0.2048,-0.0200,0.2080,0.0200,0.2000,0.0000,0.2040,0.0200,0.2000,0.0000,0.2072,0.0600,0.2064,0.0400,0.2024,0.0800,1
15.9010,0.18,0.1760,0.0400,0.1776,0.0400,0.1720,0.0000,0.1760,0.0000,0.1720,0.0000,0.1760,0.0400,0.1760,0.0200,0.1720,0.0600,1
16.3550,0.15,0.1464,0.0200,0.1480,0.0200,0.1408,0.0200,0.1448,0.0400,0.1416,0.0200,0.1480,0.0000,0.1448,0.0400,0.1440,0.0600,1
16.8100,0.12,0.1160,0.0200,0.1160,0.0200,0.1120,0.0000,0.1152,0.0000,0.1120,0.0200,0.1176,0.0400,0.1168,0.0400,0.1120,0.0600,1
17.2630,0.09,0.0872,0.0000,0.0880,0.0000,0.0824,0.0200,0.0840,0.0000,0.0824,0.0000,0.0880,0.0600,0.0848,0.0800,0.0840,0.0400,1
17.7180,0.06,0.0560,0.0000,0.0576,0.0200,0.0520,0.0600,0.0560,0.0000,0.0528,0.0000,0.0600,0.0400,0.0560,0.0600,0.0560,0.0200,1
18.1720,0.03,0.0256,0.0000,0.0280,0.0400,0.0240,0.0000,0.0272,0.0200,0.0240,0.0000,0.0280,0.0200,0.0272,0.0400,0.0232,0.1000,1
18.6250,0.00,0.0000,0.0000,-0.0000,0.0200,0.0008,0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0000,0.0600,-0.0000,0.0400,-0.0000,0.0800,1
