Voltage Range: ,0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,10080,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
2.9220, 0.49, 1.75, 0.58, 1.73, 0.50, 0.03, 0.49, 1.57, 0.49, 2.22, 0.48, 0.01, 0.48, 2.09, 0.51, 1.84, 6.8483, 7.9407, 0.1406, 6.0382, 7.2362, 0.0208, 6.5387, 6.1479, 1
5.8560, 0.50, 2.04, 0.50, 2.07, 0.51, 0.04, 0.48, 1.89, 0.49, 2.34, 0.46, 0.00, 0.48, 2.18, 0.49, 1.92, 6.8811, 6.8938, 0.1344, 6.1418, 7.4103, 0.0035, 6.7589, 6.0840, 1
8.7880, 0.50, 2.07, 0.50, 2.08, 0.53, 0.01, 0.48, 1.97, 0.48, 2.36, 0.48, 0.03, 0.48, 2.23, 0.50, 1.95, 6.8320, 6.8340, 0.0224, 6.2210, 7.4393, 0.1042, 6.8988, 6.3807, 1
11.7210, 0.52, 2.03, 0.52, 2.03, 0.55, 0.05, 0.48, 1.98, 0.48, 2.38, 0.50, 0.02, 0.48, 2.19, 0.52, 1.89, 6.9228, 6.9153, 0.1850, 6.2254, 7.4968, 0.0721, 6.7674, 6.4552, 1
14.6550, 0.55, 2.04, 0.55, 1.99, 0.58, 0.01, 0.48, 1.96, 0.48, 2.36, 0.48, 0.04, 0.47, 2.23, 0.55, 1.87, 7.2532, 7.0713, 0.0308, 6.1736, 7.4538, 0.1157, 6.9002, 6.6443, 1
17.5880, 0.55, 1.99, 0.57, 1.93, 0.60, 0.05, 0.48, 1.98, 0.48, 2.36, 0.46, 0.01, 0.47, 2.19, 0.57, 1.81, 7.1286, 7.1603, 0.2025, 6.2164, 7.4466, 0.0193, 6.7677, 6.7305, 1
20.5210, 0.57, 1.93, 0.59, 1.91, 0.62, 0.09, 0.48, 1.95, 0.48, 2.36, 0.43, 0.00, 0.47, 2.20, 0.60, 1.80, 7.1861, 7.3675, 0.3749, 6.1283, 7.4455, 0.0032, 6.7972, 6.9794, 1
23.4540, 0.59, 1.89, 0.62, 1.87, 0.61, 0.03, 0.48, 1.96, 0.48, 2.39, 0.45, 0.00, 0.47, 2.22, 0.62, 1.73, 7.3062, 7.5229, 0.1286, 6.1661, 7.5405, 0.0005, 6.8536, 6.9845, 1
26.3880, 0.62, 1.85, 0.64, 1.84, 0.63, 0.04, 0.48, 1.89, 0.48, 2.37, 0.47, 0.03, 0.48, 2.22, 0.64, 1.72, 7.4450, 7.7134, 0.1579, 5.9455, 7.4610, 0.1043, 6.8719, 7.2093, 1
29.3220, 0.64, 1.81, 0.66, 1.81, 0.65, 0.02, 0.48, 1.87, 0.48, 2.33, 0.50, 0.02, 0.48, 2.20, 0.65, 1.74, 7.5672, 7.8224, 0.0971, 5.8811, 7.3426, 0.0721, 6.8146, 7.3239, 1
32.2540, 0.65, 1.83, 0.65, 1.87, 0.67, 0.09, 0.48, 1.84, 0.48, 2.34, 0.52, 0.04, 0.47, 2.25, 0.67, 1.69, 7.7281, 7.9112, 0.3834, 5.8106, 7.3755, 0.1266, 6.9596, 7.3441, 1
35.1880, 0.63, 1.94, 0.63, 1.98, 0.66, 0.03, 0.48, 1.86, 0.48, 2.29, 0.55, 0.01, 0.47, 2.23, 0.65, 1.78, 7.9214, 8.0700, 0.1347, 5.8332, 7.2232, 0.0211, 6.8807, 7.5504, 1
38.1220, 0.62, 1.99, 0.62, 1.95, 0.67, 0.04, 0.48, 1.84, 0.48, 2.30, 0.57, 0.00, 0.47, 2.24, 0.65, 1.81, 8.0890, 7.9024, 0.1693, 5.8099, 7.2411, 0.0035, 6.9190, 7.6630, 1
41.0550, 0.62, 1.96, 0.60, 2.02, 0.66, 0.07, 0.48, 1.86, 0.50, 2.17, 0.59, 0.00, 0.47, 2.26, 0.65, 1.84, 7.9815, 7.9554, 0.3115, 5.8347, 7.1115, 0.0006, 6.9770, 7.7441, 1
43.9880, 0.62, 1.89, 0.60, 2.02, 0.63, 0.08, 0.48, 1.86, 0.53, 2.16, 0.62, 0.02, 0.47, 2.21, 0.65, 1.81, 7.6929, 7.8992, 0.3248, 5.8471, 7.4265, 0.0678, 6.8320, 7.6237, 1
46.9210, 0.64, 1.83, 0.60, 2.04, 0.65, 0.06, 0.48, 1.86, 0.53, 2.16, 0.60, 0.02, 0.47, 2.18, 0.65, 1.78, 7.6787, 7.9362, 0.2666, 5.8570, 7.4790, 0.0759, 6.7564, 7.5267, 1
49.8550, 0.67, 1.74, 0.60, 1.97, 0.67, 0.08, 0.48, 1.86, 0.53, 2.23, 0.62, 0.00, 0.47, 2.15, 0.65, 1.75, 7.5344, 7.6930, 0.3382, 5.8597, 7.7188, 0.0126, 6.6407, 7.3699, 1
52.7890, 0.69, 1.74, 0.62, 1.91, 0.70, 0.05, 0.48, 1.88, 0.53, 2.25, 0.64, 0.02, 0.47, 2.12, 0.67, 1.72, 7.7937, 7.7125, 0.2084, 5.9023, 7.8166, 0.0724, 6.5699, 7.4976, 1
55.7220, 0.67, 1.86, 0.64, 1.87, 0.72, 0.06, 0.48, 1.83, 0.53, 2.23, 0.66, 0.02, 0.47, 2.20, 0.67, 1.75, 8.1361, 7.8143, 0.2702, 5.7616, 7.7172, 0.0845, 6.8158, 7.6646, 1
58.6550, 0.67, 1.86, 0.66, 1.89, 0.70, 0.04, 0.48, 1.82, 0.53, 2.19, 0.69, 0.02, 0.47, 2.23, 0.67, 1.79, 8.1354, 8.1932, 0.1971, 5.7454, 7.5851, 0.0891, 6.9083, 7.8382, 1
61.5890, 0.67, 1.84, 0.67, 1.88, 0.72, 0.04, 0.48, 1.85, 0.53, 2.20, 0.71, 0.00, 0.47, 2.21, 0.67, 1.77, 8.0290, 8.1845, 0.1901, 5.8406, 7.6210, 0.0148, 6.8206, 7.7130, 1
64.5230, 0.67, 1.79, 0.67, 1.88, 0.74, 0.09, 0.48, 1.86, 0.53, 2.27, 0.74, 0.00, 0.47, 2.17, 0.67, 1.78, 7.8260, 8.2007, 0.4379, 5.8393, 7.8581, 0.0025, 6.7030, 7.7734, 1
67.4560, 0.69, 1.78, 0.67, 1.85, 0.77, 0.07, 0.48, 1.88, 0.53, 2.23, 0.72, -0.02, 0.47, 2.18, 0.67, 1.75, 8.0016, 8.0410, 0.3245, 5.8937, 7.7242, -0.0772, 6.7349, 7.6376, 1
70.3900, 0.67, 1.85, 0.69, 1.79, 0.75, 0.09, 0.48, 1.83, 0.53, 2.22, 0.74, -0.00, 0.47, 2.21, 0.67, 1.77, 8.1057, 8.0379, 0.4603, 5.7601, 7.7018, -0.0129, 6.8434, 7.7609, 1
73.3240, 0.67, 1.86, 0.67, 1.92, 0.77, 0.05, 0.48, 1.80, 0.53, 2.19, 0.72, -0.00, 0.47, 2.20, 0.67, 1.78, 8.1220, 8.3934, 0.2444, 5.6775, 7.5909, -0.0021, 6.8010, 7.7814, 1
76.2580, 0.67, 1.88, 0.67, 1.90, 0.75, 0.06, 0.48, 1.82, 0.53, 2.18, 0.70, -0.00, 0.47, 2.15, 0.67, 1.78, 8.1898, 8.2996, 0.2845, 5.7159, 7.5641, -0.0004, 6.6481, 7.7848, 1
