Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,ARDUINOID
0.7250,1.20,1.2240,-0.0250,1.2280,0.0000,1.2240,-0.0500,1.2160,-0.1000,1.2190,-0.0250,1.2280,0.0000,1.2240,-0.0750,1.2180,0.0000,1.2260,-0.0250,1.2190,0.0000,1.2190,0.0000,1.2200,0.0000,1.2200,0.0000,1.2160,0.0000,1.2180,0.0000,1.2190,0.0000,23
1.4710,1.17,1.1920,0.0000,1.1930,0.0000,1.1920,-0.0250,1.1840,0.0000,1.1850,-0.0250,1.1960,-0.0250,1.1930,0.0000,1.1910,0.0000,1.2000,0.0250,1.1930,0.0250,1.1880,0.0000,1.2000,0.0000,1.1840,0.0000,1.1920,0.0000,1.1860,0.0250,1.1910,0.0000,23
2.2160,1.14,1.1640,-0.0250,1.1520,0.0000,1.1590,-0.0750,1.1550,-0.0750,1.1530,-0.0250,1.1610,0.0000,1.1630,-0.0500,1.1600,0.0000,1.1680,0.0000,1.1620,0.0000,1.1600,0.0000,1.1680,0.0000,1.1580,0.0000,1.1600,0.0000,1.1560,0.0000,1.1600,0.0000,23
2.9610,1.11,1.1200,-0.0500,1.1360,-0.0250,1.1200,-0.0500,1.1360,-0.0500,1.1360,-0.0500,1.1360,0.0000,1.1350,-0.0500,1.1360,0.0000,1.1360,0.0000,1.1360,0.0000,1.1280,0.0250,1.1360,0.0000,1.1280,0.0000,1.1280,0.0000,1.1290,0.0000,1.1360,0.0000,23
3.7070,1.08,1.1040,-0.0250,1.1040,0.0000,1.1010,-0.0750,1.1040,-0.0500,1.1050,0.0000,1.1040,0.0000,1.0880,-0.0250,1.1050,0.0000,1.1100,0.0000,1.1070,0.0000,1.1000,0.0000,1.1070,0.0000,1.1000,0.0000,1.1030,0.0000,1.1030,0.0000,1.1040,0.0000,23
4.4520,1.05,1.0740,-0.0250,1.0720,0.0000,1.0740,-0.0500,1.0740,-0.0250,1.0720,0.0000,1.0760,0.0000,1.0240,-0.0250,1.0630,0.0000,1.0810,0.0000,1.0770,0.0250,1.0700,0.0000,1.0800,0.0000,1.0680,0.0000,1.0740,0.0000,1.0720,0.0000,1.0760,0.0000,23
5.1980,1.02,1.0440,0.0000,1.0400,-0.0500,1.0440,-0.0500,1.0430,-0.0250,1.0400,0.0000,1.0440,-0.0250,1.0240,-0.0750,1.0440,0.0000,1.0370,0.0000,1.0350,0.0000,1.0360,0.0000,1.0420,0.0000,1.0350,0.0250,1.0340,0.0000,1.0370,0.0000,1.0440,0.0000,23
5.9430,0.99,1.0140,-0.0250,1.0140,-0.0750,1.0100,-0.0250,1.0160,-0.0250,1.0160,-0.0250,1.0160,-0.0750,0.0000,-0.0250,0.0000,0.0000,0.2560,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23
6.6890,0.96,0.9840,-0.0250,0.9850,-0.0250,0.9840,-0.0250,0.9600,0.0000,0.9730,-0.0250,0.9850,0.0000,0.9620,-0.1000,0.9600,-0.0250,0.9850,0.0000,0.9600,0.0000,0.9620,0.0000,0.9630,0.0000,0.9620,0.0000,0.9600,0.0000,0.9620,0.0500,0.9600,0.0000,23
7.4340,0.93,0.9550,-0.0250,0.8960,-0.0250,0.9550,0.0000,0.8960,-0.0250,0.8960,0.0000,0.9410,0.0000,0.9040,0.0000,0.9020,0.0000,0.9600,0.0000,0.9000,0.0000,0.8960,0.0000,0.9150,0.0000,0.8990,0.0000,0.8990,0.0250,0.8960,0.0500,0.9010,0.0000,23
8.1790,0.90,0.9180,0.0000,0.9120,0.0000,0.9180,-0.0250,0.9140,-0.0250,0.9210,0.0000,0.9120,0.0000,0.9180,0.0000,0.9280,0.0000,0.9280,0.0000,0.9040,0.0250,0.9040,0.0000,0.9280,0.0000,0.9040,-0.0250,0.9040,0.0000,0.9040,0.0000,0.9160,0.0000,23
8.9240,0.87,0.8640,0.0000,0.8960,0.0000,0.8640,0.0000,0.8960,0.0000,0.8960,0.0000,0.8960,0.0000,0.8960,-0.0500,0.8960,0.0000,0.8960,0.0000,0.8960,0.0000,0.7770,0.0000,0.8960,-0.0250,0.7760,0.0000,0.8060,0.0000,0.7760,0.0000,0.8960,0.0000,23
9.6690,0.84,0.8640,0.0000,0.8680,0.0000,0.8640,0.0000,0.8640,0.0000,0.8640,0.0000,0.8680,0.0000,0.8640,0.0000,0.8680,0.0000,0.8720,0.0000,0.8640,0.0000,0.8490,0.0000,0.8670,0.0250,0.8430,0.0000,0.8640,0.0000,0.8490,0.0000,0.8680,-0.0250,23
10.4130,0.81,0.8340,0.0000,0.8340,0.0000,0.8360,0.0000,0.8340,0.0000,0.8340,0.0000,0.8350,0.0000,0.8320,0.0000,0.8360,0.0000,0.8400,0.0000,0.8360,0.0000,0.8320,0.0000,0.8390,0.0000,0.7930,0.0000,0.8330,0.0000,0.8320,0.0000,0.8360,0.0000,23
11.1590,0.78,0.8000,0.0000,0.8080,0.0000,0.8060,0.0000,0.8080,-0.0250,0.8070,0.0000,0.8080,0.0000,0.8000,0.0000,0.8000,0.0000,0.8000,0.0000,0.8000,0.0000,0.8000,0.0000,0.8000,0.0000,0.8000,0.0000,0.8020,0.0000,0.8000,0.0000,0.8000,0.0000,23
11.9030,0.75,0.7680,0.0000,0.7760,0.0000,0.7720,-0.0500,0.7760,-0.0250,0.7760,0.0000,0.7760,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,0.0000,0.7680,-0.0250,0.7680,0.0000,23
12.6490,0.72,0.7440,0.0000,0.7470,-0.0250,0.7440,0.0000,0.7390,0.0000,0.7400,-0.0250,0.7450,-0.0250,0.7390,0.0000,0.7370,0.0000,0.7520,0.0000,0.7360,0.0000,0.7390,0.0250,0.7370,0.0250,0.7390,0.0000,0.7380,0.0000,0.7370,0.0250,0.7380,0.0000,23
13.3940,0.69,0.7140,-0.0250,0.7130,-0.0500,0.7130,0.0000,0.7040,0.0000,0.7040,0.0000,0.7100,0.0000,0.7120,0.0000,0.7080,0.0000,0.7230,0.0000,0.7060,0.0000,0.7040,0.0000,0.7080,0.0000,0.7060,0.0000,0.7040,0.0000,0.7040,0.0500,0.7080,0.0000,23
