Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time: ,1000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
12.8140, ovf, ovf, 1.42, ovf, 0.09, ovf, 0.09, ovf, 0.10, 0.02, 0.09, ovf, 0.09, 1.06, 0.09, ovf, ovf, 1.60, 0.09, 2128656384.00, ovf, 0.05, ovf, 2.03, 0.08, 0.41, 0.09, 1.03, ovf, ovf, ovf, ovf, -7.84, ovf, ovf, 3.65, -530495520.00, ovf, 0.08, 0.05, 0.09, ovf, 0.01, ovf, ovf, ovf, 0.09, 3.02, ovf, ovf, 0.10, ovf, 0.09, ovf, ovf, -17.77, ovf, ovf, ovf, ovf, 0.08, ovf, ovf, ovf, ovf, ovf, -668073792.0000, nan, ovf, 1.1765, -4017811968.0000, ovf, 1.0886, 0.0359, ovf, 1.4582, 0.0318, -3348.7873, 0.0359, 0.9390, 43.9881, 2.4989, 3.0868, 0.0328, 1.5082, -44.6390, 1.9290, -49664.7890, 3.4861, 4.0388, 3.3729, -1.3568, 0.0229, 3.3494, 0.0219, 0.0572, 0
25.6730, ovf, ovf, 0.31, ovf, 0.09, ovf, 0.11, ovf, 0.13, 0.02, 0.09, 1408987776.00, 0.08, 1.26, 0.13, ovf, ovf, 1.83, 0.13, 354776064.00, ovf, 0.04, ovf, 2.39, 0.07, 0.14, 0.09, 1.31, 1416891776.00, ovf, ovf, ovf, -1.21, ovf, ovf, 4.23, -88415920.00, ovf, 0.08, 0.09, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.12, 3.55, ovf, ovf, 0.11, ovf, 0.12, ovf, 1413461760.00, -20.76, ovf, ovf, ovf, ovf, 0.12, ovf, ovf, ovf, ovf, ovf, -111345648.0000, nan, ovf, 1.0867, -669635328.0000, ovf, 1.5015, 0.0789, ovf, 1.7236, 0.0371, -557.4948, 0.0352, 0.8632, 9.5245, 2.3850, 2.9497, 0.0471, 2.1067, -8.7866, 2.3161, -8274.9140, 3.9775, 4.7761, 4.4887, -1.5857, 0.0038, 4.2519, 0.0172, 0.0361, 0
38.5320, ovf, ovf, 0.10, ovf, 0.07, ovf, 0.11, ovf, 0.12, 0.00, 0.08, 234831296.00, 0.06, 1.38, 0.15, ovf, ovf, 1.82, 0.11, 59129344.00, ovf, 0.02, ovf, 2.43, 0.09, 0.07, 0.07, 1.40, 236148624.00, ovf, ovf, ovf, -0.11, ovf, ovf, 4.39, -14735987.00, ovf, 0.06, 0.07, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.11, 3.58, ovf, ovf, 0.12, ovf, 0.11, ovf, 235576960.00, -21.18, ovf, ovf, ovf, ovf, 0.10, ovf, ovf, ovf, ovf, ovf, -18557606.0000, nan, ovf, 1.1003, -111605888.0000, ovf, 1.7411, 0.0491, ovf, 1.7454, 0.0379, -92.4362, 0.0397, 0.8672, 3.7952, 2.4063, 2.9723, 0.0261, 2.2406, -2.9047, 2.3177, -1377.1547, 4.1761, 4.6862, 4.0301, -1.6179, 0.0006, 4.4969, 0.0138, 0.0321, 0
51.3930, ovf, ovf, 0.05, ovf, 0.04, ovf, 0.11, ovf, 0.13, 0.00, 0.09, 39138548.00, 0.08, 1.33, 0.17, ovf, ovf, 1.87, 0.09, 9854891.00, ovf, 0.02, ovf, 2.47, 0.08, 0.08, 0.04, 1.52, 39358104.00, ovf, ovf, ovf, 0.08, ovf, ovf, 4.40, -2455997.75, ovf, 0.04, 0.08, 0.13, ovf, 0.01, ovf, ovf, ovf, 0.12, 3.61, ovf, ovf, 0.12, ovf, 0.11, ovf, 39262828.00, -21.28, ovf, ovf, ovf, ovf, 0.08, ovf, ovf, ovf, ovf, ovf, -3092934.5000, nan, ovf, 1.0719, -18600982.0000, ovf, 1.6102, 0.0644, ovf, 1.7730, 0.0386, -15.0865, 0.0650, 0.8679, 2.9003, 2.3668, 2.9405, 0.0189, 2.2083, -2.0135, 2.3372, -227.0053, 4.2171, 4.8253, 4.0882, -1.6249, 0.0225, 4.5372, 0.0273, 0.0408, 0
