Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
0.0000, 0.08, 0.08, 0.09, 0.07, ovf, 0.08, 0.08, 0.42, 0.46, 0.02, 0.09, 0.03, 0.09, 0.07, nan, 0.00, 0.0547, 0.0463, 0.0573, 0.0328, 0.0120, nan, 0.0474, 0.0000, 1
2.8350, 0.12, 0.08, 0.12, 0.06, ovf, 0.08, 0.12, 0.07, 0.19, 0.02, 0.10, 0.02, 0.13, 0.08, nan, 0.02, 0.0633, 0.0499, 0.0658, 0.0055, 0.0166, nan, 0.0662, 0.0141, 1
5.6700, 0.14, 0.08, 0.15, 0.04, ovf, 0.10, 0.14, 0.03, 0.12, 0.05, 0.10, -0.01, 0.15, 0.08, nan, 0.04, 0.0751, 0.0417, 0.0938, 0.0171, 0.0392, nan, 0.0793, 0.0258, 1
8.5050, 0.17, 0.10, 0.17, 0.06, ovf, 0.10, 0.17, 0.05, 0.13, 0.03, 0.10, 0.03, 0.17, 0.10, nan, 0.01, 0.1063, 0.0648, 0.1120, 0.0591, 0.0216, nan, 0.1101, 0.0043, 1
11.3400, 0.19, 0.10, 0.16, 0.04, ovf, 0.10, 0.19, 0.04, 0.15, 0.00, 0.10, 0.02, 0.18, 0.08, nan, 0.03, 0.1245, 0.0441, 0.1270, 0.0526, 0.0036, nan, 0.0970, 0.0242, 1
