Voltage Range: 0.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Pixel 0 VSet,Pixel 0 V,Pixel 0 mA,Pixel 0 PCE,Pixel 1 VSet,Pixel 1 V,Pixel 1 mA,Pixel 1 PCE,Pixel 2 VSet,Pixel 2 V,Pixel  mA,Pixel 2 PCE,Pixel 3 VSet,Pixel 3 V,Pixel 3 mA,Pixel 3 PCE,Pixel 4 VSet,Pixel 4 V,Pixel 4 mA,Pixel 4 PCE,Pixel 5 VSet,Pixel 5 V,Pixel 5 mA,Pixel 5 PCE,Pixel 6 VSet,Pixel 6 V,Pixel 6 mA,Pixel 6 PCE,Pixel 7 VSet,Pixel 7 V,Pixel 7 mA,Pixel 7 PCE,Time
0.03, 0.0040, -0.1000, 0.0000, 0.03, 0.0016, -0.1000, 0.0000, 0.03, 0.0080, -0.0800, 0.0000, 0.03, 0.0016, -0.0800, 0.0000, 0.03, 0.0040, -0.1000, 0.0000, 0.03, ovf, ovf, 0.0000, 0.03, ovf, -0.0800, 0.0000, 0.03, ovf, 63225848.0000, 0.0001, 4.3340
0.06, 0.0328, -0.1200, 0.0002, 0.06, 0.0283, -0.1400, 0.0003, 0.06, 0.0384, -0.1160, 0.0003, 0.06, 0.0323, -0.1160, 0.0002, 0.06, 0.0328, -0.1000, 0.0002, 0.06, ovf, ovf, 0.0002, 0.06, ovf, -0.1160, 0.0003, 0.06, ovf, 12645170.0000, 0.0003, 8.6300
0.09, 0.0705, -0.1240, 0.0005, 0.09, 0.0625, -0.1280, 0.0004, 0.09, 0.0757, -0.1232, 0.0005, 0.09, 0.0697, -0.1032, 0.0004, 0.09, 0.0673, -0.0800, 0.0003, 0.09, ovf, ovf, 0.0005, 0.09, ovf, -0.1232, 0.0005, 0.09, ovf, 2529034.0000, 0.0004, 12.9240
0.12, 0.1061, -0.1048, 0.0006, 0.12, 0.1005, -0.1256, 0.0007, 0.12, 0.1111, -0.1046, 0.0006, 0.12, 0.1059, -0.1206, 0.0007, 0.12, 0.1055, -0.1160, 0.0007, 0.12, ovf, ovf, 0.0006, 0.12, ovf, -0.1046, 0.0006, 0.12, ovf, 505806.8125, 0.0005, 17.2190
0.15, 0.1452, -0.1210, 0.0010, 0.15, 0.1361, -0.1251, 0.0009, 0.15, 0.1470, -0.1209, 0.0010, 0.15, 0.1436, -0.1241, 0.0010, 0.15, 0.1411, -0.0832, 0.0006, 0.15, ovf, ovf, 0.0010, 0.15, ovf, -0.1209, 0.0010, 0.15, ovf, 101161.3281, 0.0004, 21.5150
