Voltage Range: 1.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 VSet,Pixel 0 V,Pixel 0 mA,Pixel 0 PCE,Pixel 1 VSet,Pixel 1 V,Pixel 1 mA,Pixel 1 PCE,Pixel 2 VSet,Pixel 2 V,Pixel  mA,Pixel 2 PCE,Pixel 3 VSet,Pixel 3 V,Pixel 3 mA,Pixel 3 PCE,Pixel 4 VSet,Pixel 4 V,Pixel 4 mA,Pixel 4 PCE,Pixel 5 VSet,Pixel 5 V,Pixel 5 mA,Pixel 5 PCE,Pixel 6 VSet,Pixel 6 V,Pixel 6 mA,Pixel 6 PCE,Pixel 7 VSet,Pixel 7 V,Pixel 7 mA,Pixel 7 PCE,NULL
4.3220, 1.11, 1.0764, 3.6000, 0.3027, 1.11, 1.0794, 2.1200, 0.1788, 1.11, 1.0801, 0.5800, 0.0489, 1.11, 1.0841, 0.8400, 0.0711, 1.11, 1.0762, 1.5600, 0.1312, 1.11, 1.0760, -0.0800, 0.0067, 1.11, 1.0841, ovf, 0.0898, 1.11, ovf, 0.7600, 0.0646, null
8.6200, 1.14, 1.3229, 4.7200, 0.3461, 1.14, 1.3241, 3.1040, 0.2320, 1.14, 1.3249, 1.2160, 0.0953, 1.14, 1.3290, 1.7080, 0.1338, 1.14, 1.3202, 2.3720, 0.1778, 1.11, 1.3192, -0.0760, 0.0052, 1.14, 1.3298, ovf, 0.1322, 1.14, ovf, 1.3920, 0.1081, null
12.9160, 1.17, 1.4011, 5.7040, 0.4226, 1.17, 1.4028, 3.8208, 0.2845, 1.17, 1.4012, 1.9632, 0.1527, 1.17, 1.4060, 2.5216, 0.1942, 1.17, 1.3971, 3.0744, 0.2302, 1.11, 1.3678, -0.1152, 0.0086, 1.17, 1.4070, ovf, 0.1961, 1.17, ovf, 2.0584, 0.1591, null
17.2140, 1.20, 1.4447, 6.5008, 0.4876, 1.20, 1.4481, 4.5842, 0.3485, 1.20, 1.4445, 2.7926, 0.2183, 1.20, 1.4519, 3.4243, 0.2671, 1.20, 1.4438, 4.0349, 0.3111, 1.14, 1.3760, -0.1030, 0.0069, 1.20, 1.4497, ovf, 0.2592, 1.20, ovf, 2.7917, 0.2181, null
21.5110, 1.23, 1.4816, 7.5002, 0.5777, 1.23, 1.4861, 5.3968, 0.4188, 1.23, 1.4836, 3.7585, 0.2987, 1.23, 1.4900, 4.3849, 0.3468, 1.23, 1.4804, 4.9070, 0.3817, 1.14, 1.4048, -0.1006, 0.0071, 1.23, 1.4879, ovf, 0.3538, 1.23, ovf, 3.6583, 0.2911, null
