Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Apr-25-2023 15_14_00,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
0.7530,1.20,0.1418,-18.0500,1.1794,-4.0250,0.1070,-19.5750,1.1805,-5.1750,0.7338,-17.4750,1.1763,-2.9000,1.1750,0.0500,1.1803,-3.2000,1.1804,-4.2000,1.1820,0.0250,1.1870,0.0500,1.1844,-3.9500,1.1763,-2.8500,1.1486,-16.4500,1.1791,-1.3250,1.1742,-1.6000,1.1721,-1.4000,1.1681,-1.3500,1.1721,-1.0500,1.1711,-1.2250,1.1641,-0.6750,1.1644,-3.5500,1.1633,-3.4000,1.1683,-3.0250,1.1763,-3.4750,1.1844,-3.5500,1.1670,0.0750,1.1763,-2.8000,1.1800,-0.0250,1.1730,0.0000,1.1541,-0.8000,1.1710,-0.0500,0
1.5500,1.17,0.1418,-18.1250,1.1543,-3.2250,0.1089,-19.5250,1.1564,-4.2250,0.7328,-17.5000,1.1512,-2.4250,1.1480,0.0500,1.1563,-2.7250,1.1564,-3.7500,1.1560,0.0000,1.1610,0.0500,1.1583,-3.2000,1.1482,-2.4000,1.1486,-16.4750,1.1521,-1.2250,1.1481,-1.5500,1.1471,-1.3500,1.1441,-1.2500,1.1481,-1.0250,1.1441,-1.1000,1.1391,-0.6250,1.1393,-3.3000,1.1363,-2.7000,1.1433,-2.5500,1.1493,-2.8500,1.1603,-2.9250,1.1410,0.0500,1.1522,-2.4000,1.1560,0.0250,1.1480,-0.0250,1.1301,-0.7750,1.1450,-0.0500,0
2.3450,1.14,0.1418,-18.0750,1.1272,-2.4250,0.1100,-19.5000,1.1283,-3.3000,0.7297,-17.5250,1.1242,-2.0000,1.1210,0.0250,1.1282,-2.3250,1.1263,-3.4000,1.1280,0.0250,1.1350,0.0500,1.1323,-2.6250,1.1232,-2.0000,1.1296,-15.8500,1.1251,-1.1750,1.1211,-1.3750,1.1201,-1.2000,1.1161,-1.1000,1.1221,-1.0000,1.1181,-1.1000,1.1121,-0.6500,1.1123,-3.0000,1.1082,-2.1750,1.1162,-2.1000,1.1222,-2.2000,1.1322,-2.3750,1.1160,0.0250,1.1242,-1.9750,1.1280,0.0250,1.1220,0.0000,1.1041,-0.7250,1.1180,-0.0250,0
3.1410,1.11,0.1418,-18.1500,1.1002,-1.8500,0.1070,-19.4500,1.1023,-2.5500,0.7298,-17.4750,1.0972,-1.6000,1.0960,0.0500,1.1032,-2.0000,1.1013,-3.1000,1.1040,0.0000,1.1070,0.0750,1.1042,-2.0250,1.0962,-1.5750,1.1015,-15.2000,1.0981,-1.1750,1.0951,-1.3000,1.0961,-1.1250,1.0921,-1.0500,1.0961,-0.9500,1.0931,-1.0000,1.0881,-0.6000,1.0883,-2.7500,1.0842,-1.6000,1.0892,-1.7000,1.0962,-1.7500,1.1072,-1.8750,1.0880,0.0500,1.0972,-1.6000,1.1010,0.0000,1.0960,0.0000,1.0771,-0.7000,1.0930,-0.0250,0
3.9370,1.08,0.1418,-18.0750,1.0741,-1.3500,0.1080,-19.5750,1.0752,-1.8750,0.7288,-17.5500,1.0711,-1.2250,1.0700,0.0250,1.0762,-1.7000,1.0753,-2.7500,1.0760,0.0500,1.0800,0.0500,1.0792,-1.6000,1.0691,-1.2750,1.0744,-14.4750,1.0721,-1.1500,1.0681,-1.1500,1.0681,-1.0000,1.0641,-0.9750,1.0721,-0.9500,1.0681,-1.0000,1.0611,-0.5500,1.0613,-2.5250,1.0601,-1.2250,1.0641,-1.3750,1.0691,-1.2750,1.0801,-1.4250,1.0620,0.0500,1.0721,-1.3000,1.0760,0.0000,1.0690,0.0000,1.0521,-0.7000,1.0650,0.0000,0
