Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.01,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,20,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Apr-25-2023 15_32_57,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,Pixel 1_0 PCE,Pixel 1_1 PCE,Pixel 1_2 PCE,Pixel 1_3 PCE,Pixel 1_4 PCE,Pixel 1_5 PCE,Pixel 1_6 PCE,Pixel 1_7 PCE,Pixel 2_0 PCE,Pixel 2_1 PCE,Pixel 2_2 PCE,Pixel 2_3 PCE,Pixel 2_4 PCE,Pixel 2_5 PCE,Pixel 2_6 PCE,Pixel 2_7 PCE,Pixel 3_0 PCE,Pixel 3_1 PCE,Pixel 3_2 PCE,Pixel 3_3 PCE,Pixel 3_4 PCE,Pixel 3_5 PCE,Pixel 3_6 PCE,Pixel 3_7 PCE,ARDUINOID
70.0940, 1.33, 0.58, 0.65, ovf, ovf, ovf, -72975.28, 3.15, ovf, ovf, ovf, 2.58, 0.73, ovf, 0.68, 2.11, ovf, 2.30, ovf, ovf, ovf, ovf, ovf, 2.68, ovf, ovf, ovf, ovf, ovf, 1.55, ovf, ovf, ovf, ovf, ovf, ovf, 0.50, -89478392.00, ovf, 2.29, ovf, ovf, 0.16, ovf, -42610300.00, 2.60, ovf, ovf, -83378040.00, ovf, 0.74, 2.35, 713550400.00, 498.28, 0.41, 2.47, ovf, ovf, nan, ovf, 0.37, ovf, 758791168.00, 3.44, ovf, ovf, 0.0114, 15.0758, ovf, nan, ovf, ovf, ovf, ovf, 0.9208, ovf, 13.5685, ovf, ovf, ovf, 150528.9531, 10.9081, ovf, ovf, ovf, ovf, ovf, ovf, inf, ovf, ovf, ovf, 0.2609, ovf, ovf, 3.7295, 0
74.6930, 0.23, 0.70, 0.75, ovf, ovf, ovf, -12161.84, 3.69, ovf, ovf, ovf, 3.00, 0.86, ovf, 0.79, 2.58, ovf, 2.60, ovf, ovf, ovf, ovf, ovf, 3.16, ovf, ovf, ovf, ovf, ovf, 2.09, ovf, ovf, ovf, ovf, ovf, ovf, 0.59, -14913065.00, ovf, 2.57, ovf, ovf, 0.48, ovf, -7101716.50, 3.02, ovf, ovf, -13896340.00, ovf, 0.86, 2.61, 118925064.00, 83.13, 0.76, 2.79, ovf, ovf, nan, ovf, 0.72, ovf, 126465192.00, 3.61, ovf, ovf, 0.0216, 19.8225, ovf, nan, ovf, ovf, ovf, ovf, 0.9519, ovf, 15.4822, ovf, ovf, ovf, 25098.3437, 12.1184, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.3075, ovf, ovf, 1.9883, 0
79.2900, 0.05, 0.70, 0.77, ovf, ovf, ovf, -2026.29, 3.80, ovf, ovf, ovf, 2.93, 0.89, ovf, 0.81, 2.63, ovf, 2.63, ovf, ovf, ovf, ovf, ovf, 3.24, ovf, ovf, ovf, ovf, ovf, 2.25, ovf, ovf, ovf, ovf, ovf, ovf, 0.60, -2485508.75, ovf, 2.49, ovf, ovf, 0.53, ovf, -1183618.87, 3.14, ovf, ovf, -2316055.75, ovf, 0.88, 2.62, 19820844.00, 13.92, 0.81, 2.88, ovf, ovf, nan, ovf, 0.78, ovf, 21077532.00, 3.68, ovf, ovf, 0.0264, 20.4395, ovf, nan, ovf, ovf, ovf, ovf, 1.0602, ovf, 15.9078, ovf, ovf, ovf, 4193.1831, 12.2239, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, ovf, 0.3200, ovf, ovf, 1.7371, 0
