Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Apr-26-2023 16_10_47,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Volts_output,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 1_0 V,Pixel 1_0 mA,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 2_0 V,Pixel 2_0 mA,Pixel 2_1 V,Pixel 2_1 mA,Pixel 2_2 V,Pixel 2_2 mA,Pixel 2_3 V,Pixel 2_3 mA,Pixel 2_4 V,Pixel 2_4 mA,Pixel 2_5 V,Pixel 2_5 mA,Pixel 2_6 V,Pixel 2_6 mA,Pixel 2_7 V,Pixel 2_7 mA,Pixel 3_0 V,Pixel 3_0 mA,Pixel 3_1 V,Pixel 3_1 mA,Pixel 3_2 V,Pixel 3_2 mA,Pixel 3_3 V,Pixel 3_3 mA,Pixel 3_4 V,Pixel 3_4 mA,Pixel 3_5 V,Pixel 3_5 mA,Pixel 3_6 V,Pixel 3_6 mA,Pixel 3_7 V,Pixel 3_7 mA,ARDUINOID
0.5840,1.20,1.2027,0.1000,1.1920,0.1333,1.2027,0.1000,1.1960,0.0000,1.1960,0.0000,1.1907,0.0000,1.1880,0.0333,1.1940,-6.7333,1.1859,-5.3000,1.1880,0.0000,1.1920,0.0333,1.1898,-5.0333,1.1820,-6.9667,1.1884,-4.3333,1.1835,-8.3000,1.1805,-5.2333,1.1792,-5.0667,1.1740,-6.9000,1.1800,-0.3000,1.1768,-8.3000,1.1713,-6.3667,1.1711,-17.5667,1.1720,0.0000,1.1760,0.0000,1.1893,0.0000,1.1987,0.0667,1.1800,0.0000,1.1907,0.0000,1.1920,0.0000,1.1880,0.0000,1.1800,0.0000,1.1840,0.0333,0
1.2120,1.17,1.1760,0.0333,1.1680,0.1000,1.1760,0.0667,1.1707,0.0333,1.1720,0.0000,1.1640,0.0000,1.1640,0.0667,1.1686,-5.7333,1.1605,-4.5667,1.1627,0.0000,1.1680,0.0667,1.1658,-4.4000,1.1566,-6.2000,1.1644,-4.0000,1.1594,-7.3000,1.1564,-4.4667,1.1551,-4.4000,1.1499,-5.9000,1.1587,-0.3000,1.1527,-7.0667,1.1472,-5.4667,1.1457,-16.7333,1.1467,0.1000,1.1520,0.0000,1.1640,0.0000,1.1733,0.0000,1.1560,0.0667,1.1640,0.0000,1.1680,0.0333,1.1600,0.0000,1.1560,0.0333,1.1573,0.1000,0
1.8400,1.14,1.1493,0.0000,1.1413,0.0667,1.1507,0.0667,1.1427,0.1000,1.1440,0.0000,1.1360,0.0000,1.1360,0.0000,1.1432,-4.8333,1.1364,-3.9000,1.1360,0.0000,1.1413,0.0333,1.1390,-3.8333,1.1286,-5.6333,1.1377,-3.7000,1.1326,-6.5000,1.1284,-3.8667,1.1284,-3.8333,1.1245,-5.1000,1.1320,-0.2000,1.1286,-6.0333,1.1218,-4.6667,1.1189,-15.8667,1.1200,0.0667,1.1253,0.0333,1.1360,0.0333,1.1480,0.0000,1.1280,0.0000,1.1360,0.0333,1.1400,0.0333,1.1360,0.0000,1.1280,0.0000,1.1293,0.0333,0
2.4670,1.11,1.1227,0.0667,1.1133,0.0667,1.1227,0.0667,1.1160,0.0667,1.1187,0.0000,1.1120,0.0000,1.1120,0.0333,1.1151,-4.1000,1.1083,-3.2333,1.1120,0.0000,1.1160,0.0667,1.1123,-3.2000,1.1045,-5.0000,1.1123,-3.4000,1.1059,-5.7000,1.1030,-3.3000,1.1043,-3.1667,1.1004,-4.4000,1.1080,-0.2000,1.1032,-5.1000,1.0964,-4.0667,1.0962,-15.3333,1.0947,0.0667,1.1000,0.0667,1.1093,0.0333,1.1200,0.0333,1.1000,0.0333,1.1107,0.0000,1.1147,0.0333,1.1080,0.0333,1.1000,0.0000,1.1040,0.1000,0
3.0940,1.08,1.0960,0.0000,1.0867,0.1000,1.0960,0.0667,1.0920,0.0000,1.0933,0.0000,1.0840,0.0000,1.0840,0.0333,1.0883,-3.4000,1.0843,-2.7000,1.0867,0.0333,1.0880,0.0000,1.0869,-2.7333,1.0764,-4.4333,1.0856,-3.1000,1.0805,-4.9667,1.0763,-2.7333,1.0789,-2.6667,1.0764,-3.7333,1.0814,-0.1667,1.0764,-4.2333,1.0723,-3.4000,1.0695,-14.6000,1.0680,0.1000,1.0760,0.0000,1.0840,0.0000,1.0947,0.0333,1.0747,0.0333,1.0840,0.0000,1.0867,0.0333,1.0800,0.0000,1.0760,0.0333,1.0773,0.0667,0
