Voltage Range: 1.2, , 
Voltage Step Size: 0.05, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
1.2,1.2529,-6.1455
1.15,1.2041,-4.9636
1.1,1.1534,-3.4545
1.05,1.1042,-2.1727
1,1.0532,-1.0909
0.95,1.004,-0.2091
0.9,0.9552,0.4364
0.85,0.9039,1
0.8,0.8533,1.4
0.75,0.8038,1.7182
0.7,0.7518,1.9727
0.65,0.7034,2.1182
0.6,0.6525,2.2273
0.55,0.6027,2.3364
0.5,0.5518,2.4091
0.45,0.5034,2.5
0.4,0.4525,2.5091
0.35,0.403,2.5455
0.3,0.3517,2.5727
0.25,0.3034,2.6
0.2,0.2517,2.6091
0.15,0.2023,2.6182
0.1,0.1525,2.6182
0.05,0.1037,2.6364
0,0.0557,2.6455
-0.05,0.0597,2.6455
0.05,0.0594,2.6
0.1,0.0554,2.6273
0.15,0.1037,2.5727
0.2,0.1525,2.5636
0.25,0.2023,2.5273
0.3,0.2518,2.5182
0.35,0.303,2.4727
0.4,0.3518,2.4545
0.45,0.403,2.4636
0.5,0.4518,2.4
0.55,0.5038,2.3273
0.6,0.5525,2.3182
0.65,0.603,2.2364
0.7,0.6525,2.1818
0.75,0.7034,2.1
0.8,0.7522,1.9273
0.85,0.8038,1.7091
0.9,0.8544,1.4
0.95,0.9039,1
1,0.9541,0.4636
1.05,1.0044,-0.2818
1.1,1.0529,-1.2364
1.15,1.1042,-2.3909
1.2,1.1535,-3.7364
