D1__testMartin__p1__1.0Sun__Rv__scan0	D1__testMartin__p1__1.0Sun__Rv__scan0	D1__testMartin__p1__1.0Sun__Fw__scan0	D1__testMartin__p1__1.0Sun__Fw__scan0	D1__testMartin__p2__1.0Sun__Rv__scan0	D1__testMartin__p2__1.0Sun__Rv__scan0	D1__testMartin__p2__1.0Sun__Fw__scan0	D1__testMartin__p2__1.0Sun__Fw__scan0	D1__testMartin__p3__1.0Sun__Rv__scan0	D1__testMartin__p3__1.0Sun__Rv__scan0	D1__testMartin__p3__1.0Sun__Fw__scan0	D1__testMartin__p3__1.0Sun__Fw__scan0	D1__testMartin__p4__1.0Sun__Rv__scan0	D1__testMartin__p4__1.0Sun__Rv__scan0	D1__testMartin__p4__1.0Sun__Fw__scan0	D1__testMartin__p4__1.0Sun__Fw__scan0	D1__testMartin__p5__1.0Sun__Rv__scan0	D1__testMartin__p5__1.0Sun__Rv__scan0	D1__testMartin__p5__1.0Sun__Fw__scan0	D1__testMartin__p5__1.0Sun__Fw__scan0	D1__testMartin__p6__1.0Sun__Rv__scan0	D1__testMartin__p6__1.0Sun__Rv__scan0	D1__testMartin__p6__1.0Sun__Fw__scan0	D1__testMartin__p6__1.0Sun__Fw__scan0	D1__testMartin__p7__1.0Sun__Rv__scan0	D1__testMartin__p7__1.0Sun__Rv__scan0	D1__testMartin__p7__1.0Sun__Fw__scan0	D1__testMartin__p7__1.0Sun__Fw__scan0	D1__testMartin__p8__1.0Sun__Rv__scan0	D1__testMartin__p8__1.0Sun__Rv__scan0	D1__testMartin__p8__1.0Sun__Fw__scan0	D1__testMartin__p8__1.0Sun__Fw__scan0
1.401245	0.0015390624999999998	-0.202448	-0.00115625	1.398722	0.004625	-0.198913	0.0008671875	1.389604	-35.698078124999995	-0.196752	21.615328124999998	1.400723	9.375e-05	-0.197553	-0.004046875	1.399083	-0.013015625	-0.197376	0.0025078125	1.395664	-26.3299921875	-0.198986	19.886140625	1.396804	-45.118125	-0.199222	19.724765625	1.396831	-0.00578125	-0.202731	0.008484374999999999
1.386863	0.009640625	-0.188097	0.0069375	1.388892	-0.00346875	-0.189165	-0.0043359375	1.39037	-36.02375	-0.192405	21.603085937499998	1.390346	0.0081953125	-0.192771	0.0224609375	1.389486	0.00665625	-0.188126	-0.0058828125	1.392324	-26.224039062499997	-0.189716	19.870046874999996	1.394513	-44.899562499999995	-0.189585	19.697671874999997	1.391967	-0.016296875000000002	-0.187964	0.0041484375
1.376692	-0.0077109375	-0.178319	0.00328125	1.379328	-0.0087734375	-0.174605	0.0070390625	1.385326	-35.651125	-0.178701	21.5060078125	1.37512	-0.005976562499999999	-0.178904	0.0060703125	1.379528	-0.009351562499999999	-0.178579	-0.0218828125	1.384833	-25.7146953125	-0.175066	19.85365625	1.387668	-44.2755859375	-0.175743	19.6621953125	1.377861	0.012054687500000001	-0.178423	0.0047265625
1.367176	-0.0053046875	-0.164047	-0.0036640625000000002	1.364831	-0.00346875	-0.165325	-0.00896875	1.376639	-34.82921875	-0.16491	21.4265703125	1.364967	0.003375	-0.164883	-0.017351562499999997	1.365018	-0.0126328125	-0.163977	-0.0018281249999999999	1.374959	-25.0136953125	-0.165474	19.855296875	1.375516	-43.30559375	-0.165708	19.6550625	1.367703	-0.0015390624999999998	-0.163485	0.0008671875
1.352524	-0.0081953125	-0.154017	-0.00675	1.355126	0.0075234375	-0.155342	-0.004242187499999999	1.366413	-33.7504765625	-0.151243	21.374414062499998	1.349387	-0.0047265625	-0.150644	-0.005109374999999999	1.350168	-0.011859375	-0.154516	-0.0150390625	1.365362	-24.2631328125	-0.155973	19.858281249999997	1.367899	-41.956609375	-0.156751	19.611875	1.353473	-0.000578125	-0.154095	0.00240625
1.342754	-0.0104140625	-0.144313	-0.0213046875	1.34107	0.0030859375	-0.14077	-0.0162890625	1.356289	-32.6398203125	-0.142161	21.314453125	1.344549	0.0014453125	-0.145481	0.014265624999999999	1.345527	-0.0007734374999999999	-0.144898	0.0081015625	1.353616	-23.35146875	-0.141854	19.833984375	1.360031	-40.6864921875	-0.143377	19.5917265625	1.339112	0.012054687500000001	-0.139646	-0.0021171874999999997
1.328248	0.002796875	-0.129679	0.0104140625	1.326033	-0.0179296875	-0.131288	-0.0037578125	1.344388	-31.317156249999996	-0.13253	21.277140624999998	1.329338	0.0194765625	-0.131488	0.0030859375	1.330974	0.007421875	-0.130177	0.0049140625	1.341757	-22.4200390625	-0.131945	19.846617187499998	1.349585	-39.20040625	-0.130141	19.5558671875	1.334145	-0.009734375	-0.129705	-0.0038593749999999995
1.31817	0.0056875	-0.11499	-0.0094453125	1.321722	-0.0010625	-0.116229	0.019375	1.33474	-30.20090625	-0.119302	21.1874921875	1.319462	0.0103125	-0.11733	0.008390625	1.316215	-0.0135	-0.115754	0.0178359375	1.330283	-21.469328125	-0.117778	19.837265625	1.338522	-37.405234375	-0.120756	19.533789062500002	1.315037	-0.00578125	-0.120056	0.0069375
1.308446	0.0077109375	-0.104951	0.01146875	1.306977	0.0060703125	-0.106787	0.0006718750000000001	1.323153	-28.8562578125	-0.105996	21.127625000000002	1.303855	0.016968749999999998	-0.108053	-0.0001953125	1.306366	0.00115625	-0.106483	0.00675	1.318729	-20.541078125000002	-0.103218	19.802562499999997	1.329322	-35.8383515625	-0.102826	19.490984375	1.310348	0.01359375	-0.110308	-0.00240625
1.293683	0.000578125	-0.095021	-0.005203125	1.292863	-0.00578125	-0.097189	-0.012046875	1.311758	-27.525882812499997	-0.097008	21.075273437499998	1.293714	0.0029921874999999996	-0.093611	-0.0009609375000000001	1.29668	-0.0127265625	-0.097006	-0.0179296875	1.307471	-19.586609375000002	-0.098232	19.816921875000002	1.315077	-34.2766875	-0.098491	19.4781640625	1.290986	-0.0195703125	-0.090744	-0.0009609375000000001
1.28409	-0.0013515625	-0.084873	0.010890625000000001	1.282942	0.0008671875	-0.082264	-0.0105078125	1.302373	-26.4163828125	-0.088179	21.023703125	1.283462	0.0196640625	-0.084339	0.025453125	1.281873	0.0076171875	-0.081729	0.018320312499999998	1.296048	-18.6476640625	-0.083818	19.83775	1.300981	-32.679249999999996	-0.084629	19.4571484375	1.286229	0.0014453125	-0.085764	-0.008
1.269797	0.016968749999999998	-0.070088	-0.00675	1.273258	-0.0201484375	-0.072108	-0.0276640625	1.288839	-24.829640625	-0.07048	20.920648437500002	1.268105	-0.01128125	-0.070262	0.016578125000000003	1.271839	-0.0171640625	-0.07203	-0.007421875	1.284841	-17.685570312499998	-0.069955	19.7978359375	1.290807	-31.2750234375	-0.071326	19.4106796875	1.271744	-0.011570312499999999	-0.071043	0.0094453125
1.259656	0.007421875	-0.059884	-0.012335937500000001	1.259333	0.013398437499999999	-0.056863	-0.001734375	1.277379	-23.4950234375	-0.061496	20.8559609375	1.263365	-0.0023125	-0.060631	0.005976562499999999	1.257605	0.0161953125	-0.056682	0.014171875	1.27321	-16.7021796875	-0.060216	19.79234375	1.280765	-29.936546875	-0.057271	19.4003671875	1.257632	0.0172578125	-0.056413	-0.0048203125
1.244887	0.00665625	-0.044563	0.0025078125	1.249539	-0.0092578125	-0.046793	0.011570312499999999	1.265895	-22.143242187499997	-0.048191	20.7982109375	1.243206	0.007132812499999999	-0.045575	-0.0026015625	1.247703	-0.0139765625	-0.051796	-0.0086796875	1.25937	-15.5428359375	-0.046294	19.7836640625	1.27175	-28.123624999999997	-0.052977	19.3912109375	1.247804	-0.009156250000000001	-0.051362	-0.00115625
1.240072	-0.003375	-0.039909	-0.012921875000000001	1.235368	0.011085937499999999	-0.036918	-0.0058828125	1.254296	-20.789624999999997	-0.034947	20.71203125	1.238112	0.0054921875	-0.035272	-0.0223671875	1.233124	-0.008484374999999999	-0.031264	-0.006171875	1.250558	-14.7538046875	-0.036716	19.782890625	1.260117	-26.181718749999998	-0.034899	19.3317265625	1.233397	0.0006718750000000001	-0.031506	0.0019296874999999998
1.220773	0.010796875	-0.024979	0.012335937500000001	1.220768	0.015328125000000001	-0.026906	0.0081953125	1.24082	-19.2545703125	-0.025845	20.6697109375	1.222682	0.0099296875	-0.024816	0.0048203125	1.223405	0.0047265625	-0.026487	0.005015625	1.236776	-13.5909921875	-0.02696	19.7837578125	1.242727	-25.015328125	-0.025762	19.3226640625	1.223678	-0.002703125	-0.02644	-0.002796875
1.21071	0.007421875	-0.009915	-0.025164062499999997	1.21605	-0.004625	-0.006756	0.0076171875	1.229268	-17.9039453125	-0.012596	20.587859375	1.212506	-0.00038281249999999996	-0.01449	-0.0044375000000000005	1.213365	-0.02265625	-0.011382	-0.011859375	1.225212	-12.6214765625	-0.007996	19.772484374999998	1.236369	-23.378171875	-0.012341	19.281984374999997	1.214043	-0.01590625	-0.011578	-0.0041484375
1.201254	-0.0053046875	9.3e-05	0.0031796875000000002	1.201383	0.002890625	-0.0018	-0.008390625	1.219246	-16.752890625	-0.003755	20.536093750000003	1.197202	-0.0099296875	0.005883	-0.0135	1.203458	-0.0207265625	-0.001087	-0.005203125	1.21367	-11.6339375	-0.003184	19.750789062499997	1.222438	-21.575859375	-0.003193	19.2641484375	1.20429	-0.0007734374999999999	-0.001616	-0.0015390624999999998
