Voltage Range: 1.2, , , 
Voltage Step Size: 0.01, , , 
Voltage Read Count: 10, , , 
Voltage Delay Time: 5, , , 
Volts_output,Volts Pixel 1,Current Pixel 1,Powa
Val1: 1.20, Val2: 0.01, Val3: 10, Val4: 5
1.2,1.2016,-2.3636,0.116
1.19,1.2042,-2.2818,0.22
1.18,1.194,-2.0636,0.324
1.17,1.1842,-1.8727,0.429
1.16,1.1736,-1.6727,0.532
1.15,1.1641,-1.4818,0.636
1.14,1.155,-1.2909,0.741
1.13,1.1441,-1.1,0.844
1.12,1.1343,-0.9182,0.949
1.11,1.1241,-0.7364,1.053
1.1,1.1153,-0.6,1.157
1.09,1.1044,-0.4091,1.261
1.08,1.0953,-0.2636,1.364
1.07,1.084,-0.0818,1.469
1.06,1.0745,0.0818,1.572
1.05,1.0643,0.2182,1.677
1.04,1.0538,0.3818,1.78
1.03,1.0439,0.5091,1.885
1.02,1.0356,0.6273,1.989
1.01,1.0243,0.7636,2.093
1,1.0152,0.9,2.197
0.99,1.0039,1,2.3
0.98,0.9944,1.0909,2.405
0.97,0.9846,1.2,2.509
0.96,0.9755,1.3,2.613
0.95,0.9642,1.4,2.717
0.94,0.9551,1.4909,2.822
0.93,0.9438,1.5818,2.925
0.92,0.9355,1.6545,3.03
0.91,0.9238,1.7182,3.134
0.9,0.9151,1.7636,3.237
0.89,0.9038,1.8273,3.342
0.88,0.8954,1.8909,3.445
0.87,0.8845,1.9545,3.55
0.86,0.8751,1.9818,3.654
0.85,0.8638,2.0091,3.758
0.84,0.8529,2.0818,3.862
0.83,0.8442,2.1,3.966
0.82,0.834,2.1727,4.07
0.81,0.8238,2.1909,4.174
0.8,0.8151,2.2091,4.278
0.79,0.8034,2.2636,4.382
0.78,0.7925,2.2636,4.487
0.77,0.7834,2.2909,4.59
0.76,0.7718,2.3091,4.695
0.75,0.7634,2.3273,4.799
0.74,0.7521,2.3364,4.902
0.73,0.7427,2.3909,5.007
0.72,0.7321,2.4,5.111
0.71,0.7238,2.4273,5.215
0.7,0.7118,2.4273,5.319
0.69,0.7038,2.4364,5.423
0.68,0.6921,2.4727,5.527
0.67,0.6834,2.5,5.632
0.66,0.6718,2.5,5.735
0.65,0.6638,2.5,5.839
0.64,0.6521,2.5,5.943
0.63,0.6434,2.5091,6.047
0.62,0.6321,2.5,6.152
0.61,0.6237,2.4909,6.255
0.6,0.6117,2.5091,6.36
0.59,0.6027,2.5091,6.464
0.58,0.5925,2.5,6.567
0.57,0.5827,2.5273,6.672
0.56,0.5725,2.5091,6.775
0.55,0.5627,2.5182,6.88
0.54,0.5517,2.5091,6.984
0.53,0.5434,2.5273,7.088
0.52,0.5317,2.5545,7.192
0.51,0.5237,2.5636,7.296
0.5,0.5117,2.5636,7.4
0.49,0.5037,2.5545,7.504
0.48,0.4917,2.5909,7.608
0.47,0.483,2.5727,7.712
0.46,0.4721,2.5727,7.817
0.45,0.4634,2.5636,7.92
0.44,0.4525,2.5909,8.025
0.43,0.4434,2.5727,8.128
0.42,0.4321,2.5909,8.232
0.41,0.4234,2.6,8.337
0.4,0.4117,2.6,8.44
0.39,0.4026,2.5909,8.545
0.38,0.3917,2.6,8.648
0.37,0.3812,2.5909,8.753
0.36,0.3717,2.6,8.857
0.35,0.3605,2.6091,8.961
0.34,0.3517,2.6182,9.065
0.33,0.3405,2.6091,9.168
0.32,0.3317,2.6,9.273
0.31,0.3223,2.6,9.377
0.3,0.3117,2.6091,9.481
0.29,0.3023,2.6091,9.585
0.28,0.2917,2.6273,9.689
0.27,0.2823,2.6364,9.793
