Voltage Range: 1.2, , 
Voltage Step Size: 0.01, , 
Voltage Read Count: 10, , 
Volts_output,Volts Pixel 1,Current Pixel 1
1.2,1.2139,-4.5455
1.19,1.2045,-4.9909
1.18,1.1925,-4.6727
1.17,1.1844,-4.4091
1.16,1.1724,-4.1364
1.15,1.1644,-3.8727
1.14,1.1527,-3.6182
1.13,1.1443,-3.3364
1.12,1.1327,-3.1091
1.11,1.1236,-2.8909
1.1,1.1134,-2.6727
1.09,1.1042,-2.4364
1.08,1.093,-2.2636
1.07,1.0842,-2.0545
1.06,1.0729,-1.8727
1.05,1.0642,-1.6909
1.04,1.054,-1.5364
1.03,1.0438,-1.4
1.02,1.035,-1.2818
1.01,1.0241,-1.1727
1,1.0146,-1.0182
0.99,1.0041,-0.8909
0.98,0.9943,-0.8
0.97,0.9844,-0.7
0.96,0.9735,-0.6273
0.95,0.9641,-0.5545
0.94,0.9546,-0.4818
0.93,0.9444,-0.4364
0.92,0.9342,-0.3636
0.91,0.924,-0.3
0.9,0.9153,-0.2727
0.89,0.904,-0.2
0.88,0.8942,-0.1909
0.87,0.884,-0.1545
0.86,0.8742,-0.1091
0.85,0.864,-0.1
0.84,0.8524,-0.0364
0.83,0.844,-0.0273
0.82,0.8327,0
0.81,0.824,-0.0091
0.8,0.8135,0
0.79,0.8029,0.0091
0.78,0.792,0.0364
0.77,0.7814,0.0818
0.76,0.772,0.0455
0.75,0.7622,0.0909
0.74,0.752,0.0636
0.73,0.7418,0.1
0.72,0.732,0.1
0.71,0.7229,0.0909
0.7,0.712,0.0909
0.69,0.7025,0.1
0.68,0.692,0.0909
0.67,0.6829,0.1
0.66,0.672,0.1
0.65,0.6629,0.0909
0.64,0.652,0.0818
0.63,0.6429,0.1
0.62,0.6316,0.0909
0.61,0.6211,0.0818
0.6,0.612,0.0818
0.59,0.6025,0.0818
0.58,0.592,0.0909
0.57,0.5811,0.0909
0.56,0.572,0.0727
0.55,0.5618,0.0545
0.54,0.552,0.0909
0.53,0.5425,0.0636
0.52,0.532,0.0818
0.51,0.5236,0.0455
0.5,0.5124,0.0818
0.49,0.5029,0.0818
0.48,0.4924,0.0818
0.47,0.4818,0.0909
0.46,0.472,0.0818
0.45,0.4607,0.0818
0.44,0.452,0.0818
0.43,0.4433,0.0818
0.42,0.432,0.0818
0.41,0.4222,0.0818
0.4,0.412,0.0909
0.39,0.4014,0.0909
0.38,0.3916,0.0727
0.37,0.3804,0.0727
0.36,0.372,0.0909
0.35,0.36,0.0818
0.34,0.3516,0.0818
0.33,0.3404,0.0818
0.32,0.3305,0.0909
0.31,0.32,0.0909
0.3,0.312,0.0818
0.29,0.3011,0.0727
0.28,0.2913,0.0909
0.27,0.2814,0.0909
0.26,0.2716,0.0818
0.25,0.2604,0.1
0.24,0.252,0.0909
0.23,0.24,0.1
0.22,0.2316,0.0909
0.21,0.2204,0.0727
0.2,0.2116,0.1
0.19,0.2004,0.0909
0.18,0.1916,0.1091
0.17,0.1814,0.0909
0.16,0.1716,0.0909
0.15,0.1614,0.1
0.14,0.152,0.0727
0.13,0.1411,0.0909
0.12,0.132,0.0727
0.11,0.1214,0.1
0.1,0.112,0.0909
0.09,0.1036,0.1
0.08,0.092,0.0909
0.07,0.0814,0.1
0.06,0.072,0.0909
0.05,0.0618,0.1091
0.04,0.052,0.0818
0.03,0.0411,0.0818
0.02,0.032,0.0909
0.01,0.0204,0.0909
0,0.012,0.1
-0.01,0.0047,0.1
0.01,0.004,0.0636
0.02,0.012,0.0909
0.03,0.02,0.0818
0.04,0.032,0.0909
0.05,0.0407,0.0909
0.06,0.052,0.1
0.07,0.0614,0.0909
0.08,0.072,0.0909
0.09,0.0818,0.1
0.1,0.0916,0.0909
0.11,0.1014,0.0909
0.12,0.112,0.1
0.13,0.1204,0.0727
0.14,0.132,0.0909
0.15,0.1407,0.0909
0.16,0.1516,0.0818
0.17,0.1614,0.0909
0.18,0.172,0.0909
0.19,0.1811,0.0909
0.2,0.192,0.0909
0.21,0.2,0.0727
0.22,0.212,0.0909
0.23,0.2214,0.0818
0.24,0.232,0.0909
0.25,0.2411,0.1
0.26,0.252,0.0818
0.27,0.2611,0.0818
0.28,0.272,0.0727
0.29,0.2811,0.0909
0.3,0.292,0.0909
0.31,0.3011,0.0818
0.32,0.3116,0.0727
0.33,0.3207,0.0909
0.34,0.3309,0.0909
0.35,0.34,0.0727
0.36,0.3516,0.0818
0.37,0.36,0.0909
0.38,0.3713,0.0909
0.39,0.3807,0.0818
0.4,0.3916,0.1
0.41,0.4025,0.1
0.42,0.4116,0.0909
0.43,0.4222,0.0909
0.44,0.432,0.0818
0.45,0.4411,0.0727
0.46,0.452,0.0818
0.47,0.4618,0.0818
0.48,0.472,0.0818
0.49,0.4818,0.0818
0.5,0.4924,0.0818
0.51,0.5025,0.1
0.52,0.512,0.0909
0.53,0.5233,0.0818
0.54,0.532,0.0545
0.55,0.5433,0.0818
0.56,0.552,0.1
0.57,0.5607,0.0636
0.58,0.5716,0.0909
0.59,0.5814,0.0727
0.6,0.592,0.0818
0.61,0.6022,0.0818
0.62,0.612,0.0909
0.63,0.62,0.0818
0.64,0.632,0.0909
0.65,0.6429,0.1
0.66,0.652,0.1
0.67,0.6607,0.1
0.68,0.672,0.1
0.69,0.6807,0.0909
0.7,0.692,0.1182
0.71,0.7022,0.1091
0.72,0.7124,0.0909
0.73,0.7214,0.0818
0.74,0.732,0.0909
0.75,0.7418,0.1091
0.76,0.752,0.1
0.77,0.7629,0.0909
0.78,0.772,0.1
0.79,0.7829,0.0909
0.8,0.7924,0.0909
0.81,0.8025,0.0727
0.82,0.8134,0.0818
0.83,0.8236,0.0818
0.84,0.832,0.0273
0.85,0.844,0.0636
0.86,0.8524,0.0364
0.87,0.864,0.0273
0.88,0.8735,0.0182
0.89,0.884,0.0182
0.9,0.8956,-0.0091
0.91,0.904,-0.0182
0.92,0.9153,-0.0364
0.93,0.924,-0.0727
0.94,0.9356,-0.1
0.95,0.944,-0.1273
0.96,0.9542,-0.1727
0.97,0.964,-0.2091
0.98,0.9746,-0.2727
0.99,0.9848,-0.3182
1,0.9949,-0.3727
1.01,1.004,-0.4636
1.02,1.0157,-0.5364
1.03,1.0241,-0.6364
1.04,1.0353,-0.7455
