Voltage Range: ,1.4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Nov-09-2023 13_38_40,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Voltage_Applied,Pixel 1_1 V,Pixel 1_1 mA,Pixel 1_2 V,Pixel 1_2 mA,Pixel 1_3 V,Pixel 1_3 mA,Pixel 1_4 V,Pixel 1_4 mA,Pixel 1_5 V,Pixel 1_5 mA,Pixel 1_6 V,Pixel 1_6 mA,Pixel 1_7 V,Pixel 1_7 mA,Pixel 1_8 V,Pixel 1_8 mA,ARUDUINOID
0.5740,1.40,1.3731,-10.8400,1.3840,-0.0400,1.3872,-0.0200,1.3800,0.0200,1.3772,-11.9600,1.3832,0.0000,1.3891,-10.8200,1.3695,-15.1600,1
1.1610,1.37,1.3450,-9.9000,1.3560,0.0000,1.3576,0.0000,1.3520,0.0000,1.3491,-10.8600,1.3552,0.0200,1.3610,-10.0000,1.3414,-14.0400,1
1.7500,1.34,1.3161,-8.9200,1.3248,0.0000,1.3280,-0.0200,1.3216,0.0200,1.3186,-9.7000,1.3264,0.0000,1.3321,-9.0800,1.3117,-12.7600,1
2.3380,1.31,1.2880,-7.9600,1.2976,-0.0200,1.2976,-0.0200,1.2920,0.0200,1.2905,-8.6000,1.2976,0.0200,1.3040,-8.1400,1.2835,-11.4800,1
2.9270,1.28,1.2599,-7.0200,1.2688,-0.0600,1.2680,0.0000,1.2640,0.0000,1.2608,-7.6000,1.2680,0.0200,1.2751,-7.2600,1.2562,-10.1600,1
3.5140,1.25,1.2310,-6.1200,1.2408,-0.0200,1.2400,0.0200,1.2360,0.0000,1.2343,-6.6000,1.2400,0.0200,1.2446,-6.4000,1.2281,-8.8800,1
4.1030,1.22,1.2005,-5.1800,1.2112,0.0000,1.2088,0.0000,1.2040,0.0000,1.2054,-5.6000,1.2112,0.0400,1.2166,-5.5400,1.1976,-7.6400,1
4.6910,1.19,1.1724,-4.3800,1.1800,0.0000,1.1800,0.0000,1.1752,0.0000,1.1765,-4.6400,1.1800,0.0400,1.1869,-4.7400,1.1686,-6.4800,1
5.2800,1.16,1.1436,-3.6200,1.1520,0.0000,1.1520,0.0000,1.1448,0.0000,1.1484,-3.8200,1.1520,0.0400,1.1564,-4.0000,1.1405,-5.4200,1
5.8680,1.13,1.1139,-2.9400,1.1240,0.0000,1.1232,-0.0200,1.1176,0.0000,1.1187,-3.0800,1.1200,0.0200,1.1283,-3.2800,1.1116,-4.4200,1
6.4560,1.10,1.0874,-2.3200,1.0944,0.0000,1.0944,0.0200,1.0880,0.0200,1.0882,-2.4000,1.0920,0.0600,1.0995,-2.6600,1.0812,-3.6200,1
