Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Oct-27-2023 17_18_16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Voltage_Applied,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,ARUDUINOID
0.6190,1.20,1.2088,-8.5333,1.2166,-5.6000,1.2166,-6.0333,1.2113,-6.3667,1.2128,-7.7000,1.2166,-6.1667,1.2247,-6.7000,1.2080,0.0333,1
1.2490,1.17,1.1794,-7.4667,1.1885,-4.9000,1.1872,-5.0667,1.1805,-5.3000,1.1847,-6.7667,1.1886,-5.8333,1.1939,-5.7000,1.1787,0.0000,1
1.8780,1.14,1.1486,-6.4000,1.1591,-4.2000,1.1564,-4.2333,1.1525,-4.5667,1.1539,-5.9000,1.1566,-5.5667,1.1645,-4.7333,1.1480,0.0000,1
2.5080,1.11,1.1205,-5.5000,1.1310,-3.5000,1.1284,-3.5000,1.1244,-3.8333,1.1245,-5.0000,1.1285,-5.3333,1.1364,-3.8000,1.1200,0.0333,1
3.1380,1.08,1.0925,-4.6000,1.1003,-2.8333,1.1003,-2.7000,1.0963,-3.1333,1.0964,-4.1000,1.1005,-5.1000,1.1083,-2.9333,1.0920,0.0000,1
3.7680,1.05,1.0644,-3.8000,1.0722,-2.2333,1.0722,-2.0667,1.0656,-2.4333,1.0683,-3.5000,1.0725,-4.8667,1.0776,-2.2000,1.0613,0.0000,1
4.3970,1.02,1.0350,-3.0000,1.0415,-1.5000,1.0428,-1.3667,1.0362,-1.8000,1.0376,-2.7000,1.0418,-4.6000,1.0481,-1.3667,1.0320,0.0333,1
5.0270,0.99,1.0082,-2.3000,1.0121,-0.9000,1.0161,-0.8333,1.0081,-1.2000,1.0082,-2.1333,1.0124,-4.4000,1.0201,-0.6333,1.0040,0.1000,1
5.6570,0.96,0.9762,-1.7000,0.9840,-0.4333,0.9854,-0.2000,0.9787,-0.6667,0.9801,-1.5000,0.9844,-4.2333,0.9920,-0.0333,0.9733,0.1000,1
6.2870,0.93,0.9481,-1.1667,0.9560,0.0667,0.9560,0.3000,0.9507,-0.1667,0.9521,-0.8667,0.9564,-4.0000,0.9626,0.5000,0.9453,0.0667,1
6.9160,0.90,0.9187,-0.6667,0.9253,0.5667,0.9279,0.7333,0.9213,0.0333,0.9240,-0.2667,0.9244,-3.8667,0.9332,1.0000,0.9160,0.1000,1
7.5460,0.87,0.8880,-0.2333,0.8959,1.0000,0.8959,1.2000,0.8893,0.4667,0.8920,0.1000,0.8964,-3.7000,0.9039,1.4000,0.8840,0.1000,1
8.1760,0.84,0.8586,0.1333,0.8679,1.3333,0.8678,1.4333,0.8599,0.8000,0.8640,0.5000,0.8644,-3.5333,0.8718,1.8000,0.8560,0.1000,1
8.8060,0.81,0.8306,0.4667,0.8358,1.6667,0.8358,1.7667,0.8319,1.1000,0.8333,0.7667,0.8363,-3.4000,0.8438,2.1333,0.8280,0.1667,1
9.4350,0.78,0.8013,0.6667,0.8078,1.9333,0.8078,1.9667,0.8039,1.3000,0.8039,1.2000,0.8043,-3.3000,0.8131,2.3333,0.7960,0.1333,1
10.0650,0.75,0.7706,0.9333,0.7758,2.1667,0.7758,2.1000,0.7718,1.5333,0.7732,1.4333,0.7750,-3.2000,0.7811,2.5000,0.7640,0.1667,1
10.6960,0.72,0.7412,1.2000,0.7464,2.3000,0.7464,2.3000,0.7425,1.7000,0.7438,1.6667,0.7443,-3.1333,0.7517,2.6667,0.7360,0.2000,1
11.3260,0.69,0.7119,1.2667,0.7158,2.4000,0.7158,2.4000,0.7118,1.9000,0.7158,1.8667,0.7150,-3.1333,0.7224,2.7667,0.7080,0.2000,1
11.9560,0.66,0.6825,1.4667,0.6877,2.5333,0.6864,2.5000,0.6838,2.0333,0.6865,2.0000,0.6870,-3.1000,0.6917,2.8333,0.6773,0.1333,1
12.5850,0.63,0.6518,1.7000,0.6571,2.6000,0.6557,2.6000,0.6558,2.1667,0.6558,2.1000,0.6563,-3.1000,0.6637,2.9000,0.6480,0.1000,1
13.2150,0.60,0.6212,1.8000,0.6264,2.7000,0.6264,2.6333,0.6238,2.3000,0.6264,2.2333,0.6283,-3.1000,0.6317,2.9333,0.6200,0.1000,1
13.8450,0.57,0.5918,1.9000,0.5957,2.7000,0.5971,2.6667,0.5958,2.3667,0.5958,2.1000,0.5963,-3.0667,0.6037,2.9667,0.5880,0.0333,1
14.4750,0.54,0.5625,2.0667,0.5677,2.7333,0.5677,2.7000,0.5638,2.4333,0.5678,2.3000,0.5683,-3.0667,0.5717,3.0000,0.5600,0.0333,1
15.1040,0.51,0.5331,2.1333,0.5397,2.7333,0.5397,2.8000,0.5358,2.5667,0.5398,2.4333,0.5363,-3.0667,0.5437,3.0667,0.5307,0.0333,1
15.7340,0.48,0.5038,2.2333,0.5077,2.8000,0.5077,2.8000,0.5064,2.6000,0.5078,2.5000,0.5083,-3.0667,0.5117,3.1000,0.5000,0.0000,1
16.3640,0.45,0.4744,2.4000,0.4797,2.8000,0.4797,2.8000,0.4757,2.6333,0.4797,2.5667,0.4763,-3.0000,0.4837,3.1000,0.4707,0.0333,1
16.9940,0.42,0.4464,2.4667,0.4477,2.8667,0.4490,2.9000,0.4477,2.6667,0.4517,2.6667,0.4483,-3.0333,0.4517,3.1000,0.4413,0.0000,1
17.6230,0.39,0.4157,2.5333,0.4197,2.9000,0.4197,2.9333,0.4171,2.7000,0.4197,2.7000,0.4190,-3.0000,0.4237,3.1000,0.4120,0.0333,1
18.2530,0.36,0.3837,2.6333,0.3877,2.9000,0.3877,2.9000,0.3877,2.7000,0.3891,2.8333,0.3870,-3.0000,0.3917,3.1333,0.3800,0.0000,1
18.8820,0.33,0.3557,2.6667,0.3597,2.9000,0.3597,2.9667,0.3557,2.7667,0.3597,2.8667,0.3563,-3.0000,0.3610,3.1667,0.3493,0.0000,1
19.5120,0.30,0.3264,2.7000,0.3277,2.9333,0.3277,2.9333,0.3277,2.7667,0.3317,2.9000,0.3283,-3.0000,0.3317,3.1667,0.3213,0.0333,1
20.1410,0.27,0.2971,2.8000,0.2984,2.9333,0.2984,3.0000,0.2957,2.8000,0.2997,2.9000,0.2976,-3.0000,0.2997,3.2000,0.2907,0.0000,1
20.7710,0.24,0.2677,2.8333,0.2690,2.9333,0.2677,3.0333,0.2677,2.7667,0.2717,3.0000,0.2683,-2.9667,0.2717,3.2000,0.2600,0.0333,1
21.4010,0.21,0.2384,2.9333,0.2397,2.9667,0.2370,3.0333,0.2384,2.8333,0.2397,3.0333,0.2403,-3.0000,0.2397,3.1667,0.2320,0.0000,1
22.0310,0.18,0.2077,3.0000,0.2077,2.9667,0.2077,3.0667,0.2077,2.8000,0.2117,3.1000,0.2096,-3.0000,0.2117,3.2333,0.2000,0.0000,1
22.6600,0.15,0.1757,3.0000,0.1797,3.0000,0.1797,3.0667,0.1771,2.8333,0.1837,3.1000,0.1803,-2.9333,0.1797,3.2000,0.1733,0.0000,1
23.2900,0.12,0.1477,3.0667,0.1517,3.0000,0.1477,3.0333,0.1477,2.8667,0.1530,3.2000,0.1510,-2.9000,0.1503,3.2000,0.1440,0.0667,1
23.9190,0.09,0.1170,3.1000,0.1210,3.0000,0.1170,3.0667,0.1184,2.9000,0.1237,3.2000,0.1203,-2.9333,0.1197,3.2000,0.1133,0.0000,1
24.5490,0.06,0.0877,3.1000,0.0917,3.0000,0.0877,3.1000,0.0877,2.8333,0.0930,3.2000,0.0883,-2.9333,0.0917,3.2000,0.0840,0.0333,1
25.1780,0.03,0.0637,3.1667,0.0597,3.0333,0.0637,3.1000,0.0597,2.9000,0.0637,3.2333,0.0603,-2.9667,0.0663,3.2000,0.0560,0.0000,1
