Voltage Range (V): ,0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size (V): ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time (ms): ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Measurement Time (Hrs): ,600,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Start Date: ,Oct-27-2023 17_18_16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0_0 V,Pixel 0_0 mA,Pixel 0_1 V,Pixel 0_1 mA,Pixel 0_2 V,Pixel 0_2 mA,Pixel 0_3 V,Pixel 0_3 mA,Pixel 0_4 V,Pixel 0_4 mA,Pixel 0_5 V,Pixel 0_5 mA,Pixel 0_6 V,Pixel 0_6 mA,Pixel 0_7 V,Pixel 0_7 mA,Pixel 0_0 PCE,Pixel 0_1 PCE,Pixel 0_2 PCE,Pixel 0_3 PCE,Pixel 0_4 PCE,Pixel 0_5 PCE,Pixel 0_6 PCE,Pixel 0_7 PCE,ARUDUINOID
1.3820, ovf, 3.10, ovf, 3.00, ovf, 3.10, ovf, 2.85, -5223919.50, 268436480.00, ovf, -2.85, 0.08, 3.25, -0.00, -0.00, ovf, ovf, 1.8332, 1.4410, nan, -0.0063, 1.9214, -0.0000, 0
2.7750, ovf, 4.65, ovf, 4.50, ovf, 4.60, ovf, 4.28, -2611959.75, 134218240.00, ovf, -4.32, 0.11, 4.82, 0.02, 0.05, ovf, ovf, 2.6250, 2.0937, nan, -0.4629, 2.7527, 0.0063, 0
4.1670, ovf, 5.38, ovf, 5.25, ovf, 5.40, ovf, 5.04, -1305979.87, 67109120.00, ovf, -5.11, 0.13, 5.61, 0.04, 0.03, ovf, ovf, 2.9519, 2.3545, nan, -1.1600, 3.1684, 0.0031, 0
5.5600, ovf, 5.79, ovf, 5.63, ovf, 5.75, ovf, 5.37, -652989.81, 33554560.00, ovf, -5.46, 0.13, 6.01, 0.08, 0.06, ovf, ovf, 3.0890, 2.5067, nan, -1.9462, 3.3762, 0.0234, 0
6.9510, ovf, 6.04, ovf, 5.81, ovf, 5.93, ovf, 5.48, -326494.84, 16777284.00, ovf, -5.73, 0.14, 6.20, 0.11, 0.03, ovf, ovf, 3.1575, 2.9972, nan, -2.8551, 3.4801, 0.0117, 0
8.3440, ovf, 6.12, ovf, 5.86, ovf, 5.96, ovf, 5.54, -163247.35, 8388646.00, ovf, -5.81, 0.14, 6.30, 0.15, 0.02, ovf, ovf, 3.1654, 3.6799, nan, -3.7389, 3.5320, 0.0059, 0
9.7360, ovf, 6.16, ovf, 5.88, ovf, 6.08, ovf, 5.57, -81623.62, 4194326.00, ovf, -5.86, 0.14, 6.35, 0.19, 0.01, ovf, ovf, 3.2221, 4.4151, nan, -4.6420, 3.5581, 0.0029, 0
11.1280, ovf, 6.18, ovf, 5.94, ovf, 6.09, ovf, 5.59, -40811.74, 2097166.00, ovf, -5.88, 0.14, 6.38, 0.23, 0.00, ovf, ovf, 3.2241, 5.1765, nan, -5.5545, 3.5711, 0.0015, 0
12.5200, ovf, 6.14, ovf, 5.87, ovf, 6.10, ovf, 5.54, -20405.81, 1048586.25, ovf, -5.94, 0.14, 6.39, 0.27, 0.05, ovf, ovf, 3.1296, 5.5042, nan, -6.5343, 3.5775, 0.0617, 0
13.9130, ovf, 6.07, ovf, 5.88, ovf, 6.05, ovf, 5.57, -10202.84, 524296.37, ovf, -5.97, 0.14, 6.39, 0.31, 0.03, ovf, ovf, 3.4327, 5.7648, nan, -7.4929, 3.5808, 0.0308, 0
15.3040, ovf, 6.04, ovf, 5.89, ovf, 6.02, ovf, 5.54, -5101.35, 262151.37, ovf, -5.98, 0.14, 6.40, 0.34, 0.01, ovf, ovf, 4.0531, 5.8421, nan, -8.4410, 3.5824, 0.0154, 0
16.6960, ovf, 6.02, ovf, 5.95, ovf, 6.01, ovf, 5.52, -2550.61, 131078.87, ovf, -5.99, 0.14, 6.30, 0.38, 0.06, ovf, ovf, 4.7851, 5.8369, nan, -9.3838, 3.5272, 0.0905, 0
18.0890, ovf, 6.01, ovf, 5.92, ovf, 5.96, ovf, 5.46, -1275.24, 65542.64, ovf, -6.00, 0.14, 6.35, 0.40, 0.03, ovf, ovf, 5.6122, 6.2034, nan, -10.3239, 3.5057, 0.0453, 0
19.4800, ovf, 5.95, ovf, 5.86, ovf, 5.98, ovf, 5.43, -637.56, 32774.52, 2651812864.00, -6.00, 0.14, 6.42, 0.43, 0.06, ovf, ovf, 6.5022, 6.8929, nan, -11.1690, 3.5729, 0.1133, 0
20.8740, ovf, 5.88, ovf, 5.88, ovf, 5.94, ovf, 5.41, -318.71, 16390.46, 1325906432.00, -6.00, 0.14, 6.41, 0.45, 0.03, ovf, ovf, 6.8864, 7.6173, nan, -12.1074, 3.5784, 0.0566, 0
22.2660, ovf, 5.79, ovf, 5.89, ovf, 5.97, ovf, 5.36, -159.29, 8198.43, 662953216.00, -6.00, 0.14, 6.36, 0.44, 0.02, ovf, ovf, 7.1862, 8.3157, nan, -12.1545, 3.5532, 0.0283, 0
23.6590, ovf, 5.69, ovf, 5.90, ovf, 5.98, ovf, 5.33, -79.58, 4102.41, 331476608.00, -6.00, 0.14, 6.33, 0.41, 0.01, ovf, ovf, 7.3362, 8.6242, nan, -11.7094, 3.5407, 0.0142, 0
25.0520, ovf, 5.65, ovf, 5.85, ovf, 5.99, ovf, 5.26, -39.72, 2054.46, 165738304.00, -6.00, 0.14, 6.31, 0.38, 0.00, ovf, ovf, 7.3642, 8.7349, nan, -11.0180, 3.5344, 0.0071, 0
