Voltage Range: ,0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
0.0000, ovf, 0.47, 0.09, 0.08, 0.10, 0.08, ovf, nan, 0.09, 0.10, 0.10, 0.08, 0.00, 0.10, 0.08, 0.00, 0.0719, 0.0568, 0.0625, nan, 0.0713, 0.0630, 0.0031, 0.0000, 1
2.8350, ovf, 0.18, 0.12, 0.11, 0.13, 0.10, ovf, nan, 0.13, 0.10, 0.13, 0.13, 0.08, 0.12, 0.12, 0.07, 0.0995, 0.0938, 0.0859, nan, 0.0848, 0.1162, 0.0625, 0.0542, 1
5.6700, ovf, 0.13, 0.13, 0.10, 0.16, 0.12, ovf, nan, 0.15, 0.08, 0.14, 0.12, 0.11, 0.09, 0.14, 0.09, 0.1197, 0.0859, 0.1206, nan, 0.0824, 0.1100, 0.0625, 0.0898, 1
8.5050, ovf, 0.12, 0.15, 0.12, 0.18, 0.12, ovf, nan, 0.14, 0.08, 0.14, 0.12, 0.14, 0.11, 0.17, 0.02, 0.1387, 0.1143, 0.1425, nan, 0.0721, 0.1090, 0.1031, 0.0150, 1
11.3400, ovf, 0.12, 0.17, 0.12, 0.21, 0.07, ovf, nan, 0.13, 0.10, 0.16, 0.09, 0.16, 0.12, 0.19, 0.09, 0.1262, 0.1347, 0.0925, nan, 0.0849, 0.0885, 0.1255, 0.1098, 1
14.1750, ovf, 0.12, 0.18, 0.10, 0.23, 0.09, ovf, nan, 0.15, 0.08, 0.18, 0.11, 0.18, 0.12, 0.20, 0.08, 0.1242, 0.1188, 0.1425, nan, 0.0813, 0.1366, 0.1438, 0.1037, 1
17.0100, ovf, 0.10, 0.20, 0.12, 0.25, 0.10, ovf, nan, 0.18, 0.08, 0.21, 0.10, 0.19, 0.10, 0.20, 0.06, 0.1066, 0.1510, 0.1644, nan, 0.0922, 0.1368, 0.1271, 0.0813, 1
19.8450, ovf, 0.12, 0.22, 0.10, 0.28, 0.10, ovf, nan, 0.20, 0.11, 0.21, 0.12, 0.19, 0.10, 0.20, 0.06, 0.1365, 0.1476, 0.1810, nan, 0.1477, 0.1598, 0.1238, 0.0781, 1
22.6800, ovf, 0.14, 0.24, 0.08, 0.30, 0.10, ovf, nan, 0.20, 0.10, 0.21, 0.10, 0.21, 0.12, 0.18, 0.08, 0.1795, 0.1324, 0.1963, nan, 0.1355, 0.1407, 0.1592, 0.0885, 1
