Voltage Range: 0.9,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.02,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 100,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Pixel 0 PCE,Pixel 1 PCE,Pixel 2 PCE,Pixel 3 PCE,Pixel 4 PCE,Pixel 5 PCE,Pixel 6 PCE,Pixel 7 PCE,Filler Val
2.524,0.9,1.2,0.9,0.1,0.9,0.2,0.9,2,0.89,1.8,0.89,0.1,0,0.1,0.88,1.9,8.3989,0.7031,1.4062,14.1219,12.5411,0.6969,0.0031,13.1192,1
5,0.88,1.5,0.92,0.1,0.9,0.1,0.88,2.1,0.88,1.9,0.91,0.1,0.88,0.1,0.88,1.7,10.3109,0.7156,0.7031,14.4997,13.0003,0.7125,0.6875,11.6852,1
7.476,0.88,1.4,0.94,0.2,0.92,0.1,0.88,2,0.86,2,0.91,0,0.88,0.1,0.88,1.7,9.6235,1.4687,0.7219,13.8094,13.372,0,0.6906,11.7384,1
9.952,0.86,1.4,0.94,0.1,0.94,0.1,0.86,2.1,0.83,2,0.93,0.1,0.88,0.1,0.88,1.7,9.4046,0.7344,0.7375,14.1716,12.9969,0.7281,0.6875,11.7384,1
12.428,0.84,1.6,0.96,0.1,0.94,0.1,0.84,2.2,0.81,2.1,0.95,0.1,0.88,0.1,0.88,1.7,10.498,0.75,0.7375,14.5025,13.3184,0.7437,0.6906,11.7384,1
14.904,0.82,1.7,0.98,0.1,0.96,0.2,0.84,2.2,0.8,2.1,0.97,0,0.88,0.1,0.86,1.8,10.8884,0.7656,1.5062,14.5026,13.0559,0,0.6906,12.1475,1
17.38,0.8,1.8,0.96,0.1,0.96,0.2,0.84,2.1,0.77,2.2,0.99,0.1,0.9,0.1,0.84,1.9,11.1914,0.7469,1.5062,13.8433,13.265,0.775,0.7062,12.5253,1
19.856,0.78,1.8,0.98,0.1,0.96,0.1,0.86,2.1,0.8,2.1,1.01,0,0.9,0.1,0.84,1.9,10.9098,0.7656,0.7531,14.1717,13.0559,0,0.7031,12.4661,1
22.332,0.76,1.9,1,0.1,0.98,0.1,0.86,2.1,0.82,2.1,1.03,0.1,0.88,0.1,0.86,1.7,11.2191,0.7781,0.7656,14.1716,13.3842,0.8031,0.6906,11.4727,1
24.808,0.74,2.1,1.02,0.1,1,0.1,0.86,2,0.81,2.1,1.05,0,0.86,0.1,0.86,1.8,12.0717,0.7937,0.7812,13.4969,13.3186,0,0.6719,12.1476,1
27.284,0.74,2,1.04,0.1,1.02,0.1,0.84,2.1,0.82,2.1,1.03,0.1,0.84,0,0.86,1.8,11.5594,0.8094,0.7969,13.8434,13.3841,0.8062,0,12.1475,1
29.76,0.72,2.1,1.02,0.1,1.04,0.1,0.82,2.2,0.82,2,1.05,0,0.84,0.1,0.86,1.8,11.8092,0.7937,0.8125,14.1587,12.7469,0,0.6562,12.1476,1
32.236,0.72,2,1.04,0.1,1.06,0.1,0.8,2.2,0.84,1.9,1.07,0.1,0.86,0.1,0.88,1.6,11.2467,0.8094,0.8281,13.815,12.4066,0.8375,0.675,11.0479,1
34.712,0.74,1.9,1.06,0.1,1.08,0.1,0.78,2.2,0.82,2,1.07,0.1,0.86,0.1,0.88,1.6,10.9816,0.825,0.8437,13.471,12.7469,0.8344,0.6719,10.998,1
37.188,0.72,2.1,1.08,0.1,1.1,0.1,0.8,2.2,0.79,2.1,1.07,0.1,0.88,0.1,0.88,1.6,11.8092,0.8406,0.8594,13.815,12.9905,0.8344,0.6906,11.048,1
39.664,0.72,2,1.1,0.1,1.12,0.1,0.78,2.2,0.79,2.1,1.09,0.1,0.9,0,0.88,1.7,11.2469,0.8562,0.8719,13.4712,12.9905,0.85,0,11.7384,1
42.14,0.7,2.1,1.12,0.1,1.14,0.1,0.76,2.3,0.8,2,1.09,0.1,0.88,0.1,0.86,1.8,11.4809,0.8719,0.8906,13.7242,12.4344,0.85,0.6906,12.1475,1
