photo__0p__p1__Dark__Rv__scan0	photo__0p__p1__Dark__Rv__scan0	photo__0p__p1__Dark__Fw__scan0	photo__0p__p1__Dark__Fw__scan0	photo__0p__p2__Dark__Rv__scan0	photo__0p__p2__Dark__Rv__scan0	photo__0p__p2__Dark__Fw__scan0	photo__0p__p2__Dark__Fw__scan0	photo__0p__p3__Dark__Rv__scan0	photo__0p__p3__Dark__Rv__scan0	photo__0p__p3__Dark__Fw__scan0	photo__0p__p3__Dark__Fw__scan0	photo__0p__p4__Dark__Rv__scan0	photo__0p__p4__Dark__Rv__scan0	photo__0p__p4__Dark__Fw__scan0	photo__0p__p4__Dark__Fw__scan0	photo__0p__p5__Dark__Rv__scan0	photo__0p__p5__Dark__Rv__scan0	photo__0p__p5__Dark__Fw__scan0	photo__0p__p5__Dark__Fw__scan0	photo__0p__p6__Dark__Rv__scan0	photo__0p__p6__Dark__Rv__scan0	photo__0p__p6__Dark__Fw__scan0	photo__0p__p6__Dark__Fw__scan0	photo__0p__p7__Dark__Rv__scan0	photo__0p__p7__Dark__Rv__scan0	photo__0p__p7__Dark__Fw__scan0	photo__0p__p7__Dark__Fw__scan0	photo__0p__p8__Dark__Rv__scan0	photo__0p__p8__Dark__Rv__scan0	photo__0p__p8__Dark__Fw__scan0	photo__0p__p8__Dark__Fw__scan0
1.398351	0.0037578125	-0.199314	0.030750000000000003	1.399201	-0.0184140625	-0.197298	-0.0001953125	1.399875	-0.10768749999999999	-0.196609	0.01928125	1.400841	-1.1065078125	-0.199712	0.1553984375	1.400691	-19.527124999999998	-0.202945	2.827984375	1.400287	-109.15396874999999	-0.196358	15.340828125	0.255586	-390.422734375	-0.093248	144.029703125	0.863955	-390.9894453125	-0.201849	-0.007515625
1.393664	-0.0035703124999999997	-0.189838	-0.0104140625	1.389562	-0.017453125	-0.192449	0.005015625	1.390286	-0.1294765625	-0.192015	0.0053046875	1.385935	-1.0618750000000001	-0.190519	0.1457578125	1.388858	-19.330062499999997	-0.190835	2.6615937499999998	1.393147	-108.58339843750001	-0.194037	15.172125	0.255851	-390.7521875	-0.102147	157.667296875	0.863733	-390.64363281249996	-0.187552	0.0060703125
1.373849	-0.0063593750000000004	-0.175374	0.0103125	1.379778	-0.010703124999999999	-0.178354	-0.0038593749999999995	1.380298	-0.1107734375	-0.177426	0.0158125	1.375899	-1.080671875	-0.176611	0.1348671875	1.380425	-19.2603515625	-0.178484	2.4915390625	1.386085	-108.01418749999999	-0.184474	14.4316484375	0.255818	-390.7444765625	-0.110377	170.3090234375	0.863621	-390.6395546875	-0.177726	-0.0162890625
1.364222	0.0002890625	-0.165895	-0.0048203125	1.360546	0.0035703124999999997	-0.164083	-0.005109374999999999	1.360602	-0.11627343750000001	-0.168232	0.0020234375	1.365486	-1.0668828124999998	-0.167031	0.115296875	1.368251	-19.0642578125	-0.170395	2.3865546875	1.376586	-107.320515625	-0.174778	13.6910859375	0.255851	-390.7469765625	-0.118014	181.98075	0.863511	-390.6546015625	-0.163044	0.020054687499999998
1.35462	0.015234375	-0.155986	0.0007734374999999999	1.355537	-0.0043359375	-0.154304	-0.005015625	1.35574	-0.1043203125	-0.148953	0.0168671875	1.355309	-1.0582109375	-0.153349	0.12021093749999999	1.355824	-18.891578125	-0.154514	2.161359375	1.364712	-106.3726953125	-0.165507	12.943859375	0.255816	-390.7500625	-0.124493	191.896875	0.863391	-390.65972656249994	-0.153471	-0.01146875
1.34502	-0.0007734374999999999	-0.141617	0.0081953125	1.341065	-0.005203125	-0.139799	-0.0036640625000000002	1.34099	-0.11019531249999999	-0.144273	0.0218828125	1.340669	-1.0266796875	-0.143924	0.108359375	1.343787	-18.718812500000002	-0.146092	2.0372890624999997	1.352159	-105.3956640625	-0.153687	12.0414296875	0.255804	-390.75431249999997	-0.129879	200.159	0.863286	-390.6606015625	-0.143678	-0.002796875
1.324957	0.0030859375	-0.127147	0.0088671875	1.331411	-0.016679687500000002	-0.130213	0.004625	1.331241	-0.0983359375	-0.130227	-0.004625	1.329928	-1.058109375	-0.130156	0.098328125	1.331495	-18.5603125	-0.129906	1.830890625	1.342146	-104.62109375	-0.141879	11.102273437500001	0.255818	-390.734640625	-0.129894	200.15977343749998	0.863175	-390.6815	-0.129056	-0.02053125
1.320293	0.0081015625	-0.117272	0.0088671875	1.316762	-0.0114765625	-0.120643	-0.0145546875	1.316468	-0.1028671875	-0.120578	0.0271875	1.315197	-1.0181015624999998	-0.116088	0.082234375	1.319347	-18.370476562500002	-0.121948	1.6991093750000001	1.327087	-103.446328125	-0.129871	10.17265625	0.255787	-390.740515625	-0.129455	199.49546875	0.863094	-390.67014843749996	-0.118987	0.0054921875
1.305473	0.0087734375	-0.107168	-0.009156250000000001	1.307154	-0.0160078125	-0.106101	-0.0035703124999999997	1.306843	-0.0890859375	-0.101005	-0.004625	1.305185	-1.00296875	-0.106905	0.0724921875	1.311122	-18.2854453125	-0.105496	1.492609375	1.317017	-102.646015625	-0.12061	9.441148437499999	0.255818	-390.740515625	-0.128357	197.82046875	0.862966	-390.68990625	-0.104763	-0.018796875
1.295488	-0.0296953125	-0.097164	0.0048203125	1.292883	-0.0009609375000000001	-0.091231	0.001640625	1.292103	-0.11309374999999999	-0.095616	0.0044375000000000005	1.294934	-1.02571875	-0.097325	0.08425781249999999	1.294824	-18.031499999999998	-0.09753	1.363625	1.306833	-101.8487890625	-0.106226	8.3323203125	0.255809	-390.736765625	-0.126825	195.5154609375	0.862893	-390.686125	-0.094495	-0.011375
1.281437	0.0149453125	-0.082451	-0.0218828125	1.28301	-0.004046875	-0.086182	-0.008289062500000001	1.282529	-0.0908203125	-0.080638	0.0240078125	1.28502	-1.0060546875	-0.083493	0.059867187499999995	1.286496	-17.916578124999997	-0.08523	1.1954921875	1.294182	-100.8710859375	-0.094497	7.4293125	0.255834	-390.7365625	-0.124929	192.54671875	0.862795	-390.7110078125	-0.084458	0.014171875
1.271663	-0.00578125	-0.066985	0.002703125	1.273482	0.0060703125	-0.071363	-0.016390625	1.27248	-0.1015234375	-0.075749	0.0044375000000000005	1.269856	-0.9983359375	-0.069647	0.062953125	1.274439	-17.7455390625	-0.072488	1.0218749999999999	1.281581	-99.89502343749999	-0.082654	6.4832109375	0.255821	-390.73318750000004	-0.122512	188.8985390625	0.862698	-390.70734375	-0.070075	-0.0021171874999999997
1.256896	0.0044375000000000005	-0.061785	0.0077109375	1.259152	-0.00346875	-0.056	0.0150390625	1.257944	-0.09390625	-0.05577	0.0025078125	1.25942	-1.0024843749999999	-0.059517	0.057265624999999994	1.258133	-17.5183046875	-0.063913	0.9072499999999999	1.268818	-98.90381249999999	-0.073254	5.7590312500000005	0.255823	-390.7140078125	-0.119486	184.17555468749998	0.862638	-390.71659375	-0.060202	0.002703125
1.246948	0.0062656249999999995	-0.046822	0.011859375	1.244695	-0.0161953125	-0.045766	-0.0056875	1.247734	-0.09814843749999999	-0.050696	0.001640625	1.244868	-0.9863828125	-0.049518	0.022078125	1.250187	-17.40896875	-0.047355	0.6599765624999999	1.258767	-98.10495312500001	-0.058902	4.6467265625	0.255804	-390.7294296875	-0.110857	171.0603828125	0.862556	-390.727890625	-0.045174	-0.01359375
1.237452	0.0064609375000000005	-0.036908	-0.0054921875	1.234926	-0.0139765625	-0.035791	0.0105078125	1.233303	-0.09959375000000001	-0.03099	-0.015132812499999999	1.234567	-0.9509062500000001	-0.034151	0.040203125	1.237281	-17.2540390625	-0.038327	0.5559609375	1.245984	-97.1203984375	-0.049574	3.9141640625000003	0.255816	-390.71930468749997	-0.102603	158.330640625	0.862488	-390.74264062500004	-0.035515	-0.00684375
1.222472	0.0019296874999999998	-0.021942	0.0019296874999999998	1.22536	-0.017546875	-0.025717	-0.0007734374999999999	1.228298	-0.093421875	-0.025657	0.004625	1.224255	-0.964015625	-0.024281	0.0238125	1.225003	-17.0825234375	-0.026005	0.360546875	1.235903	-96.3284765625	-0.035471	2.80803125	0.255803	-390.7275078125	-0.094413	145.7619765625	0.862383	-390.7390625	-0.025459	-0.001734375
1.212953	-0.0103125	-0.01207	0.0	1.215702	-0.005976562499999999	-0.010556	0.0065546875	1.208729	-0.0954453125	-0.010985	-0.000484375	1.209229	-0.9450234375	-0.008529	0.01146875	1.217109	-16.9335703125	-0.013094	0.2001328125	1.220853	-95.1634453125	-0.023462	1.8938437499999998	0.255802	-390.7143828125	-0.085532	132.173765625	0.862269	-390.74214843749996	-0.010608	0.001640625
1.198546	0.011765625	0.003113	0.0144609375	1.196002	-0.008578125	-0.000606	0.002796875	1.203985	-0.087734375	-0.000689	0.00896875	1.198847	-0.9366328125	0.001377	-0.011570312499999999	1.200395	-16.725796875	-0.000716	0.003375	1.210825	-94.3687265625	-0.011384	0.9485078125	0.255791	-390.6975	-0.076631	118.5643359375	0.862223	-390.7510234375	-0.000664	0.0044375000000000005
1.188725	0.00125	0.013062	-0.01359375	1.191426	-0.0064609375000000005	0.014329	-0.0006718750000000001	1.184489	-0.0908203125	0.014177	-0.0041484375	1.189145	-0.929015625	0.011772	-0.0126328125	1.192345	-16.61415625	0.012047	-0.1585	1.200727	-93.60312499999999	-0.001602	0.1865390625	0.255807	-390.7110078125	-0.068044	105.381578125	0.862164	-390.74264062500004	0.013979	0.0092578125
1.179161	0.022078125	0.023631	0.024296875	1.176848	-0.017546875	0.024166	-0.0149453125	1.179671	-0.093421875	0.024187	0.00346875	1.178905	-0.9192812499999999	0.021623	-0.0301796875	1.175655	-16.380070312500003	0.020245	-0.279203125	1.18851	-92.62821875	0.010623	-0.7809296875	0.255782	-390.698875	-0.059013	91.515625	0.862075	-390.7486953125	0.024069	0.0010625
1.164218	0.004242187499999999	0.033204	-0.0092578125	1.162138	-0.0019296874999999998	0.034501	0.0206328125	1.164897	-0.078	0.034227	-0.0058828125	1.163725	-0.929984375	0.037049	-0.000578125	1.167661	-16.2734375	0.033394	-0.44214062499999995	1.176622	-91.7018046875	0.022838	-1.725953125	0.255784	-390.712546875	-0.049723	77.2948125	0.862015	-390.765375	0.033913	0.0213046875
1.149784	0.0160078125	0.048416	0.0001953125	1.152188	-0.0065546875	0.049538	-0.003375	1.150308	-0.0996875	0.049415	0.0053984375	1.150267	-0.8872734375	0.047041	-0.0309453125	1.155265	-16.0952734375	0.045785	-0.650390625	1.164618	-90.76535937499999	0.037652	-2.893109375	0.255793	-390.69278906249997	-0.040659	63.37053125	0.861902	-390.766828125	0.048589	-0.0009609375000000001
1.144526	0.0171640625	0.058176	-0.0211171875	1.142924	0.0144609375	0.059516	-0.0015390624999999998	1.140514	-0.08821875	0.059338	-0.008	1.145166	-0.9202421875000001	0.062618	-0.03384375	1.142995	-15.926070312499998	0.0546	-0.7416875	1.152493	-89.8299765625	0.04744	-3.66815625	0.255773	-390.691828125	-0.031449	49.2485234375	0.861874	-390.75527343749997	0.058454	0.0019296874999999998
1.129585	-0.0064609375000000005	0.073324	0.0048203125	1.128511	0.007421875	0.069193	-0.027859375000000002	1.13055	-0.08609375	0.069482	0.004625	1.131672	-0.8816796874999999	0.07237	-0.054859374999999995	1.134803	-15.784921875	0.071408	-0.9847421874999999	1.142892	-89.09359375	0.059879	-4.6284140625	0.255781	-390.6896171875	-0.021933	34.6609921875	0.861803	-390.7695390625	0.073332	-0.005015625
1.114941	-0.0008671875	0.083319	0.0007734374999999999	1.1189	-0.0021171874999999997	0.084929	0.0246796875	1.116052	-0.0960234375	0.084289	-0.006171875	1.112979	-0.868953125	0.082413	-0.0703828125	1.118383	-15.5758046875	0.079976	-1.1154765624999998	1.128356	-87.94003124999999	0.072118	-5.57575	0.255782	-390.6844921875	-0.012388	20.025640625	0.861721	-390.7718359375	0.083245	0.005109374999999999
1.105565	-0.00115625	0.09345	0.0001953125	1.104218	-0.010796875	0.094671	0.010796875	1.106462	-0.09091406249999999	0.094341	-0.0073281250000000004	1.108151	-0.8836093749999999	0.092665	-0.0614140625	1.10577	-15.41625	0.09259	-1.2750390624999999	1.118833	-87.1897578125	0.081901	-6.3441484374999995	0.255741	-390.680828125	-0.002718	5.218109375	0.861684	-390.77253125	0.092859	-0.0098359375
1.09538	-0.0139765625	0.108306	0.00115625	1.094629	-0.004625	0.104852	-0.00559375	1.097039	-0.07365625	0.109331	-0.003953125	1.094558	-0.8593125	0.107715	-0.087640625	1.097771	-15.2795390625	0.105178	-1.4751874999999999	1.104296	-86.076015625	0.094325	-7.3053671875	0.25579	-390.6887421875	0.007621	-10.637625	0.861621	-390.7621171875	0.108	0.013398437499999999
1.080882	0.0103125	0.11848	0.007132812499999999	1.080427	-0.0018281249999999999	0.119822	-0.009156250000000001	1.077819	-0.06970312499999999	0.114265	-0.01928125	1.080497	-0.8538203125	0.117846	-0.096703125	1.08527	-15.1329921875	0.117907	-1.6237578124999998	1.094622	-85.30346875	0.106496	-8.249906249999999	0.25577	-390.6736953125	0.017385	-25.5889765625	0.861541	-390.78487499999994	0.117706	-0.0014453125
1.071075	0.0049140625	0.128729	0.008578125	1.070957	-0.000578125	0.130074	-0.0139765625	1.072857	-0.0739453125	0.129501	0.004625	1.071876	-0.8317421875	0.133242	-0.10990625	1.06887	-14.907390625	0.126251	-1.7687578124999999	1.082413	-84.36250000000001	0.118875	-9.213921874999999	0.255798	-390.692203125	0.027283	-40.7753828125	0.861497	-390.77849999999995	0.12731	-0.0007734374999999999
