photo__20p__p1__0.2Sun__Rv__scan0	photo__20p__p1__0.2Sun__Rv__scan0	photo__20p__p1__0.2Sun__Fw__scan0	photo__20p__p1__0.2Sun__Fw__scan0	photo__20p__p2__0.2Sun__Rv__scan0	photo__20p__p2__0.2Sun__Rv__scan0	photo__20p__p2__0.2Sun__Fw__scan0	photo__20p__p2__0.2Sun__Fw__scan0	photo__20p__p3__0.2Sun__Rv__scan0	photo__20p__p3__0.2Sun__Rv__scan0	photo__20p__p3__0.2Sun__Fw__scan0	photo__20p__p3__0.2Sun__Fw__scan0	photo__20p__p4__0.2Sun__Rv__scan0	photo__20p__p4__0.2Sun__Rv__scan0	photo__20p__p4__0.2Sun__Fw__scan0	photo__20p__p4__0.2Sun__Fw__scan0	photo__20p__p5__0.2Sun__Rv__scan0	photo__20p__p5__0.2Sun__Rv__scan0	photo__20p__p5__0.2Sun__Fw__scan0	photo__20p__p5__0.2Sun__Fw__scan0	photo__20p__p6__0.2Sun__Rv__scan0	photo__20p__p6__0.2Sun__Rv__scan0	photo__20p__p6__0.2Sun__Fw__scan0	photo__20p__p6__0.2Sun__Fw__scan0	photo__20p__p7__0.2Sun__Rv__scan0	photo__20p__p7__0.2Sun__Rv__scan0	photo__20p__p7__0.2Sun__Fw__scan0	photo__20p__p7__0.2Sun__Fw__scan0	photo__20p__p8__0.2Sun__Rv__scan0	photo__20p__p8__0.2Sun__Rv__scan0	photo__20p__p8__0.2Sun__Fw__scan0	photo__20p__p8__0.2Sun__Fw__scan0
1.398208	0.01821875	-0.1997	0.0025078125	1.399086	-0.0230390625	-0.202117	-0.0128203125	1.400074	-0.1107734375	-0.196662	0.018507812499999998	1.400998	-1.079515625	-0.19999	0.1440234375	1.397008	-19.463976562499997	-0.198764	2.776703125	1.400321	-109.1651484375	-0.196302	15.367820312500001	0.255621	-390.4256484375	-0.09021	139.3467421875	0.86311	-390.72259375	-0.202649	3.626015625
1.39337	-0.01928125	-0.189623	0.00896875	1.389724	-0.013398437499999999	-0.187629	0.005976562499999999	1.385489	-0.110296875	-0.191757	0.0136875	1.38552	-1.0878046875	-0.190603	0.1650390625	1.397076	-19.461468749999998	-0.190736	2.6694062499999998	1.393049	-108.59940625	-0.191616	14.998890625	0.255843	-390.7694453125	-0.099478	153.5565546875	0.862897	-390.3618203125	-0.188333	3.602875
1.373768	0.008	-0.175189	0.0157109375	1.379814	-0.008289062500000001	-0.178132	-0.0099296875	1.380589	-0.10836718749999999	-0.177522	0.0188984375	1.380571	-1.068625	-0.17672	0.1381484375	1.380775	-19.227671875000002	-0.178426	2.4923125	1.385956	-108.0278828125	-0.184464	14.474359375	0.255841	-390.7400234375	-0.107807	166.30838281249999	0.862853	-390.7294296875	-0.17374	3.6248593749999998
1.36896	-0.0143671875	-0.165708	-9.375e-05	1.365309	-0.0184140625	-0.168295	-0.007421875	1.36061	-0.117625	-0.1634	0.0035703124999999997	1.360253	-1.0678515625	-0.167082	0.14875000000000002	1.364198	-18.9907890625	-0.170331	2.3844374999999998	1.376543	-107.3128984375	-0.17488	13.6895390625	0.255865	-390.743515625	-0.115658	178.3523203125	0.86272	-390.7294296875	-0.169167	3.6112656249999997
1.354353	-0.0007734374999999999	-0.155692	0.022078125	1.350716	-0.0127265625	-0.14921	0.0062656249999999995	1.355597	-0.1021015625	-0.153813	0.0201484375	1.355073	-1.0654375	-0.153554	0.1057578125	1.355965	-18.909515625	-0.153943	2.1798671875	1.364743	-106.377421875	-0.165573	12.950609374999999	0.255851	-390.7243046875	-0.122346	188.58185156250002	0.862592	-390.7538203125	-0.154438	3.60846875
1.339808	-0.0092578125	-0.14144	-0.009351562499999999	1.345937	-0.0070390625	-0.144316	0.0196640625	1.341034	-0.0976640625	-0.144416	-0.0037578125	1.339987	-1.0572421875	-0.144204	0.10565625	1.34387	-18.745515625	-0.145976	2.037	1.352219	-105.41745312500001	-0.153691	12.045476562500001	0.255832	-390.748140625	-0.12774	196.8325234375	0.862436	-390.38504687499994	-0.139915	3.6380624999999998
1.329927	0.0094453125	-0.126783	-0.008484374999999999	1.331417	-0.0246796875	-0.129752	0.016968749999999998	1.331333	-0.090625	-0.130031	0.0098359375	1.329851	-1.0410468750000001	-0.130507	0.0949609375	1.331627	-18.5409296875	-0.129626	1.82365625	1.342243	-104.63121875	-0.141813	11.097640625	0.255834	-390.73521875	-0.129866	200.16075	0.862372	-390.7479375	-0.130225	3.622640625
1.315156	0.0021171874999999997	-0.122346	-0.0206328125	1.31687	-0.013398437499999999	-0.12042	0.000578125	1.316454	-0.1128984375	-0.120656	0.005203125	1.319761	-1.0472187499999999	-0.116485	0.08377343749999999	1.323605	-18.436328125	-0.121896	1.6988203125	1.329597	-103.62873437500001	-0.130148	10.1848984375	0.255844	-390.74081249999995	-0.129441	199.486984375	0.862218	-390.382921875	-0.115521	3.6159843749999996
1.310355	0.0054921875	-0.10688	0.004242187499999999	1.307114	-0.016679687500000002	-0.105884	-0.0161015625	1.306918	-0.08946875	-0.105562	0.0121484375	1.304835	-1.023984375	-0.106816	0.10103125	1.307237	-18.203976562500003	-0.109821	1.5344453125	1.316895	-102.68419531250001	-0.118232	9.2641484375	0.255825	-390.73059375	-0.128365	197.82209375	0.862174	-390.7713671875	-0.110617	3.61184375
1.295558	0.00453125	-0.092086	0.0188984375	1.292824	-0.00675	-0.096061	0.0063593750000000004	1.297036	-0.10248437499999999	-0.09079	0.0104140625	1.295022	-1.0066328125	-0.097532	0.0853203125	1.298925	-18.09609375	-0.097327	1.3707578125	1.304369	-101.65499999999999	-0.106295	8.342828125	0.255837	-390.7322265625	-0.12685	195.5061171875	0.862086	-390.7495703125	-0.091217	3.6248593749999998
