Voltage Range: 1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
1.20,1.2097,-3.4000,1.2117,-3.5000,1.2124,-4.0500,1.2160,0.1000,1.2160,0.0667,1.2130,-3.2500,1.2277,-3.7000,1.2284,-3.8000,0.6050
1.17,1.1823,-2.7833,1.1843,-2.9500,1.1843,-3.3000,1.1880,0.1000,1.1867,0.0833,1.1843,-2.7000,1.1976,-3.0833,1.2003,-3.2000,1.2110
1.14,1.1536,-2.2000,1.1562,-2.3833,1.1563,-2.6000,1.1613,0.0500,1.1580,0.1000,1.1562,-2.1333,1.1683,-2.4833,1.1716,-2.5833,1.8170
1.11,1.1268,-1.6500,1.1282,-1.8000,1.1315,-1.9833,1.1333,0.0667,1.1287,0.0333,1.1282,-1.7000,1.1402,-1.9333,1.1429,-2.0333,2.4220
1.08,1.1001,-1.2167,1.1001,-1.3167,1.1041,-1.5000,1.1060,0.1000,1.1013,0.0667,1.1001,-1.2500,1.1121,-1.4500,1.1148,-1.5000,3.0280
1.05,1.0721,-0.8500,1.0721,-0.9333,1.0761,-1.0000,1.0787,0.1000,1.0733,0.0667,1.0721,-0.8833,1.0841,-1.0000,1.0868,-1.1000,3.6330
1.02,1.0434,-0.5333,1.0421,-0.5833,1.0454,-0.6167,1.0480,0.1000,1.0440,0.0667,1.0434,-0.6000,1.0547,-0.7000,1.0567,-0.7333,4.2400
0.99,1.0134,-0.3000,1.0140,-0.3167,1.0194,-0.3667,1.0193,0.1000,1.0160,0.0833,1.0140,-0.3500,1.0267,-0.4000,1.0280,-0.4667,4.8460
0.96,0.9853,-0.1833,0.9840,-0.1833,0.9907,-0.2333,0.9900,0.1000,0.9867,0.0500,0.9854,-0.2000,0.9960,-0.2167,0.9967,-0.2333,5.4520
0.93,0.9560,-0.0333,0.9560,-0.0667,0.9600,-0.0833,0.9600,0.1000,0.9560,0.1000,0.9560,-0.0667,0.9680,-0.1000,0.9680,-0.1167,6.0570
0.90,0.9267,0.0333,0.9273,0.0000,0.9313,-0.0167,0.9320,0.1000,0.9280,0.1000,0.9280,-0.0167,0.9387,0.0000,0.9400,-0.0167,6.6610
0.87,0.8960,0.0833,0.8967,0.1000,0.9013,0.0333,0.9013,0.0833,0.8960,0.1000,0.8980,0.0667,0.9073,0.0167,0.9080,0.0000,7.2650
0.84,0.8673,0.1000,0.8680,0.0833,0.8720,0.1000,0.8727,0.0833,0.8680,0.0833,0.8687,0.0333,0.8787,0.0667,0.8787,0.0667,7.8710
0.81,0.8367,0.1167,0.8380,0.1000,0.8440,0.1167,0.8427,0.0833,0.8367,0.1333,0.8400,0.1000,0.8480,0.0500,0.8487,0.1000,8.4760
0.78,0.8080,0.1167,0.8080,0.1000,0.8120,0.1167,0.8120,0.0833,0.8080,0.1167,0.8093,0.1000,0.8193,0.1000,0.8180,0.1000,9.0810
0.75,0.7760,0.1167,0.7760,0.1000,0.7800,0.1000,0.7800,0.0833,0.7760,0.1000,0.7800,0.1000,0.7873,0.0833,0.7880,0.1000,9.6870
0.72,0.7480,0.1500,0.7480,0.1167,0.7520,0.0833,0.7520,0.1000,0.7467,0.1167,0.7480,0.0833,0.7567,0.0667,0.7587,0.1000,10.2920
0.69,0.7160,0.1500,0.7160,0.1333,0.7213,0.1000,0.7200,0.0833,0.7160,0.1000,0.7200,0.1000,0.7280,0.0833,0.7280,0.0833,10.8990
0.66,0.6873,0.1833,0.6880,0.1000,0.6920,0.1000,0.6920,0.1000,0.6873,0.1167,0.6907,0.1000,0.6960,0.0667,0.6993,0.0833,11.5040
0.63,0.6586,0.1833,0.6573,0.0833,0.6633,0.1000,0.6613,0.0667,0.6573,0.1167,0.6600,0.1000,0.6680,0.0833,0.6700,0.0667,12.1090
0.60,0.6280,0.1833,0.6280,0.0833,0.6320,0.0833,0.6320,0.1167,0.6260,0.1000,0.6320,0.1000,0.6367,0.0833,0.6380,0.0500,12.7140
0.57,0.5967,0.1333,0.5960,0.1000,0.6040,0.1000,0.6007,0.0833,0.5960,0.0500,0.6007,0.1000,0.6080,0.0833,0.6087,0.0667,13.3200
0.54,0.5680,0.1000,0.5680,0.1000,0.5740,0.1167,0.5727,0.1000,0.5680,0.0833,0.5720,0.0667,0.5773,0.1000,0.5800,0.0667,13.9260
0.51,0.5380,0.1000,0.5367,0.1000,0.5447,0.1167,0.5440,0.0833,0.5380,0.0833,0.5440,0.1000,0.5480,0.1167,0.5513,0.0833,14.5310
0.48,0.5080,0.1000,0.5073,0.0833,0.5153,0.1000,0.5127,0.1000,0.5087,0.0500,0.5120,0.1000,0.5167,0.0833,0.5200,0.1000,15.1360
0.45,0.4793,0.1000,0.4760,0.1000,0.4840,0.1167,0.4827,0.0833,0.4780,0.0833,0.4827,0.0667,0.4880,0.1000,0.4920,0.0833,15.7420
0.42,0.4487,0.1000,0.4473,0.1000,0.4553,0.1000,0.4527,0.0833,0.4487,0.0833,0.4533,0.0833,0.4567,0.1000,0.4633,0.0667,16.3470
0.39,0.4200,0.1167,0.4167,0.1000,0.4247,0.1167,0.4240,0.1167,0.4193,0.0833,0.4240,0.0833,0.4280,0.0833,0.4320,0.0833,16.9530
0.36,0.3880,0.1333,0.3847,0.1000,0.3947,0.1167,0.3920,0.1000,0.3880,0.0500,0.3920,0.0833,0.3960,0.1000,0.4013,0.0500,17.5590
0.33,0.3600,0.1000,0.3560,0.1000,0.3640,0.0667,0.3613,0.0833,0.3593,0.1000,0.3633,0.0833,0.3680,0.1000,0.3720,0.0667,18.1640
0.30,0.3280,0.1000,0.3273,0.0833,0.3353,0.1000,0.3320,0.1000,0.3280,0.0833,0.3320,0.0833,0.3360,0.1000,0.3407,0.0833,18.7690
0.27,0.3000,0.1000,0.2953,0.1000,0.3040,0.0833,0.3020,0.0833,0.3000,0.1000,0.3040,0.1000,0.3080,0.0833,0.3120,0.0500,19.3750
0.24,0.2713,0.1167,0.2680,0.1000,0.2760,0.1167,0.2720,0.1000,0.2700,0.0167,0.2747,0.0833,0.2800,0.0833,0.2833,0.0667,19.9800
0.21,0.2400,0.1000,0.2360,0.1000,0.2453,0.0833,0.2420,0.0833,0.2400,0.0833,0.2440,0.0667,0.2480,0.0833,0.2540,0.0667,20.5870
0.18,0.2113,0.1000,0.2080,0.1000,0.2160,0.1000,0.2120,0.1333,0.2080,0.1000,0.2160,0.0833,0.2180,0.1000,0.2240,0.0500,21.1920
0.15,0.1820,0.1333,0.1780,0.0833,0.1867,0.1000,0.1820,0.0833,0.1800,0.0667,0.1860,0.1000,0.1880,0.1000,0.1953,0.1000,21.7970
0.12,0.1520,0.1000,0.1473,0.1000,0.1560,0.0833,0.1520,0.1000,0.1513,0.0667,0.1560,0.1167,0.1600,0.1000,0.1653,0.0667,22.4030
0.09,0.1220,0.1000,0.1160,0.1000,0.1253,0.1000,0.1220,0.1000,0.1200,0.1000,0.1253,0.1000,0.1287,0.0833,0.1353,0.1000,23.0080
0.06,0.0927,0.1000,0.0880,0.1000,0.0967,0.1000,0.0920,0.1000,0.0920,0.0667,0.0967,0.1000,0.0993,0.0833,0.1053,0.0667,23.6150
0.03,0.0640,0.1167,0.0560,0.1000,0.0680,0.1000,0.0627,0.1000,0.0607,0.1000,0.0673,0.1000,0.0680,0.1000,0.0760,0.0667,24.2200
0.00,0.0320,0.1000,0.0280,0.1167,0.0373,0.1000,0.0320,0.1000,0.0320,0.0833,0.0360,0.1000,0.0360,0.1167,0.0447,0.0833,24.8250
-0.03,0.0040,0.1167,0.0033,0.1000,0.0080,0.1000,0.0020,0.1000,0.0040,0.0833,0.0053,0.0833,0.0040,0.1000,0.0120,0.0833,25.4300
0.03,0.0040,0.1000,0.0013,0.1000,0.0080,0.1000,0.0013,0.0833,0.0047,0.1000,0.0060,0.1000,0.0040,0.1000,0.0120,0.0667,0.6040
0.06,0.0340,0.1000,0.0280,0.1000,0.0367,0.1000,0.0320,0.1000,0.0320,0.0667,0.0373,0.1000,0.0360,0.1167,0.0447,0.0833,1.2110
0.09,0.0640,0.1333,0.0573,0.1167,0.0673,0.1000,0.0633,0.0833,0.0627,0.0667,0.0680,0.0833,0.0693,0.1167,0.0760,0.1000,1.8160
0.12,0.0927,0.1167,0.0873,0.1000,0.0960,0.1167,0.0920,0.1000,0.0913,0.1000,0.0967,0.0833,0.1000,0.1000,0.1040,0.0500,2.4210
0.15,0.1227,0.1000,0.1173,0.1000,0.1247,0.1000,0.1227,0.1167,0.1207,0.0833,0.1260,0.1000,0.1280,0.1000,0.1360,0.0500,3.0270
0.18,0.1520,0.1000,0.1480,0.1167,0.1560,0.1000,0.1520,0.1000,0.1520,0.1000,0.1560,0.0833,0.1600,0.1167,0.1640,0.0833,3.6320
0.21,0.1820,0.1000,0.1780,0.1000,0.1860,0.1167,0.1820,0.0833,0.1800,0.0667,0.1860,0.1000,0.1880,0.0833,0.1953,0.0833,4.2390
0.24,0.2120,0.1000,0.2080,0.1000,0.2160,0.0833,0.2113,0.0833,0.2087,0.0667,0.2160,0.0833,0.2193,0.0833,0.2240,0.0500,4.8440
0.27,0.2400,0.1000,0.2360,0.0833,0.2447,0.1000,0.2407,0.0833,0.2393,0.0500,0.2440,0.1000,0.2480,0.0833,0.2547,0.0667,5.4490
0.30,0.2700,0.1000,0.2680,0.1167,0.2760,0.0833,0.2720,0.1000,0.2707,0.0667,0.2740,0.1167,0.2800,0.0833,0.2840,0.0667,6.0540
0.33,0.3000,0.1167,0.2960,0.1167,0.3053,0.1000,0.3020,0.1000,0.2993,0.0833,0.3040,0.0833,0.3080,0.1000,0.3120,0.0500,6.6600
0.36,0.3280,0.1000,0.3260,0.1000,0.3360,0.1167,0.3320,0.0833,0.3280,0.0833,0.3320,0.1000,0.3360,0.1000,0.3413,0.0333,7.2650
0.39,0.3600,0.0833,0.3560,0.1000,0.3640,0.1167,0.3613,0.1000,0.3567,0.0667,0.3627,0.1000,0.3673,0.0833,0.3720,0.0667,7.8710
0.42,0.3887,0.1167,0.3853,0.1000,0.3960,0.1000,0.3920,0.1000,0.3880,0.1000,0.3920,0.1000,0.3960,0.1000,0.4007,0.0500,8.4760
0.45,0.4200,0.1167,0.4173,0.1000,0.4240,0.0833,0.4240,0.0833,0.4193,0.0833,0.4240,0.0833,0.4280,0.1167,0.4320,0.0667,9.0810
0.48,0.4493,0.1000,0.4480,0.1000,0.4553,0.1000,0.4527,0.1000,0.4480,0.0667,0.4533,0.1000,0.4580,0.1000,0.4633,0.0333,9.6870
0.51,0.4800,0.1000,0.4773,0.1000,0.4840,0.0833,0.4820,0.0833,0.4793,0.0833,0.4840,0.0833,0.4880,0.0833,0.4920,0.0667,10.2920
0.54,0.5080,0.1167,0.5080,0.1000,0.5147,0.1000,0.5120,0.1000,0.5080,0.0167,0.5133,0.0833,0.5180,0.1000,0.5200,0.0333,10.8980
0.57,0.5367,0.1167,0.5373,0.1000,0.5440,0.1000,0.5433,0.0833,0.5400,0.0667,0.5433,0.0833,0.5480,0.0500,0.5500,0.0500,11.5030
0.60,0.5680,0.1000,0.5680,0.1167,0.5733,0.1000,0.5733,0.0833,0.5680,0.0833,0.5720,0.1000,0.5780,0.0667,0.5800,0.0833,12.1080
0.63,0.5980,0.1500,0.5960,0.1000,0.6033,0.1000,0.6033,0.1000,0.5967,0.0833,0.6013,0.1000,0.6080,0.1000,0.6087,0.0667,12.7140
