Voltage Range: 1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
1.20,1.2083,-3.3000,1.2124,-3.7000,1.2118,-4.2833,1.2160,0.1000,1.2147,0.0833,1.2123,-3.2167,1.2277,-3.7500,1.2284,-3.8333,0.6050
1.17,1.1823,-2.5833,1.1850,-2.9333,1.1843,-3.4000,1.1880,0.0667,1.1867,0.0667,1.1843,-2.5833,1.1976,-3.0167,1.2003,-3.1000,1.2110
1.14,1.1542,-1.9000,1.1562,-2.2167,1.1589,-2.5333,1.1613,0.1000,1.1593,0.0667,1.1562,-1.9000,1.1689,-2.3000,1.1722,-2.4000,1.8170
1.11,1.1281,-1.2667,1.1302,-1.5500,1.1322,-1.8000,1.1340,0.0667,1.1307,0.0667,1.1281,-1.3167,1.1408,-1.6333,1.1442,-1.7833,2.4230
1.08,1.1001,-0.7000,1.1014,-0.9500,1.1041,-1.1167,1.1080,0.1000,1.1040,0.0667,1.1007,-0.7333,1.1121,-1.0167,1.1161,-1.1500,3.0280
1.05,1.0740,-0.1500,1.0747,-0.3833,1.0767,-0.5000,1.0800,0.1000,1.0753,0.1000,1.0727,-0.2667,1.0847,-0.4833,1.0881,-0.5667,3.6340
1.02,1.0460,0.3833,1.0460,0.1333,1.0487,0.1167,1.0507,0.1000,1.0473,0.0667,1.0466,0.2333,1.0560,0.0167,1.0580,-0.0500,4.2400
0.99,1.0166,0.8000,1.0159,0.6167,1.0199,0.6667,1.0207,0.0833,1.0167,0.0500,1.0159,0.6667,1.0280,0.5000,1.0280,0.4167,4.8450
0.96,0.9872,1.1667,0.9872,1.0000,0.9919,1.0667,0.9920,0.1000,0.9880,0.0833,0.9866,1.0167,0.9972,0.8833,0.9992,0.8833,5.4510
0.93,0.9559,1.5000,0.9559,1.3000,0.9619,1.4333,0.9613,0.1000,0.9573,0.0833,0.9585,1.3167,0.9679,1.2000,0.9679,1.1500,6.0560
0.90,0.9278,1.7167,0.9278,1.5667,0.9318,1.7000,0.9320,0.0667,0.9273,0.0833,0.9278,1.6333,0.9379,1.4833,0.9385,1.5000,6.6620
0.87,0.8958,1.9167,0.8985,1.8000,0.9038,1.9667,0.9020,0.1000,0.8967,0.0833,0.8985,1.8000,0.9078,1.7000,0.9078,1.7000,7.2680
0.84,0.8678,2.1167,0.8678,1.9667,0.8724,2.1833,0.8720,0.0667,0.8680,0.1000,0.8685,2.0000,0.8798,1.9000,0.8798,1.9000,7.8740
0.81,0.8364,2.2500,0.8398,2.1167,0.8438,2.3000,0.8433,0.1000,0.8360,0.1000,0.8398,2.1000,0.8478,2.0167,0.8491,2.0667,8.4790
0.78,0.8078,2.3500,0.8084,2.2000,0.8138,2.4167,0.8127,0.1000,0.8080,0.1000,0.8111,2.2000,0.8198,2.1000,0.8198,2.1167,9.0850
0.75,0.7758,2.4167,0.7758,2.3000,0.7817,2.5000,0.7807,0.0833,0.7760,0.0833,0.7798,2.3333,0.7871,2.2000,0.7878,2.2000,9.6900
0.72,0.7478,2.4833,0.7478,2.3500,0.7504,2.5833,0.7500,0.0833,0.7480,0.1000,0.7498,2.3833,0.7571,2.3000,0.7604,2.2667,10.2970
0.69,0.7184,2.5167,0.7178,2.3833,0.7217,2.6167,0.7207,0.0833,0.7167,0.1000,0.7198,2.4000,0.7278,2.3000,0.7278,2.3333,10.9020
0.66,0.6877,2.6000,0.6878,2.4000,0.6924,2.6667,0.6920,0.1000,0.6880,0.1167,0.6904,2.4500,0.6984,2.3667,0.6998,2.3333,11.5080
0.63,0.6597,2.6333,0.6571,2.4333,0.6637,2.7000,0.6613,0.0500,0.6567,0.0833,0.6611,2.5000,0.6678,2.3833,0.6711,2.3833,12.1130
0.60,0.6291,2.6167,0.6278,2.4667,0.6324,2.7000,0.6320,0.1000,0.6260,0.1000,0.6318,2.5000,0.6391,2.4500,0.6398,2.4000,12.7190
0.57,0.5991,2.6167,0.5991,2.4667,0.6031,2.7500,0.6040,0.1000,0.5973,0.0833,0.6037,2.5333,0.6078,2.4833,0.6098,2.4333,13.3240
0.54,0.5677,2.6667,0.5678,2.5000,0.5751,2.7333,0.5720,0.0833,0.5680,0.0833,0.5717,2.5500,0.5771,2.4667,0.5798,2.5000,13.9300
0.51,0.5391,2.6000,0.5371,2.5000,0.5444,2.8000,0.5427,0.1000,0.5367,0.0333,0.5437,2.5667,0.5477,2.4833,0.5511,2.4833,14.5360
0.48,0.5077,2.6500,0.5071,2.5167,0.5157,2.8000,0.5120,0.1000,0.5080,0.1000,0.5124,2.5667,0.5178,2.4833,0.5198,2.4667,15.1410
0.45,0.4797,2.7000,0.4784,2.5333,0.4844,2.8000,0.4820,0.1000,0.4787,0.0667,0.4837,2.6000,0.4891,2.5000,0.4924,2.4833,15.7470
0.42,0.4497,2.6667,0.4477,2.5167,0.4557,2.8000,0.4520,0.1000,0.4480,0.0667,0.4551,2.6000,0.4584,2.5000,0.4638,2.5000,16.3520
0.39,0.4197,2.7000,0.4191,2.5667,0.4264,2.8167,0.4240,0.1000,0.4193,0.0833,0.4237,2.6167,0.4291,2.5000,0.4324,2.5000,16.9590
0.36,0.3897,2.6500,0.3871,2.5667,0.3957,2.8500,0.3920,0.1000,0.3880,0.0667,0.3924,2.6000,0.3984,2.5333,0.4011,2.5000,17.5640
0.33,0.3597,2.7000,0.3557,2.5833,0.3637,2.8333,0.3613,0.1000,0.3587,0.0667,0.3637,2.6000,0.3677,2.5500,0.3717,2.5167,18.1690
0.30,0.3297,2.7000,0.3271,2.5833,0.3357,2.9000,0.3320,0.0833,0.3280,0.0833,0.3331,2.6333,0.3364,2.5333,0.3431,2.5167,18.7750
0.27,0.2997,2.7167,0.2957,2.6000,0.3071,2.8500,0.3033,0.1167,0.3000,0.1000,0.3044,2.6333,0.3077,2.5500,0.3131,2.5333,19.3800
0.24,0.2717,2.7000,0.2677,2.5667,0.2757,2.8833,0.2720,0.1000,0.2700,0.0833,0.2751,2.6500,0.2797,2.5500,0.2844,2.5833,19.9870
0.21,0.2404,2.7167,0.2377,2.5833,0.2457,2.8667,0.2420,0.0833,0.2393,0.1000,0.2444,2.6500,0.2497,2.5500,0.2557,2.5333,20.5920
0.18,0.2117,2.7000,0.2084,2.6000,0.2164,2.8500,0.2107,0.0833,0.2080,0.0833,0.2157,2.6667,0.2197,2.5667,0.2237,2.5500,21.1980
0.15,0.1837,2.7333,0.1797,2.5833,0.1877,2.8833,0.1813,0.0667,0.1800,0.1000,0.1864,2.6333,0.1897,2.5667,0.1957,2.5667,21.8030
0.12,0.1537,2.7000,0.1477,2.6167,0.1577,2.8667,0.1520,0.0833,0.1520,0.0667,0.1564,2.6667,0.1597,2.5500,0.1664,2.5333,22.4090
0.09,0.1237,2.6833,0.1164,2.6167,0.1270,2.8667,0.1240,0.1000,0.1200,0.0833,0.1271,2.6667,0.1291,2.5833,0.1357,2.5333,23.0150
0.06,0.0937,2.7167,0.0884,2.6000,0.0964,2.8500,0.0920,0.1000,0.0913,0.1000,0.0977,2.6333,0.0997,2.5833,0.1071,2.5833,23.6200
0.03,0.0637,2.7167,0.0564,2.6000,0.0677,2.9000,0.0607,0.1000,0.0620,0.0667,0.0677,2.6667,0.0717,2.5833,0.0757,2.5667,24.2260
0.00,0.0597,2.7167,0.0531,2.6000,0.0604,2.8667,0.0320,0.1000,0.0320,0.0833,0.0551,2.6667,0.0511,2.5833,0.0517,2.5333,24.8310
-0.03,0.0637,2.7000,0.0557,2.6000,0.0617,2.8667,0.0020,0.0833,0.0047,0.1000,0.0557,2.6667,0.0544,2.5833,0.0551,2.5667,25.4370
0.03,0.0617,2.7000,0.0557,2.5833,0.0637,2.8333,0.0007,0.1167,0.0040,0.1000,0.0557,2.6500,0.0517,2.5500,0.0557,2.5667,0.6060
0.06,0.0597,2.7000,0.0524,2.6000,0.0597,2.8667,0.0320,0.0833,0.0320,0.0833,0.0531,2.6500,0.0511,2.5667,0.0518,2.5500,1.2110
0.09,0.0637,2.7000,0.0577,2.6000,0.0670,2.8000,0.0620,0.1000,0.0620,0.0833,0.0677,2.6500,0.0711,2.5833,0.0777,2.5500,1.8170
0.12,0.0937,2.7000,0.0877,2.6000,0.0971,2.8667,0.0920,0.1000,0.0920,0.0667,0.0977,2.6500,0.0997,2.5500,0.1064,2.5167,2.4220
0.15,0.1231,2.7000,0.1177,2.6000,0.1277,2.8500,0.1220,0.1000,0.1200,0.0667,0.1271,2.6000,0.1297,2.5333,0.1357,2.5333,3.0270
0.18,0.1524,2.7000,0.1477,2.5667,0.1570,2.8167,0.1527,0.1000,0.1507,0.0833,0.1564,2.6333,0.1597,2.5500,0.1671,2.5000,3.6340
0.21,0.1837,2.7000,0.1784,2.5667,0.1877,2.8167,0.1820,0.0833,0.1800,0.0833,0.1877,2.6167,0.1897,2.5333,0.1964,2.5333,4.2390
0.24,0.2117,2.6667,0.2077,2.5833,0.2157,2.8000,0.2120,0.1000,0.2093,0.0500,0.2157,2.6333,0.2197,2.5167,0.2244,2.5167,4.8440
0.27,0.2404,2.6667,0.2377,2.5333,0.2471,2.8000,0.2407,0.1000,0.2400,0.1000,0.2451,2.6000,0.2477,2.5333,0.2551,2.4833,5.4500
0.30,0.2717,2.6500,0.2677,2.5500,0.2757,2.8000,0.2720,0.0833,0.2687,0.0833,0.2751,2.6000,0.2798,2.5167,0.2837,2.5000,6.0550
0.33,0.3011,2.6667,0.2964,2.5167,0.3071,2.8000,0.3020,0.1000,0.3000,0.0833,0.3044,2.6167,0.3078,2.5000,0.3138,2.5000,6.6610
0.36,0.3304,2.6500,0.3271,2.5167,0.3357,2.8000,0.3327,0.0667,0.3287,0.0667,0.3337,2.5833,0.3378,2.5000,0.3431,2.5000,7.2670
0.39,0.3591,2.6333,0.3557,2.5333,0.3637,2.8000,0.3627,0.1000,0.3573,0.0500,0.3624,2.5833,0.3678,2.5000,0.3717,2.4833,7.8720
0.42,0.3884,2.6333,0.3878,2.5000,0.3957,2.7500,0.3920,0.1000,0.3880,0.0667,0.3944,2.6000,0.3984,2.4667,0.4024,2.5000,8.4780
0.45,0.4197,2.6167,0.4184,2.4833,0.4271,2.7500,0.4240,0.0833,0.4187,0.0833,0.4244,2.5833,0.4278,2.5000,0.4324,2.4833,9.0830
0.48,0.4497,2.6000,0.4478,2.5000,0.4557,2.7667,0.4547,0.0833,0.4480,0.0500,0.4537,2.5333,0.4591,2.4833,0.4638,2.4500,9.6880
0.51,0.4797,2.6000,0.4764,2.5000,0.4857,2.7000,0.4827,0.0833,0.4787,0.0833,0.4844,2.5333,0.4878,2.4833,0.4918,2.4167,10.2950
0.54,0.5077,2.5833,0.5078,2.5000,0.5157,2.7000,0.5120,0.0833,0.5080,0.1000,0.5144,2.5167,0.5184,2.4333,0.5198,2.4167,10.9000
0.57,0.5384,2.5500,0.5391,2.4667,0.5444,2.7167,0.5433,0.1000,0.5367,0.0667,0.5437,2.5000,0.5491,2.4167,0.5511,2.4000,11.5050
0.60,0.5677,2.5833,0.5678,2.4333,0.5757,2.6833,0.5720,0.0833,0.5687,0.0500,0.5731,2.5000,0.5798,2.4000,0.5798,2.4000,12.1110
0.63,0.5997,2.6167,0.5971,2.4000,0.6037,2.6333,0.6027,0.0333,0.5960,0.1000,0.6024,2.4833,0.6078,2.4000,0.6098,2.3667,12.7160
0.66,0.6297,2.5667,0.6271,2.4167,0.6324,2.6167,0.6320,0.1000,0.6280,0.0833,0.6318,2.4667,0.6384,2.3667,0.6398,2.3333,13.3230
