Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
1.20,1.2242,-2.1000,1.2234,-4.4500,1.2326,-5.7750,1.2241,-1.0000,1.2221,-0.9500,1.2166,-5.5500,1.2245,-5.5000,1.2170,0.0250,0.6230
1.17,1.1922,-1.9000,1.1944,-3.9500,1.2005,-5.1000,1.1951,-0.9000,1.1921,-0.8000,1.1885,-4.9250,1.1955,-4.9000,1.1880,0.0250,1.2460
1.14,1.1642,-1.6250,1.1643,-3.5000,1.1725,-4.5000,1.1651,-0.7750,1.1641,-0.7250,1.1564,-4.3750,1.1644,-4.3000,1.1570,0.0250,1.8680
1.11,1.1341,-1.3250,1.1323,-2.9500,1.1414,-3.9000,1.1361,-0.7000,1.1361,-0.6250,1.1284,-3.8000,1.1364,-3.7500,1.1290,0.0750,2.4920
1.08,1.1051,-1.1000,1.1042,-2.4750,1.1123,-3.2750,1.1081,-0.6250,1.1061,-0.5250,1.1003,-3.2250,1.1083,-3.1000,1.1000,0.1000,3.1140
1.05,1.0761,-0.8250,1.0762,-2.0000,1.0843,-2.7000,1.0791,-0.5000,1.0790,-0.5000,1.0713,-2.7000,1.0783,-2.6000,1.0720,0.0750,3.7370
1.02,1.0481,-0.6500,1.0442,-1.5000,1.0552,-2.1000,1.0480,-0.4250,1.0480,-0.4000,1.0402,-2.1750,1.0482,-2.0500,1.0420,0.0500,4.3610
0.99,1.0190,-0.4000,1.0161,-1.1000,1.0242,-1.5250,1.0190,-0.4000,1.0210,-0.3000,1.0122,-1.7000,1.0202,-1.5250,1.0140,0.0750,4.9830
0.96,0.9880,-0.1250,0.9871,-0.6500,0.9931,-0.9250,0.9880,-0.2750,0.9920,-0.2000,0.9841,-1.2000,0.9911,-1.0750,0.9840,0.0500,5.6060
0.93,0.9600,0.0500,0.9570,-0.2500,0.9650,-0.4750,0.9610,-0.1750,0.9640,-0.1250,0.9531,-0.7250,0.9611,-0.6000,0.9560,0.0500,6.2280
0.90,0.9320,0.2750,0.9280,0.1250,0.9360,0.0250,0.9320,-0.1000,0.9330,0.0000,0.9240,-0.3000,0.9320,-0.2000,0.9240,0.0750,6.8510
0.87,0.9000,0.4250,0.8970,0.5000,0.9050,0.5250,0.9010,0.0250,0.9040,0.0250,0.8960,0.1000,0.9020,0.2750,0.8950,0.0750,7.4740
0.84,0.8719,0.6250,0.8679,0.8250,0.8759,0.9250,0.8720,0.1000,0.8720,0.1500,0.8659,0.5000,0.8719,0.6750,0.8640,0.1000,8.0960
0.81,0.8409,0.7250,0.8399,1.1250,0.8459,1.3000,0.8430,0.2000,0.8440,0.2750,0.8369,0.8000,0.8419,1.0000,0.8360,0.1000,8.7190
0.78,0.8119,0.9000,0.8099,1.4000,0.8158,1.6750,0.8120,0.3000,0.8140,0.3750,0.8079,1.1750,0.8119,1.3750,0.8050,0.1250,9.3420
0.75,0.7799,1.0250,0.7798,1.6250,0.7838,2.0250,0.7800,0.4000,0.7820,0.5000,0.7759,1.4250,0.7808,1.6250,0.7760,0.1000,9.9650
0.72,0.7489,1.1250,0.7478,1.8750,0.7548,2.2500,0.7520,0.5250,0.7519,0.6000,0.7478,1.7000,0.7518,1.9000,0.7470,0.1250,10.5880
0.69,0.7199,1.2000,0.7188,2.0250,0.7238,2.4250,0.7199,0.6500,0.7229,0.7000,0.7168,1.9000,0.7198,2.1000,0.7160,0.1250,11.2100
0.66,0.6899,1.3000,0.6898,2.1750,0.6957,2.6500,0.6919,0.7750,0.6919,0.7250,0.6878,2.1000,0.6918,2.3000,0.6860,0.1500,11.8340
0.63,0.6599,1.2750,0.6598,2.3000,0.6637,2.7750,0.6629,0.8750,0.6639,0.8000,0.6568,2.2750,0.6598,2.5000,0.6560,0.1000,12.4560
0.60,0.6289,1.3000,0.6298,2.4000,0.6357,2.9000,0.6319,1.0000,0.6319,1.0000,0.6278,2.4250,0.6317,2.6000,0.6270,0.0750,13.0790
0.57,0.5989,1.3000,0.5998,2.5000,0.6057,2.9500,0.6029,1.1000,0.6029,1.1000,0.5998,2.5250,0.6017,2.7000,0.5970,0.0000,13.7020
0.54,0.5689,1.3000,0.5698,2.5000,0.5757,3.0250,0.5749,1.2000,0.5719,1.2000,0.5677,2.6750,0.5717,2.7250,0.5680,0.0250,14.3240
