Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,light,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
1.20,1.2113,-2.8250,1.2083,-2.7000,1.2163,-3.1250,1.2043,-2.8750,1.2093,-3.0000,1.2083,-2.8000,1.2000,0.0750,1.2040,0.0500,0.5930
1.17,1.1803,-2.8500,1.1773,-2.7250,1.1843,-3.1250,1.1763,-2.9000,1.1793,-2.9750,1.1783,-2.8250,1.1720,0.0250,1.1750,0.0000,1.1870
1.14,1.1493,-2.8250,1.1483,-2.7250,1.1543,-3.1250,1.1453,-2.9000,1.1503,-2.9500,1.1483,-2.8250,1.1400,0.1000,1.1440,0.0750,1.7810
1.11,1.1203,-2.8000,1.1203,-2.7750,1.1243,-3.1250,1.1163,-2.9000,1.1203,-3.0000,1.1203,-2.8250,1.1120,0.0500,1.1150,0.0500,2.3750
1.08,1.0923,-2.8250,1.0893,-2.7500,1.0953,-3.1000,1.0873,-2.8750,1.0913,-2.9750,1.0923,-2.8000,1.0830,0.0750,1.0850,0.0250,2.9690
1.05,1.0643,-2.8250,1.0603,-2.7250,1.0663,-3.1250,1.0563,-2.9000,1.0603,-2.9750,1.0613,-2.8000,1.0550,0.1000,1.0560,0.0750,3.5630
1.02,1.0323,-2.8500,1.0323,-2.7000,1.0373,-3.1000,1.0283,-2.9000,1.0323,-2.9500,1.0323,-2.8000,1.0240,0.0750,1.0280,0.0250,4.1570
0.99,1.0043,-2.8250,1.0043,-2.7000,1.0083,-3.1250,0.9983,-2.8750,1.0023,-2.9500,1.0033,-2.8000,0.9960,0.0250,0.9970,0.1000,4.7510
0.96,0.9763,-2.8250,0.9723,-2.7000,0.9773,-3.1250,0.9693,-2.8750,0.9753,-2.9500,0.9743,-2.8000,0.9680,0.1000,0.9680,0.0500,5.3450
0.93,0.9453,-2.8250,0.9443,-2.7000,0.9483,-3.1000,0.9393,-2.8750,0.9443,-2.9500,0.9453,-2.7750,0.9370,0.1000,0.9400,0.0750,5.9390
0.90,0.9163,-2.7500,0.9153,-2.7000,0.9203,-3.0750,0.9113,-2.8500,0.9163,-2.9000,0.9163,-2.7750,0.9080,0.0750,0.9100,0.0750,6.5330
0.87,0.8873,-2.7750,0.8843,-2.7000,0.8883,-3.0750,0.8803,-2.8500,0.8853,-2.9250,0.8853,-2.7250,0.8770,0.0750,0.8800,0.0750,7.1270
0.84,0.8563,-2.7750,0.8563,-2.7000,0.8603,-3.1000,0.8523,-2.8250,0.8563,-2.9000,0.8563,-2.7250,0.8480,0.0500,0.8520,0.0250,7.7210
0.81,0.8283,-2.7750,0.8273,-2.7000,0.8293,-3.0250,0.8223,-2.8500,0.8273,-2.9250,0.8283,-2.7250,0.8200,0.0500,0.8230,0.0250,8.3150
0.78,0.8003,-2.7250,0.7963,-2.7000,0.8003,-3.0500,0.7923,-2.8000,0.7963,-2.9250,0.7973,-2.7000,0.7900,0.0500,0.7930,0.0750,8.9090
0.75,0.7683,-2.7750,0.7663,-2.7000,0.7683,-3.0250,0.7613,-2.8000,0.7653,-2.9000,0.7663,-2.7000,0.7600,0.0000,0.7610,0.0000,9.5030
0.72,0.7403,-2.7500,0.7363,-2.6750,0.7403,-3.0250,0.7333,-2.7750,0.7363,-2.9000,0.7363,-2.6500,0.7300,0.0250,0.7330,0.0000,10.0970
0.69,0.7103,-2.7250,0.7083,-2.7000,0.7113,-2.9750,0.7023,-2.8000,0.7083,-2.9000,0.7083,-2.6500,0.7010,0.0000,0.7040,0.0000,10.6910
0.66,0.6813,-2.7250,0.6773,-2.6750,0.6803,-3.0000,0.6753,-2.8000,0.6773,-2.9000,0.6793,-2.6500,0.6720,0.1000,0.6730,0.0250,11.2850
0.63,0.6523,-2.7000,0.6483,-2.6250,0.6523,-3.0000,0.6443,-2.8000,0.6483,-2.8750,0.6483,-2.6750,0.6440,0.1000,0.6450,0.0750,11.8790
0.60,0.6213,-2.7000,0.6163,-2.6000,0.6233,-3.0000,0.6143,-2.8000,0.6203,-2.8750,0.6193,-2.6750,0.6140,0.0750,0.6160,0.0500,12.4730
0.57,0.5933,-2.7000,0.5883,-2.6000,0.5923,-3.0000,0.5863,-2.7750,0.5883,-2.8500,0.5883,-2.7000,0.5840,0.1000,0.5860,0.1000,13.0670
