photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Rv__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p1__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Rv__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p2__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Rv__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p3__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Rv__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p4__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Rv__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p5__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Rv__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p6__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Rv__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p7__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Rv__scan0	photo__80p__p8__0.8Sun__Fw__scan0	photo__80p__p8__0.8Sun__Fw__scan0
1.398633	0.0035703124999999997	-0.199563	-0.008390625	1.399005	-0.000484375	-0.197418	0.012046875	1.400172	-0.10981250000000001	-0.196504	0.007132812499999999	1.40125	-1.0968671875	-0.199535	0.15916406249999998	1.39716	-19.470046875	-0.198638	2.7848984375	1.400693	-109.17652343750001	-0.196225	15.344492187499998	0.256052	-390.841453125	-0.093777	144.70482812499998	0.863964	-390.7531484375	-0.200996	14.0733203125
1.388362	-0.013015625	-0.189574	-9.375e-05	1.38944	-0.0139765625	-0.187762	0.001640625	1.385634	-0.0997890625	-0.191603	0.033937499999999995	1.38615	-1.0927265625	-0.190189	0.15241406249999997	1.393193	-19.42415625	-0.190552	2.677984375	1.393584	-108.605671875	-0.193743	15.1746328125	0.255831	-390.493890625	-0.10289	158.699765625	0.863728	-390.40518749999995	-0.191298	14.0785234375
1.378946	-0.00684375	-0.175091	0.00675	1.379738	-0.0225625	-0.17817	0.0098359375	1.380706	-0.1131875	-0.177427	0.0191875	1.37583	-1.0781640625	-0.176165	0.15414843749999999	1.380748	-19.248109375	-0.178199	2.5000234375	1.38637	-108.07078125	-0.184527	14.4328046875	0.256004	-390.820640625	-0.111227	171.4070546875	0.863577	-390.40230468749996	-0.176429	14.0903828125
1.363901	0.0015390624999999998	-0.165496	0.0056875	1.360584	-0.00453125	-0.168429	0.0063593750000000004	1.36075	-0.110296875	-0.167949	0.0128203125	1.365546	-1.0743125	-0.162622	0.1150078125	1.368713	-19.0600078125	-0.170117	2.3864609375	1.377005	-107.32311718749999	-0.174737	13.677781249999999	0.256038	-390.82864843749996	-0.118563	182.7038671875	0.863418	-390.4244765625	-0.161855	14.0795859375
1.354341	0.007421875	-0.155639	0.002890625	1.35561	-0.0111875	-0.154227	0.0053984375	1.35587	-0.102	-0.153904	0.0077109375	1.350508	-1.06996875	-0.157966	0.10488281249999999	1.356393	-18.88859375	-0.154383	2.14034375	1.365132	-106.4065390625	-0.165265	12.930460937500001	0.25582	-390.49302343749997	-0.124995	192.5283125	0.863279	-390.417640625	-0.157299	14.070234375
1.344468	-0.00115625	-0.141287	-0.0018281249999999999	1.341194	-0.00038281249999999996	-0.139687	0.00240625	1.341046	-0.1039296875	-0.139536	0.018125	1.3455	-1.055125	-0.139289	0.1115390625	1.344269	-18.73925	-0.145791	2.0441328125	1.352666	-105.42844531249999	-0.153534	12.025140624999999	0.256018	-390.8178515625	-0.130408	200.81367968749998	0.863176	-390.431609375	-0.142484	14.0635859375
1.325039	0.007421875	-0.131487	0.0020234375	1.331426	-0.0109921875	-0.130017	-0.002703125	1.331466	-0.09997656249999999	-0.129828	0.0041484375	1.330412	-1.0340078125	-0.134486	0.11838281249999999	1.331992	-18.5510546875	-0.129558	1.83040625	1.340074	-104.46567968749999	-0.141667	11.083570312500001	0.255811	-390.475671875	-0.129722	199.825359375	0.863016	-390.45475	-0.128239	14.062429687499998
1.320119	-0.013109375	-0.116811	0.012046875	1.317059	0.0161953125	-0.120325	0.0053046875	1.316649	-0.09746874999999999	-0.120395	0.0184140625	1.315417	-1.0357421875	-0.116308	0.077796875	1.319739	-18.37790625	-0.121644	1.699875	1.327365	-103.4575078125	-0.129712	10.1564609375	0.256038	-390.8237265625	-0.129112	198.83578125	0.862928	-390.4612109375	-0.118302	14.0773671875
1.305756	0.0010625	-0.106824	0.02371875	1.307173	-0.0143671875	-0.105915	-0.0179296875	1.307034	-0.0913046875	-0.105643	0.0078125	1.305289	-1.0064374999999999	-0.106704	0.092546875	1.307509	-18.2017578125	-0.109121	1.5538281250000001	1.317353	-102.6729140625	-0.120311	9.421578125	0.255827	-390.4751796875	-0.128218	197.505609375	0.862776	-390.4582109375	-0.103873	14.038328125
1.295456	-0.0086796875	-0.092087	0.0056875	1.292914	-0.0160078125	-0.091049	0.004242187499999999	1.291926	-0.100171875	-0.090776	0.0103125	1.295144	-1.0312109375	-0.09741	0.0797265625	1.29538	-18.04190625	-0.097116	1.356875	1.307147	-101.8925625	-0.106209	8.3276953125	0.256024	-390.8120546875	-0.126728	195.181625	0.862672	-390.4544609375	-0.094229	14.0598203125
