Voltage Range: ,1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: ,0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: ,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: ,50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Light Status: ,dark,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
1.20,1.2224,-3.9000,1.2224,-3.6750,1.2324,-4.2000,1.2243,-3.3000,1.2244,-3.6750,1.2193,-3.4000,1.2164,-3.9250,1.2250,0.0250,0.6230
1.17,1.1923,-3.4750,1.1923,-3.2250,1.2014,-3.7500,1.1933,-2.9250,1.1953,-3.3000,1.1883,-3.0500,1.1883,-3.4000,1.1960,0.0750,1.2450
1.14,1.1613,-3.0000,1.1613,-2.7500,1.1703,-3.2750,1.1643,-2.5750,1.1643,-2.9250,1.1563,-2.7000,1.1563,-2.9250,1.1650,0.0500,1.8690
1.11,1.1333,-2.6000,1.1322,-2.3750,1.1403,-2.8500,1.1352,-2.2500,1.1363,-2.6250,1.1292,-2.3000,1.1282,-2.5000,1.1360,0.0250,2.4920
1.08,1.1052,-2.1750,1.1042,-1.9500,1.1122,-2.3750,1.1052,-1.9250,1.1082,-2.2000,1.1002,-2.0000,1.1002,-2.0750,1.1080,0.0500,3.1140
1.05,1.0762,-1.8250,1.0762,-1.5750,1.0842,-2.0000,1.0782,-1.6250,1.0802,-1.9000,1.0722,-1.6250,1.0722,-1.6750,1.0780,0.0000,3.7370
1.02,1.0471,-1.4250,1.0461,-1.2000,1.0522,-1.6000,1.0481,-1.3250,1.0512,-1.5750,1.0411,-1.3000,1.0411,-1.3000,1.0480,0.0250,4.3600
0.99,1.0181,-1.1250,1.0161,-0.9500,1.0241,-1.2500,1.0181,-1.0500,1.0211,-1.2500,1.0121,-1.0250,1.0121,-0.9500,1.0200,0.0500,4.9830
0.96,0.9881,-0.8250,0.9881,-0.6750,0.9951,-0.9500,0.9901,-0.8250,0.9921,-1.0250,0.9841,-0.7750,0.9841,-0.7000,0.9920,0.0250,5.6060
0.93,0.9591,-0.6000,0.9570,-0.4000,0.9651,-0.6750,0.9601,-0.6250,0.9641,-0.7250,0.9551,-0.5750,0.9520,-0.4250,0.9610,0.0250,6.2290
0.90,0.9310,-0.4000,0.9280,-0.3250,0.9361,-0.4250,0.9320,-0.4000,0.9341,-0.5250,0.9240,-0.4000,0.9240,-0.3250,0.9320,0.0750,6.8520
0.87,0.9000,-0.2250,0.9000,-0.1750,0.9040,-0.3000,0.9000,-0.2500,0.9040,-0.4000,0.8950,-0.3000,0.8940,-0.1750,0.9020,0.1000,7.4740
0.84,0.8680,-0.1000,0.8680,-0.1000,0.8750,-0.1500,0.8720,-0.1500,0.8740,-0.2250,0.8650,-0.2000,0.8640,-0.0250,0.8720,0.0250,8.0970
0.81,0.8400,-0.0250,0.8400,-0.1000,0.8440,-0.1000,0.8420,-0.0500,0.8440,-0.1750,0.8360,-0.1000,0.8360,0.0000,0.8410,0.0750,8.7200
0.78,0.8120,0.0000,0.8080,0.0000,0.8160,0.0000,0.8120,0.0000,0.8120,-0.1000,0.8060,-0.0500,0.8040,0.1000,0.8120,0.0500,9.3410
0.75,0.7800,0.0500,0.7780,0.0000,0.7840,0.0000,0.7800,0.0250,0.7810,-0.0500,0.7760,-0.1000,0.7760,0.1000,0.7800,0.0500,9.9630
0.72,0.7480,0.1000,0.7480,0.0000,0.7520,0.0500,0.7520,0.0000,0.7520,0.0000,0.7470,-0.0750,0.7440,0.1500,0.7510,0.0000,10.5840
0.69,0.7200,0.1500,0.7160,0.0250,0.7240,0.0500,0.7200,0.1000,0.7240,0.0000,0.7160,-0.1000,0.7160,0.1250,0.7200,0.1000,11.2060
0.66,0.6880,0.1500,0.6880,0.0500,0.6940,0.1000,0.6920,0.0750,0.6920,-0.0250,0.6880,-0.1000,0.6870,0.1250,0.6910,0.0750,11.8290
0.63,0.6590,0.1000,0.6590,0.0750,0.6640,0.0750,0.6640,0.0750,0.6640,0.0000,0.6560,-0.0250,0.6560,0.1000,0.6600,0.1000,12.4510
0.60,0.6290,0.0750,0.6280,0.1000,0.6350,0.0500,0.6320,0.0750,0.6320,0.0000,0.6280,0.0000,0.6270,0.0500,0.6310,0.0750,13.0730
0.57,0.6000,0.0750,0.6000,0.0500,0.6040,0.0250,0.6040,0.0250,0.6040,0.0000,0.5960,0.0000,0.5960,0.0500,0.6000,0.0500,13.6940
