Voltage Range: 1.2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.03,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 50,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Volts_output,Pixel 0 V,Pixel 0 mA,Pixel 1 V,Pixel 1 mA,Pixel 2 V,Pixel 2 mA,Pixel 3 V,Pixel 3 mA,Pixel 4 V,Pixel 4 mA,Pixel 5 V,Pixel 5 mA,Pixel 6 V,Pixel 6 mA,Pixel 7 V,Pixel 7 mA,Time
1.20,1.2221,-7.6833,1.2246,-5.5167,1.2205,-5.1167,1.2260,-6.2000,1.2205,-5.2167,1.2173,0.0667,1.2245,-5.4000,1.2278,-4.6167,0.6080
1.17,1.1927,-6.6000,1.1958,-4.6333,1.1931,-4.0167,1.1979,-5.3167,1.1911,-4.2000,1.1887,0.0833,1.1971,-4.2667,1.2010,-3.7333,1.2170
1.14,1.1646,-5.7167,1.1670,-3.7833,1.1643,-3.0667,1.1684,-4.4500,1.1617,-3.3000,1.1607,0.1000,1.1683,-3.1833,1.1723,-2.8167,1.8260
1.11,1.1345,-4.7500,1.1370,-3.0500,1.1369,-2.1333,1.1404,-3.6333,1.1336,-2.4500,1.1320,0.1000,1.1402,-2.2167,1.1442,-2.0000,2.4360
1.08,1.1071,-4.0167,1.1082,-2.3500,1.1081,-1.3167,1.1123,-2.9000,1.1048,-1.7333,1.1040,0.0833,1.1121,-1.3000,1.1161,-1.3000,3.0450
1.05,1.0770,-3.3500,1.0795,-1.7333,1.0807,-0.5500,1.0842,-2.2000,1.0768,-1.1000,1.0760,0.0833,1.0841,-0.5667,1.0881,-0.6000,3.6540
1.02,1.0483,-2.7167,1.0481,-1.1500,1.0520,0.1333,1.0522,-1.5500,1.0481,-0.5833,1.0473,0.0833,1.0560,0.1667,1.0587,0.0167,4.2630
0.99,1.0196,-2.1500,1.0201,-0.6833,1.0233,0.7000,1.0241,-1.0000,1.0187,-0.1167,1.0200,0.0833,1.0279,0.7000,1.0286,0.5500,4.8730
0.96,0.9888,-1.6833,0.9894,-0.3000,0.9959,1.1167,0.9960,-0.4667,0.9893,0.2500,0.9880,0.1000,0.9979,1.2000,0.9992,1.0000,5.4820
0.93,0.9601,-1.2833,0.9607,0.0167,0.9659,1.4833,0.9653,0.0000,0.9599,0.5500,0.9600,0.1000,0.9679,1.4833,0.9705,1.3833,6.0900
0.90,0.9314,-0.9000,0.9320,0.3167,0.9358,1.7500,0.9360,0.4000,0.9293,0.7500,0.9293,0.0667,0.9398,1.8000,0.9398,1.6167,6.7000
0.87,0.9001,-0.5500,0.9006,0.5833,0.9051,1.9667,0.9039,0.7833,0.8999,0.9833,0.9000,0.0833,0.9098,1.9833,0.9098,1.8667,7.3090
0.84,0.8720,-0.3167,0.8719,0.8000,0.8758,2.1333,0.8759,1.0667,0.8706,1.1833,0.8707,0.1000,0.8798,2.1167,0.8798,2.0167,7.9180
0.81,0.8407,-0.0333,0.8426,1.0000,0.8464,2.2500,0.8459,1.3500,0.8399,1.3000,0.8427,0.1000,0.8498,2.2500,0.8505,2.1333,8.5270
0.78,0.8100,0.3000,0.8119,1.1000,0.8158,2.3333,0.8158,1.5667,0.8112,1.4000,0.8113,0.1000,0.8198,2.2833,0.8198,2.2000,9.1370
0.75,0.7800,0.4667,0.7799,1.3000,0.7844,2.4167,0.7838,1.7833,0.7785,1.5000,0.7800,0.1000,0.7878,2.3333,0.7884,2.2833,9.7460
0.72,0.7513,0.7000,0.7499,1.4000,0.7551,2.4667,0.7558,1.9500,0.7485,1.6000,0.7513,0.1000,0.7598,2.4000,0.7598,2.3167,10.3550
0.69,0.7206,0.8667,0.7199,1.4667,0.7244,2.5000,0.7238,2.0833,0.7198,1.6667,0.7227,0.1000,0.7278,2.4333,0.7298,2.3500,10.9650
0.66,0.6912,1.0000,0.6918,1.5333,0.6957,2.5333,0.6958,2.1333,0.6898,1.7833,0.6920,0.0833,0.6998,2.4500,0.6998,2.3833,11.5740
0.63,0.6619,1.2000,0.6605,1.6333,0.6651,2.5500,0.6644,2.2167,0.6598,1.8167,0.6620,0.1000,0.6678,2.4667,0.6711,2.3667,12.1830
0.60,0.6319,1.3000,0.6298,1.7167,0.6357,2.5500,0.6351,2.2833,0.6278,1.8667,0.6320,0.1000,0.6391,2.5167,0.6398,2.4167,12.7910
0.57,0.6005,1.4000,0.6005,1.8000,0.6064,2.5333,0.6044,2.3000,0.5998,1.9333,0.6033,0.0833,0.6077,2.5833,0.6104,2.4167,13.4010
0.54,0.5712,1.5333,0.5711,1.8500,0.5757,2.5833,0.5758,2.3167,0.5705,1.9833,0.5727,0.1000,0.5797,2.5667,0.5804,2.4000,14.0100
0.51,0.5418,1.6000,0.5398,1.9167,0.5477,2.5333,0.5444,2.3833,0.5398,2.0167,0.5440,0.1000,0.5491,2.5833,0.5518,2.4167,14.6190
0.48,0.5118,1.7000,0.5078,2.0000,0.5177,2.5833,0.5144,2.4000,0.5098,2.0833,0.5153,0.0833,0.5197,2.5833,0.5204,2.4500,15.2280
0.45,0.4805,1.8333,0.4798,2.0000,0.4877,2.6000,0.4851,2.4000,0.4798,2.1000,0.4840,0.0667,0.4891,2.6167,0.4918,2.4333,15.8380
0.42,0.4518,1.9000,0.4498,2.1000,0.4564,2.6000,0.4558,2.4500,0.4518,2.1833,0.4540,0.1000,0.4597,2.6000,0.4638,2.4333,16.4470
0.39,0.4218,1.9667,0.4198,2.1333,0.4277,2.6000,0.4258,2.4667,0.4204,2.1833,0.4240,0.1000,0.4291,2.6000,0.4344,2.4667,17.0560
0.36,0.3911,2.0833,0.3884,2.1833,0.3957,2.6000,0.3944,2.4167,0.3891,2.2500,0.3933,0.0833,0.3984,2.6000,0.4038,2.4667,17.6660
0.33,0.3605,2.1333,0.3578,2.2000,0.3664,2.6000,0.3644,2.4500,0.3598,2.2500,0.3640,0.0667,0.3677,2.6167,0.3717,2.4500,18.2750
0.30,0.3311,2.1833,0.3278,2.2667,0.3357,2.6000,0.3344,2.4667,0.3304,2.3167,0.3347,0.0667,0.3371,2.6167,0.3438,2.4667,18.8830
0.27,0.3031,2.2500,0.2978,2.2667,0.3077,2.6000,0.3038,2.4333,0.3004,2.3167,0.3040,0.0833,0.3084,2.6167,0.3131,2.4667,19.4920
0.24,0.2718,2.2833,0.2698,2.3333,0.2771,2.6000,0.2731,2.4333,0.2718,2.3500,0.2760,0.0667,0.2797,2.6333,0.2844,2.4500,20.1020
0.21,0.2398,2.3167,0.2391,2.3667,0.2477,2.6000,0.2438,2.4667,0.2398,2.3500,0.2440,0.1000,0.2484,2.6333,0.2558,2.4833,20.7110
0.18,0.2118,2.3500,0.2084,2.4000,0.2171,2.6000,0.2118,2.4333,0.2118,2.4000,0.2160,0.1000,0.2197,2.6333,0.2258,2.4500,21.3200
0.15,0.1838,2.4167,0.1798,2.4167,0.1877,2.6000,0.1838,2.4833,0.1824,2.4667,0.1867,0.0667,0.1897,2.6167,0.1958,2.4833,21.9300
0.12,0.1531,2.4667,0.1498,2.4167,0.1571,2.6000,0.1531,2.4833,0.1518,2.4167,0.1560,0.1000,0.1597,2.6000,0.1671,2.4500,22.5380
0.09,0.1238,2.4833,0.1191,2.4167,0.1277,2.6000,0.1231,2.4667,0.1231,2.4667,0.1267,0.0833,0.1297,2.6333,0.1358,2.4833,23.1470
0.06,0.0937,2.5167,0.0878,2.4500,0.0964,2.6167,0.0938,2.4667,0.0924,2.4833,0.0960,0.0667,0.1004,2.6500,0.1071,2.5000,23.7560
0.03,0.0637,2.5833,0.0571,2.4833,0.0677,2.6167,0.0638,2.4833,0.0624,2.5000,0.0680,0.0667,0.0704,2.6500,0.0764,2.4833,24.3660
0.00,0.0551,2.5833,0.0498,2.5000,0.0524,2.6000,0.0491,2.4500,0.0551,2.4833,0.0360,0.0667,0.0517,2.6667,0.0511,2.4833,24.9740
-0.03,0.0597,2.5667,0.0518,2.4833,0.0557,2.6000,0.0511,2.5000,0.0558,2.5000,0.0053,0.0833,0.0557,2.6667,0.0544,2.4833,25.5830
0.03,0.0577,2.5667,0.0524,2.4667,0.0557,2.6000,0.0518,2.5000,0.0558,2.5000,0.0053,0.0833,0.0557,2.6500,0.0524,2.4667,0.6080
0.06,0.0557,2.5667,0.0498,2.4167,0.0531,2.6000,0.0478,2.4500,0.0524,2.4833,0.0360,0.0833,0.0517,2.6000,0.0511,2.4500,1.2170
0.09,0.0644,2.5667,0.0578,2.4833,0.0677,2.6000,0.0638,2.4833,0.0631,2.5000,0.0680,0.1000,0.0711,2.6667,0.0764,2.4667,1.8260
0.12,0.0944,2.5167,0.0878,2.4667,0.0964,2.6000,0.0931,2.4500,0.0924,2.4667,0.0967,0.1000,0.1004,2.6167,0.1071,2.4667,2.4350
0.15,0.1238,2.5000,0.1178,2.4333,0.1277,2.5833,0.1238,2.4167,0.1218,2.4333,0.1260,0.0667,0.1291,2.6000,0.1358,2.4500,3.0450
0.18,0.1524,2.5000,0.1491,2.3833,0.1584,2.6000,0.1531,2.4000,0.1518,2.4000,0.1560,0.1000,0.1597,2.6167,0.1671,2.4333,3.6530
0.21,0.1838,2.4500,0.1791,2.4000,0.1877,2.5667,0.1824,2.4833,0.1818,2.4000,0.1873,0.1000,0.1897,2.6000,0.1958,2.4667,4.2620
0.24,0.2124,2.3333,0.2078,2.3667,0.2177,2.5833,0.2124,2.4167,0.2111,2.4000,0.2160,0.1000,0.2197,2.6167,0.2271,2.4333,4.8710
0.27,0.2424,2.3000,0.2384,2.3167,0.2477,2.5667,0.2438,2.4167,0.2404,2.3833,0.2440,0.0833,0.2511,2.6000,0.2558,2.4333,5.4810
0.30,0.2718,2.2833,0.2678,2.3000,0.2771,2.5500,0.2751,2.4167,0.2711,2.3333,0.2747,0.1000,0.2797,2.5833,0.2844,2.4000,6.0900
0.33,0.3024,2.2167,0.2971,2.2833,0.3071,2.5333,0.3038,2.4000,0.3004,2.3000,0.3040,0.0667,0.3077,2.6000,0.3138,2.4333,6.6980
0.36,0.3318,2.1500,0.3278,2.2500,0.3357,2.5333,0.3338,2.4000,0.3298,2.3000,0.3333,0.0667,0.3384,2.5833,0.3431,2.4167,7.3080
0.39,0.3598,2.1000,0.3578,2.2000,0.3657,2.5167,0.3638,2.4000,0.3598,2.2833,0.3640,0.0833,0.3677,2.6000,0.3718,2.4167,7.9170
0.42,0.3911,2.0333,0.3878,2.1833,0.3964,2.5000,0.3958,2.4000,0.3898,2.2500,0.3947,0.0667,0.3977,2.5333,0.4024,2.4000,8.5260
0.45,0.4218,1.9833,0.4198,2.1500,0.4277,2.5167,0.4264,2.3500,0.4198,2.2000,0.4240,0.0667,0.4291,2.5167,0.4331,2.3833,9.1350
0.48,0.4518,1.8833,0.4491,2.0833,0.4578,2.4667,0.4558,2.3833,0.4518,2.1833,0.4540,0.0833,0.4597,2.5667,0.4638,2.3833,9.7450
0.51,0.4818,1.8000,0.4798,2.0500,0.4871,2.4833,0.4838,2.3333,0.4798,2.1333,0.4840,0.0833,0.4877,2.5167,0.4924,2.3500,10.3530
0.54,0.5118,1.7167,0.5098,1.9833,0.5164,2.4667,0.5158,2.3000,0.5091,2.1000,0.5147,0.1167,0.5191,2.5000,0.5211,2.3833,10.9620
0.57,0.5398,1.6333,0.5398,1.9500,0.5471,2.4500,0.5444,2.3000,0.5398,2.1000,0.5440,0.0833,0.5478,2.4833,0.5518,2.3333,11.5710
0.60,0.5712,1.5333,0.5705,1.9000,0.5758,2.4000,0.5758,2.2667,0.5705,2.0167,0.5733,0.0500,0.5798,2.4833,0.5798,2.3167,12.1810
0.63,0.6005,1.4167,0.6005,1.7833,0.6051,2.4000,0.6044,2.2333,0.5998,1.9667,0.6040,0.0833,0.6084,2.4667,0.6104,2.3000,12.7900
0.66,0.6319,1.2833,0.6305,1.6833,0.6344,2.3667,0.6351,2.1667,0.6285,1.9000,0.6327,0.0833,0.6398,2.4167,0.6398,2.3000,13.3990
